label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,weights,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly,name,window
CTRL_hasdata|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,24.6,20.78,17.59,11.08,34.49,11.08,-55.84,-62.43,0.32,0.57,58.5,43.3,29.07,-13.66,4.261,12,5.11,98.0,0.0093,245,1.97,"{""2022"": [5.52, -22.89], ""2023"": [52.78, -22.34], ""2024"": [67.56, -20.19], ""2025"": [-30.28, -45.45], ""2026"": [14.78, -55.84]}",CTRL_hasdata,W2
CTRL_none|full,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.25,18.27,15.38,8.08,20.15,8.08,-58.34,-66.74,0.26,0.49,57.4,42.2,31.18,-13.78,5.367,16,5.15,98.1,0.0125,465,3.19,"{""2018"": [-24.12, -30.91], ""2019"": [3.88, -31.04], ""2020"": [62.02, -47.58], ""2021"": [114.12, -21.23], ""2022"": [-39.17, -52.33], ""2023"": [47.52, -53.13], ""2024"": [71.34, -24.22], ""2025"": [-29.21, -45.42], ""2026"": [15.13, -55.78]}",CTRL_none,full
CTRL_none|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.85,2.0,,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,14.72,12.01,9.13,1.92,18.94,1.92,-54.05,-62.2,0.17,0.28,55.3,39.7,35.43,-13.62,5.793,16,4.97,97.5,0.0096,216,1.41,"{""2018"": [-24.12, -30.91], ""2019"": [3.88, -31.04], ""2020"": [62.02, -47.58], ""2021"": [114.12, -21.23], ""2022"": [-42.91, -52.33]}",CTRL_none,W1
CTRL_none|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.08,17.91,14.86,11.48,34.13,11.48,-55.47,-62.42,0.29,0.47,59.7,43.2,27.83,-13.71,3.79,12,5.13,98.0,0.0091,250,1.79,"{""2022"": [3.01, -24.11], ""2023"": [47.56, -24.89], ""2024"": [70.24, -20.52], ""2025"": [-29.71, -45.47], ""2026"": [15.12, -55.47]}",CTRL_none,W2
CTRL_hd_base|full,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,29.3,26.45,22.52,17.34,28.75,17.34,-48.27,-52.88,0.43,0.74,88.0,42.9,29.78,-12.36,5.902,24,5.76,98.6,0.0112,713,5.19,"{""2018"": [-21.94, -29.01], ""2019"": [8.99, -28.89], ""2020"": [70.38, -36.18], ""2021"": [143.97, -17.87], ""2022"": [-22.6, -46.66], ""2023"": [57.55, -42.75], ""2024"": [56.52, -18.8], ""2025"": [-22.07, -38.27], ""2026"": [13.38, -46.73]}",CTRL_hd_base,full
CTRL_hd_base|W1,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,29.28,26.32,21.79,13.78,29.11,13.78,-47.35,-51.41,0.46,0.71,81.8,41.4,34.34,-12.46,6.406,24,5.24,97.6,0.005,320,2.16,"{""2018"": [-21.94, -29.01], ""2019"": [8.99, -28.89], ""2020"": [70.38, -36.18], ""2021"": [143.97, -17.87], ""2022"": [-34.67, -46.66]}",CTRL_hd_base,W1
CTRL_hd_base|W2,2022-07-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/162_quality_summit_optimisation/results/masks162/has_data.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,27.59,23.59,19.89,15.27,28.76,15.27,-46.71,-53.52,0.42,0.66,95.8,44.3,26.83,-12.15,4.661,16,5.84,99.0,0.0067,402,2.14,"{""2022"": [8.41, -21.94], ""2023"": [56.5, -20.39], ""2024"": [54.23, -19.29], ""2025"": [-22.32, -38.38], ""2026"": [13.37, -46.71]}",CTRL_hd_base,W2
QS_base|cost40,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,40.0,True,0.05,0.3,12,offset,20.25,20.25,20.25,15.22,21.93,15.22,-38.0,-43.78,0.54,0.74,61.6,45.6,27.82,-10.95,6.84,17,4.19,91.3,0.0067,499,4.46,"{""2018"": [-12.63, -18.91], ""2019"": [23.75, -16.46], ""2020"": [38.64, -33.42], ""2021"": [83.42, -13.84], ""2022"": [-19.44, -33.61], ""2023"": [56.77, -28.49], ""2024"": [34.3, -14.36], ""2025"": [-18.04, -35.48], ""2026"": [12.89, -36.03]}",QS_base,cost40
QS_base|cost60,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,60.0,True,0.05,0.3,12,offset,19.1,19.1,19.1,14.02,20.96,14.02,-38.56,-44.12,0.5,0.69,61.4,44.7,27.74,-10.95,6.538,17,4.17,91.5,0.0065,498,4.13,"{""2018"": [-13.18, -19.16], ""2019"": [22.16, -16.8], ""2020"": [35.23, -33.49], ""2021"": [83.78, -14.12], ""2022"": [-20.93, -33.98], ""2023"": [54.1, -30.55], ""2024"": [32.26, -14.56], ""2025"": [-18.87, -35.5], ""2026"": [13.86, -36.61]}",QS_base,cost60
QS_base|cash0,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.0,0.3,12,offset,21.01,21.01,21.01,16.44,23.42,16.44,-37.48,-43.17,0.56,0.98,61.4,46.1,27.8,-10.75,7.275,17,4.21,91.4,0.0068,498,4.69,"{""2018"": [-12.95, -19.04], ""2019"": [23.15, -16.61], ""2020"": [37.45, -33.41], ""2021"": [84.47, -13.67], ""2022"": [-19.95, -33.24], ""2023"": [59.26, -28.24], ""2024"": [35.81, -14.03], ""2025"": [-16.73, -35.0], ""2026"": [15.45, -34.22]}",QS_base,cash0
QS_base|misspass,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,pass,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.19,21.19,21.19,17.44,23.26,17.44,-37.07,-43.08,0.58,0.77,61.4,46.3,27.83,-10.77,7.264,17,4.22,91.2,0.0069,498,4.75,"{""2018"": [-12.23, -18.73], ""2019"": [24.26, -16.2], ""2020"": [39.84, -33.38], ""2021"": [87.22, -13.98], ""2022"": [-19.06, -33.19], ""2023"": [59.36, -28.02], ""2024"": [35.95, -14.04], ""2025"": [-16.09, -34.91], ""2026"": [14.57, -34.42]}",QS_base,misspass
QS_v2|cost40,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,40.0,True,0.05,0.3,12,offset,20.54,20.54,20.54,16.86,24.66,16.86,-41.72,-46.59,0.51,0.7,38.1,45.6,33.65,-12.41,8.711,17,3.59,97.0,0.0118,309,4.55,"{""2018"": [-13.52, -22.85], ""2019"": [25.55, -19.31], ""2020"": [37.97, -30.06], ""2021"": [88.69, -16.9], ""2022"": [2.6, -28.77], ""2023"": [44.78, -23.38], ""2024"": [16.63, -16.75], ""2025"": [-18.17, -40.85], ""2026"": [19.51, -39.25]}",QS_v2,cost40
QS_v2|cost60,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,60.0,True,0.05,0.3,12,offset,19.19,19.19,19.19,14.7,23.37,14.7,-42.5,-47.77,0.45,0.66,38.2,44.5,33.89,-12.6,8.132,17,3.58,97.2,0.011,310,4.15,"{""2018"": [-14.12, -23.11], ""2019"": [24.58, -19.75], ""2020"": [36.77, -30.16], ""2021"": [87.44, -17.18], ""2022"": [1.86, -29.27], ""2023"": [44.05, -24.04], ""2024"": [15.27, -17.11], ""2025"": [-20.16, -41.5], ""2026"": [18.59, -41.5]}",QS_v2,cost60
QS_v2|cash0,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.0,0.3,12,offset,21.15,21.15,21.15,17.81,25.46,17.81,-40.97,-46.16,0.53,0.94,38.2,45.9,33.8,-12.28,9.026,17,3.6,97.0,0.0122,310,4.74,"{""2018"": [-13.25, -22.74], ""2019"": [26.13, -19.16], ""2020"": [38.58, -29.98], ""2021"": [89.91, -16.73], ""2022"": [2.41, -28.45], ""2023"": [45.02, -23.33], ""2024"": [17.65, -16.47], ""2025"": [-17.91, -40.35], ""2026"": [20.18, -38.41]}",QS_v2,cash0
QS_v2|misspass,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,pass,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.43,21.43,21.43,17.95,25.66,17.95,-40.93,-46.31,0.53,0.74,38.3,45.9,33.64,-12.27,8.995,17,3.6,96.9,0.0123,310,4.83,"{""2018"": [-13.06, -22.7], ""2019"": [26.31, -18.98], ""2020"": [38.84, -29.97], ""2021"": [89.08, -16.73], ""2022"": [4.06, -28.05], ""2023"": [45.16, -23.04], ""2024"": [17.68, -16.46], ""2025"": [-17.84, -40.34], ""2026"": [20.25, -38.35]}",QS_v2,misspass
QS_v2_eq|cost40,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,40.0,True,0.05,0.3,12,offset,19.85,19.85,19.85,14.73,22.0,14.73,-42.59,-48.76,0.47,0.67,38.5,45.6,33.33,-12.32,8.686,17,3.62,97.9,0.0122,312,4.34,"{""2018"": [-14.73, -24.01], ""2019"": [25.29, -20.66], ""2020"": [33.82, -31.74], ""2021"": [85.69, -17.55], ""2022"": [0.82, -29.23], ""2023"": [48.83, -23.56], ""2024"": [13.14, -16.91], ""2025"": [-19.46, -41.49], ""2026"": [18.59, -41.08]}",QS_v2_eq,cost40
QS_v2_eq|cost60,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,60.0,True,0.05,0.3,12,offset,18.49,18.49,18.49,13.1,20.63,13.1,-43.6,-50.73,0.41,0.62,38.4,44.5,33.58,-12.38,8.279,17,3.6,97.9,0.0117,311,3.96,"{""2018"": [-15.38, -24.21], ""2019"": [24.17, -21.15], ""2020"": [31.87, -31.81], ""2021"": [85.31, -17.34], ""2022"": [-1.23, -28.67], ""2023"": [47.02, -24.54], ""2024"": [11.38, -17.61], ""2025"": [-20.95, -42.3], ""2026"": [18.01, -42.79]}",QS_v2_eq,cost60
QS_v2_eq|cash0,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.0,0.3,12,offset,20.79,20.79,20.79,16.41,22.92,16.41,-41.85,-48.23,0.5,0.9,38.4,45.7,33.34,-12.2,9.052,17,3.6,98.0,0.0126,311,4.63,"{""2018"": [-14.3, -23.87], ""2019"": [26.07, -20.46], ""2020"": [34.92, -31.68], ""2021"": [87.22, -16.94], ""2022"": [0.66, -27.81], ""2023"": [49.91, -24.01], ""2024"": [14.27, -17.25], ""2025"": [-19.47, -41.66], ""2026"": [19.54, -39.8]}",QS_v2_eq,cash0
QS_v2_eq|misspass,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,pass,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.91,20.91,20.91,16.48,22.64,16.48,-41.72,-48.22,0.5,0.71,38.5,45.6,33.34,-12.14,8.938,17,3.61,98.0,0.0129,312,4.66,"{""2018"": [-14.23, -23.86], ""2019"": [26.13, -20.3], ""2020"": [35.3, -31.68], ""2021"": [87.17, -17.93], ""2022"": [0.85, -28.29], ""2023"": [50.31, -23.34], ""2024"": [14.73, -17.24], ""2025"": [-18.49, -41.38], ""2026"": [19.57, -40.53]}",QS_v2_eq,misspass
QS_v2_nbr|cost40,2018-08-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,40.0,True,0.05,0.3,12,offset,20.08,20.08,20.08,16.58,25.3,16.58,-41.8,-48.82,0.49,0.69,40.6,46.7,36.39,-13.14,9.611,16,3.23,98.6,0.0105,329,4.41,"{""2018"": [-13.1, -22.93], ""2019"": [25.34, -19.54], ""2020"": [38.86, -32.83], ""2021"": [85.01, -16.63], ""2022"": [0.8, -27.19], ""2023"": [55.24, -23.13], ""2024"": [15.16, -16.28], ""2025"": [-21.84, -40.88], ""2026"": [19.4, -39.92]}",QS_v2_nbr,cost40
QS_v2_nbr|cost60,2018-08-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,60.0,True,0.05,0.3,12,offset,18.47,18.47,18.47,15.49,23.97,15.49,-43.56,-49.22,0.44,0.63,40.7,45.5,36.49,-13.31,9.246,16,3.22,98.6,0.0101,330,3.95,"{""2018"": [-13.7, -23.14], ""2019"": [24.48, -19.94], ""2020"": [36.0, -32.9], ""2021"": [86.36, -16.92], ""2022"": [0.09, -27.41], ""2023"": [53.35, -22.65], ""2024"": [13.78, -16.98], ""2025"": [-23.09, -42.51], ""2026"": [18.66, -42.34]}",QS_v2_nbr,cost60
QS_v2_nbr|cash0,2018-08-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.0,0.3,12,offset,21.14,21.14,21.14,17.46,26.15,17.46,-41.6,-47.81,0.52,0.93,40.9,47.1,36.13,-12.92,9.98,16,3.24,98.6,0.0106,332,4.74,"{""2018"": [-12.82, -22.79], ""2019"": [25.94, -19.3], ""2020"": [39.75, -32.78], ""2021"": [85.94, -17.12], ""2022"": [2.64, -27.26], ""2023"": [56.04, -21.76], ""2024"": [16.42, -15.99], ""2025"": [-20.61, -40.7], ""2026"": [19.95, -38.8]}",QS_v2_nbr,cash0
QS_v2_nbr|misspass,2018-08-01,2026-09-10,rebalance,monthly,rs,12,1.5,near,0.825,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,pass,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.24,21.24,21.24,17.9,26.61,17.9,-41.8,-47.12,0.52,0.73,40.8,47.1,36.62,-12.92,9.989,16,3.23,98.6,0.0108,330,4.77,"{""2018"": [-12.65, -22.77], ""2019"": [25.97, -19.23], ""2020"": [40.44, -32.77], ""2021"": [87.69, -16.8], ""2022"": [2.97, -27.15], ""2023"": [56.23, -22.23], ""2024"": [16.21, -16.17], ""2025"": [-20.55, -40.7], ""2026"": [20.34, -38.76]}",QS_v2_nbr,misspass
