,offset0,offset1,offset2,offset3,offset4,offset5,offset6,offset7,offset8,offset9,offset10,offset11
2018-11-27,8908498.0,8617949.0,8402303.0,8694736.0,8815413.0,8582196.0,8509702.0,8721254.0,8527277.0,8797438.0,8953796.0,8640821.0
2018-11-28,8934584.0,8641783.0,8426007.0,8696461.0,8803010.0,8610433.0,8523284.0,8734285.0,8515956.0,8780667.0,8957964.0,8653788.0
2018-11-29,8915698.0,8632286.0,8416396.0,8698186.0,8771113.0,8593696.0,8506715.0,8717991.0,8523543.0,8763381.0,8960929.0,8662226.0
2018-11-30,8964897.0,8662481.0,8445814.0,8699911.0,8897739.0,8653211.0,8531151.0,8742723.0,8525850.0,8753652.0,8944295.0,8684208.0
2018-12-03,8991183.0,8681576.0,8464328.0,8701637.0,8908069.0,8674014.0,8537264.0,8749051.0,8525668.0,8763057.0,8955486.0,8711712.0
2018-12-04,9019453.0,8703580.0,8485667.0,8703363.0,8951023.0,8718874.0,8539684.0,8751862.0,8517899.0,8785182.0,8974662.0,8747506.0
2018-12-05,9019857.0,8711801.0,8501033.0,8705089.0,8910382.0,8717642.0,8535649.0,8747739.0,8500116.0,8793530.0,8985514.0,8757264.0
2018-12-06,8918629.0,8619095.0,8461557.0,8706816.0,8695332.0,8640260.0,8468518.0,8681025.0,8488614.0,8717546.0,8936332.0,8719195.0
2018-12-07,8917955.0,8618744.0,8462866.0,8690522.0,8813642.0,8633084.0,8494710.0,8706704.0,8507949.0,8794073.0,8952563.0,8715714.0
2018-12-10,8821588.0,8526370.0,8393400.0,8624749.0,8636193.0,8608045.0,8502405.0,8713948.0,8513474.0,8759117.0,8918924.0,8671528.0
2018-12-11,8864676.0,8567175.0,8436930.0,8662271.0,8695560.0,8674932.0,8502383.0,8714244.0,8507437.0,8788227.0,8933197.0,8721942.0
2018-12-12,8934358.0,8632666.0,8484715.0,8701877.0,8755838.0,8720416.0,8540337.0,8731647.0,8506529.0,8830673.0,8975698.0,8760036.0
2018-12-13,8935907.0,8633919.0,8478532.0,8694020.0,8760542.0,8719531.0,8544790.0,8719411.0,8503983.0,8836844.0,8983574.0,8750427.0
2018-12-14,8940948.0,8638531.0,8496385.0,8709175.0,8767648.0,8740168.0,8552258.0,8729094.0,8520080.0,8831156.0,8988926.0,8762516.0
2018-12-17,8960244.0,8655971.0,8498511.0,8705604.0,8780969.0,8743996.0,8564149.0,8747998.0,8540811.0,8854510.0,9002948.0,8772938.0
2018-12-18,8973470.0,8670585.0,8525016.0,8741445.0,8847351.0,8800698.0,8625544.0,8800634.0,8581461.0,8896630.0,9038592.0,8784556.0
