day,arm,kind,level,thresh_comb,dwell,fired,fire_hm,touch_comb,exit_comb,overshoot_pts,gross_lot,net_lot,net_6L,hold_net_lot,hold_net_6L,delta_lot,delta_6L,recovered
2026-05-21,RS3000,rs,3000,459.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS4000,rs,4000,509.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS4000,rs,4000,509.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS5000,rs,5000,559.45,1,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-21,RS5000,rs,5000,559.45,2,0,,,64.85,,4892,4866,29196,4866,29196,0,0,
2026-05-27,FRAC25,frac,0.25,253.0,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC25,frac,0.25,253.0,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC30,frac,0.3,263.12,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC30,frac,0.3,263.12,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC35,frac,0.35,273.24,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC35,frac,0.35,273.24,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC40,frac,0.4,283.36,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC40,frac,0.4,283.36,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC50,frac,0.5,303.6,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC50,frac,0.5,303.6,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC60,frac,0.6,323.84,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC60,frac,0.6,323.84,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC75,frac,0.75,354.2,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC75,frac,0.75,354.2,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC100,frac,1.0,404.8,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,FRAC100,frac,1.0,404.8,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS1000,rs,1000,252.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS1000,rs,1000,252.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS1500,rs,1500,277.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS1500,rs,1500,277.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS2000,rs,2000,302.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS2000,rs,2000,302.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS2500,rs,2500,327.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS2500,rs,2500,327.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS3000,rs,3000,352.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS3000,rs,3000,352.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS4000,rs,4000,402.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS4000,rs,4000,402.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS5000,rs,5000,452.4,1,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-05-27,RS5000,rs,5000,452.4,2,0,,,33.95,,3369,3346,20078,3346,20078,0,0,
2026-06-04,FRAC25,frac,0.25,361.25,1,1,13:15,421.8,421.8,60.55,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,FRAC25,frac,0.25,361.25,2,1,13:16,421.8,428.05,60.55,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,FRAC30,frac,0.3,375.7,1,1,13:15,421.8,421.8,46.1,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,FRAC30,frac,0.3,375.7,2,1,13:16,421.8,428.05,46.1,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,FRAC35,frac,0.35,390.15,1,1,13:15,421.8,421.8,31.65,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,FRAC35,frac,0.35,390.15,2,1,13:16,421.8,428.05,31.65,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,FRAC40,frac,0.4,404.6,1,1,13:15,421.8,421.8,17.2,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,FRAC40,frac,0.4,404.6,2,1,13:16,421.8,428.05,17.2,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,FRAC50,frac,0.5,433.5,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC50,frac,0.5,433.5,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC60,frac,0.6,462.4,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC60,frac,0.6,462.4,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC75,frac,0.75,505.75,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC75,frac,0.75,505.75,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC100,frac,1.0,578.0,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,FRAC100,frac,1.0,578.0,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS1000,rs,1000,339.0,1,1,13:15,421.8,421.8,82.8,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,RS1000,rs,1000,339.0,2,1,13:16,421.8,428.05,82.8,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,RS1500,rs,1500,364.0,1,1,13:15,421.8,421.8,57.8,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,RS1500,rs,1500,364.0,2,1,13:16,421.8,428.05,57.8,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,RS2000,rs,2000,389.0,1,1,13:15,421.8,421.8,32.8,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,RS2000,rs,2000,389.0,2,1,13:16,421.8,428.05,32.8,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,RS2500,rs,2500,414.0,1,1,13:15,421.8,421.8,7.8,-2656,-2939,-17636,4640,27838,-7579,-45475,1
2026-06-04,RS2500,rs,2500,414.0,2,1,13:16,421.8,428.05,7.8,-2781,-3064,-18387,4640,27838,-7704,-46225,1
2026-06-04,RS3000,rs,3000,439.0,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS3000,rs,3000,439.0,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS4000,rs,4000,489.0,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS4000,rs,4000,489.0,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS5000,rs,5000,539.0,1,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-04,RS5000,rs,5000,539.0,2,0,,,55.75,,4665,4640,27838,4640,27838,0,0,
2026-06-11,FRAC25,frac,0.25,368.88,1,1,13:22,378.3,378.3,9.43,-1664,-1947,-11683,-5240,-31440,3293,19757,0
2026-06-11,FRAC25,frac,0.25,368.88,2,1,13:23,378.3,363.0,9.43,-1358,-1641,-9846,-5240,-31440,3599,21594,0
2026-06-11,FRAC30,frac,0.3,383.63,1,1,13:27,387.45,387.45,3.82,-1847,-2130,-12781,-5240,-31440,3110,18658,0
2026-06-11,FRAC30,frac,0.3,383.63,2,1,13:28,387.45,381.3,3.82,-1724,-2007,-12043,-5240,-31440,3233,19397,0
2026-06-11,FRAC35,frac,0.35,398.39,1,1,14:09,418.7,418.7,20.31,-2472,-2756,-16533,-5240,-31440,2484,14907,0
2026-06-11,FRAC35,frac,0.35,398.39,2,1,14:10,418.7,379.15,20.31,-1681,-1964,-11785,-5240,-31440,3276,19655,0
2026-06-11,FRAC40,frac,0.4,413.14,1,1,14:09,418.7,418.7,5.56,-2472,-2756,-16533,-5240,-31440,2484,14907,0
2026-06-11,FRAC40,frac,0.4,413.14,2,1,14:10,418.7,379.15,5.56,-1681,-1964,-11785,-5240,-31440,3276,19655,0
2026-06-11,FRAC50,frac,0.5,442.65,1,1,14:44,446.8,446.8,4.15,-3034,-3318,-19907,-5240,-31440,1922,11533,0
2026-06-11,FRAC50,frac,0.5,442.65,2,1,14:45,446.8,434.95,4.15,-2797,-3081,-18484,-5240,-31440,2159,12956,0
2026-06-11,FRAC60,frac,0.6,472.16,1,1,14:47,481.05,481.05,8.89,-3719,-4003,-24018,-5240,-31440,1237,7421,0
2026-06-11,FRAC60,frac,0.6,472.16,2,1,14:48,481.05,521.1,8.89,-4520,-4804,-28827,-5240,-31440,436,2613,0
2026-06-11,FRAC75,frac,0.75,516.43,1,1,14:48,521.1,521.1,4.67,-4520,-4804,-28827,-5240,-31440,436,2613,0
2026-06-11,FRAC75,frac,0.75,516.43,2,1,14:49,521.1,491.45,4.67,-3927,-4211,-25267,-5240,-31440,1029,6173,0
2026-06-11,FRAC100,frac,1.0,590.2,1,1,15:02,593.25,593.25,3.05,-5963,-6248,-37489,-5240,-31440,-1008,-6049,1
2026-06-11,FRAC100,frac,1.0,590.2,2,1,15:03,593.25,586.95,3.05,-5837,-6122,-36732,-5240,-31440,-882,-5292,1
2026-06-11,RS1000,rs,1000,345.1,1,1,13:21,360.6,360.6,15.5,-1310,-1593,-9558,-5240,-31440,3647,21882,0
2026-06-11,RS1000,rs,1000,345.1,2,1,13:22,360.6,378.3,15.5,-1664,-1947,-11683,-5240,-31440,3293,19757,0
2026-06-11,RS1500,rs,1500,370.1,1,1,13:22,378.3,378.3,8.2,-1664,-1947,-11683,-5240,-31440,3293,19757,0
2026-06-11,RS1500,rs,1500,370.1,2,1,13:23,378.3,363.0,8.2,-1358,-1641,-9846,-5240,-31440,3599,21594,0
2026-06-11,RS2000,rs,2000,395.1,1,1,14:09,418.7,418.7,23.6,-2472,-2756,-16533,-5240,-31440,2484,14907,0
2026-06-11,RS2000,rs,2000,395.1,2,1,14:10,418.7,379.15,23.6,-1681,-1964,-11785,-5240,-31440,3276,19655,0
2026-06-11,RS2500,rs,2500,420.1,1,1,14:44,446.8,446.8,26.7,-3034,-3318,-19907,-5240,-31440,1922,11533,0
2026-06-11,RS2500,rs,2500,420.1,2,1,14:45,446.8,434.95,26.7,-2797,-3081,-18484,-5240,-31440,2159,12956,0
2026-06-11,RS3000,rs,3000,445.1,1,1,14:44,446.8,446.8,1.7,-3034,-3318,-19907,-5240,-31440,1922,11533,0
2026-06-11,RS3000,rs,3000,445.1,2,1,14:45,446.8,434.95,1.7,-2797,-3081,-18484,-5240,-31440,2159,12956,0
2026-06-11,RS4000,rs,4000,495.1,1,1,14:48,521.1,521.1,26.0,-4520,-4804,-28827,-5240,-31440,436,2613,0
2026-06-11,RS4000,rs,4000,495.1,2,1,14:49,521.1,491.45,26.0,-3927,-4211,-25267,-5240,-31440,1029,6173,0
2026-06-11,RS5000,rs,5000,545.1,1,1,15:01,577.2,577.2,32.1,-5642,-5927,-35562,-5240,-31440,-687,-4122,1
2026-06-11,RS5000,rs,5000,545.1,2,1,15:02,577.2,593.25,32.1,-5963,-6248,-37489,-5240,-31440,-1008,-6049,1
2026-06-18,FRAC25,frac,0.25,243.56,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC25,frac,0.25,243.56,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC30,frac,0.3,253.31,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC30,frac,0.3,253.31,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC35,frac,0.35,263.05,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC35,frac,0.35,263.05,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC40,frac,0.4,272.79,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC40,frac,0.4,272.79,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC50,frac,0.5,292.28,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC50,frac,0.5,292.28,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC60,frac,0.6,311.76,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC60,frac,0.6,311.76,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC75,frac,0.75,340.99,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC75,frac,0.75,340.99,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC100,frac,1.0,389.7,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,FRAC100,frac,1.0,389.7,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,RS1000,rs,1000,244.85,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,RS1000,rs,1000,244.85,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,RS1500,rs,1500,269.85,1,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
2026-06-18,RS1500,rs,1500,269.85,2,0,,,124.75,,1402,1379,8273,1379,8273,0,0,
