label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
B_NIFTYBEES_sma100_half_monthly_tax1,NIFTYBEES,sma100,half,monthly,8,donch15,0,1,0.065,0.003,19.08,-37.15,1.05,0.51,22.45,-33.29,1.22,0.67,15.65,-19.79,0.96,0.79,34.81,-24.94,1.61,1.4,246,1220,28,277.6,767.2,0.55,0.1
B_NIFTY50_sma100_cash_daily_tax0,NIFTY50,sma100,cash,daily,8,donch15,0,0,0.065,0.003,16.71,-50.08,0.98,0.33,20.53,-25.51,1.28,0.8,13.84,-21.27,0.96,0.65,28.65,-25.51,1.54,1.12,184,816,83,211.2,0.0,0.46,0.0
B_NIFTY50_sma100_cash_daily_tax1,NIFTY50,sma100,cash,daily,8,donch15,0,1,0.065,0.003,13.51,-52.02,0.81,0.26,16.91,-29.39,1.07,0.58,11.04,-25.87,0.78,0.43,24.03,-29.39,1.32,0.82,184,816,83,142.1,295.3,0.46,0.1
B_NIFTY50_sma100_cash_weekly_tax0,NIFTY50,sma100,cash,weekly,8,donch15,0,0,0.065,0.003,19.99,-50.08,1.12,0.4,24.95,-17.1,1.46,1.46,19.24,-16.39,1.21,1.17,33.59,-16.47,1.71,2.04,184,846,42,286.6,0.0,0.48,0.0
B_NIFTY50_sma100_cash_weekly_tax1,NIFTY50,sma100,cash,weekly,8,donch15,0,1,0.065,0.003,16.28,-52.02,0.93,0.31,20.57,-23.67,1.22,0.87,15.52,-23.02,0.98,0.67,28.15,-18.37,1.46,1.53,184,846,42,180.6,439.5,0.48,0.1
B_NIFTY50_sma100_cash_monthly_tax0,NIFTY50,sma100,cash,monthly,8,donch15,0,0,0.065,0.003,20.44,-50.08,1.12,0.41,25.62,-18.78,1.44,1.36,20.5,-14.66,1.25,1.4,35.8,-18.78,1.73,1.91,184,893,21,267.0,0.0,0.49,0.0
B_NIFTY50_sma100_cash_monthly_tax1,NIFTY50,sma100,cash,monthly,8,donch15,0,1,0.065,0.003,16.6,-52.02,0.93,0.32,21.06,-21.61,1.2,0.97,16.62,-21.61,1.01,0.77,29.81,-20.75,1.48,1.44,184,893,21,168.2,472.3,0.5,0.1
B_NIFTY50_sma100_block_daily_tax0,NIFTY50,sma100,block,daily,8,donch15,0,0,0.065,0.003,19.84,-50.08,1.08,0.4,25.23,-16.78,1.42,1.5,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,919,83,247.8,0.0,0.51,0.0
B_NIFTY50_sma100_block_daily_tax1,NIFTY50,sma100,block,daily,8,donch15,0,1,0.065,0.003,16.14,-52.02,0.9,0.31,20.86,-22.05,1.19,0.95,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,919,83,159.0,433.3,0.51,0.1
B_NIFTY50_sma100_block_weekly_tax0,NIFTY50,sma100,block,weekly,8,donch15,0,0,0.065,0.003,19.84,-50.08,1.08,0.4,25.23,-16.78,1.42,1.5,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,919,42,247.8,0.0,0.51,0.0
B_NIFTY50_sma100_block_weekly_tax1,NIFTY50,sma100,block,weekly,8,donch15,0,1,0.065,0.003,16.14,-52.02,0.9,0.31,20.86,-22.05,1.19,0.95,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,919,42,159.0,433.3,0.51,0.1
B_NIFTY50_sma100_block_monthly_tax0,NIFTY50,sma100,block,monthly,8,donch15,0,0,0.065,0.003,19.84,-50.08,1.08,0.4,25.23,-16.78,1.42,1.5,20.35,-15.04,1.23,1.35,34.49,-16.78,1.67,2.06,246,919,21,247.8,0.0,0.51,0.0
B_NIFTY50_sma100_block_monthly_tax1,NIFTY50,sma100,block,monthly,8,donch15,0,1,0.065,0.003,16.14,-52.02,0.9,0.31,20.86,-22.05,1.19,0.95,16.87,-20.95,1.04,0.81,28.74,-19.17,1.42,1.5,246,919,21,159.0,433.3,0.51,0.1
B_NIFTY50_sma100_half_daily_tax0,NIFTY50,sma100,half,daily,8,donch15,0,0,0.065,0.003,19.72,-50.08,1.09,0.39,25.01,-29.7,1.43,0.84,15.83,-17.2,1.04,0.92,38.11,-20.89,1.84,1.82,246,1220,83,314.1,0.0,0.55,0.1
B_NIFTY50_sma100_half_daily_tax1,NIFTY50,sma100,half,daily,8,donch15,0,1,0.065,0.003,15.88,-52.02,0.9,0.31,20.45,-33.49,1.19,0.61,12.57,-22.56,0.84,0.56,32.14,-26.73,1.59,1.2,246,1220,83,196.1,433.9,0.55,0.1
B_NIFTY50_sma100_half_weekly_tax0,NIFTY50,sma100,half,weekly,8,donch15,0,0,0.065,0.003,21.25,-50.08,1.14,0.42,27.02,-27.87,1.48,0.97,19.05,-15.68,1.16,1.21,40.22,-20.46,1.87,1.97,246,1220,42,358.0,0.0,0.57,0.1
B_NIFTY50_sma100_half_weekly_tax1,NIFTY50,sma100,half,weekly,8,donch15,0,1,0.065,0.003,17.12,-52.02,0.94,0.33,22.02,-32.56,1.23,0.68,15.39,-21.8,0.96,0.71,33.68,-24.98,1.61,1.35,246,1220,42,216.0,523.8,0.57,0.1
B_NIFTY50_sma100_half_monthly_tax0,NIFTY50,sma100,half,monthly,8,donch15,0,0,0.065,0.003,21.52,-50.08,1.13,0.43,27.42,-28.65,1.46,0.96,19.24,-13.41,1.16,1.44,41.74,-21.23,1.88,1.97,246,1220,21,339.6,0.0,0.58,0.1
B_NIFTY50_sma100_half_monthly_tax1,NIFTY50,sma100,half,monthly,8,donch15,0,1,0.065,0.003,17.43,-52.02,0.94,0.34,22.49,-33.29,1.23,0.68,15.65,-19.79,0.96,0.79,35.21,-24.94,1.63,1.41,246,1220,21,206.3,516.4,0.58,0.1
B_NIFTYBEES_xo20_100_cash_daily_tax0,NIFTYBEES,xo20_100,cash,daily,8,donch15,0,0,0.065,0.003,20.73,-23.33,1.21,0.89,22.53,-20.2,1.33,1.12,17.07,-16.26,1.09,1.05,32.51,-15.73,1.63,2.07,164,762,27,350.9,0.0,0.42,0.0
B_NIFTYBEES_xo20_100_cash_daily_tax1,NIFTYBEES,xo20_100,cash,daily,8,donch15,0,1,0.065,0.003,16.93,-24.25,1.0,0.7,18.41,-23.79,1.1,0.77,13.9,-22.91,0.89,0.61,26.88,-20.03,1.38,1.34,164,762,27,219.9,541.0,0.42,0.1
B_NIFTYBEES_xo20_100_cash_weekly_tax0,NIFTYBEES,xo20_100,cash,weekly,8,donch15,0,0,0.065,0.003,20.07,-24.18,1.17,0.83,22.32,-22.39,1.31,1.0,16.38,-17.6,1.05,0.93,33.15,-15.73,1.65,2.11,164,772,27,309.7,0.0,0.42,0.0
B_NIFTYBEES_xo20_100_cash_weekly_tax1,NIFTYBEES,xo20_100,cash,weekly,8,donch15,0,1,0.065,0.003,16.32,-25.98,0.97,0.63,18.16,-25.98,1.08,0.7,13.26,-24.15,0.85,0.55,27.37,-20.15,1.39,1.36,164,772,27,196.0,489.4,0.42,0.1
B_NIFTYBEES_xo20_100_cash_monthly_tax0,NIFTYBEES,xo20_100,cash,monthly,8,donch15,0,0,0.065,0.003,19.81,-23.76,1.14,0.83,22.15,-22.39,1.29,0.99,16.74,-16.29,1.06,1.03,32.55,-20.07,1.6,1.62,164,804,26,291.6,0.0,0.44,0.0
B_NIFTYBEES_xo20_100_cash_monthly_tax1,NIFTYBEES,xo20_100,cash,monthly,8,donch15,0,1,0.065,0.003,16.07,-25.98,0.94,0.62,17.97,-25.98,1.06,0.69,13.55,-23.12,0.86,0.59,26.79,-24.44,1.35,1.1,164,804,26,186.2,475.8,0.44,0.1
B_NIFTYBEES_xo20_100_block_daily_tax0,NIFTYBEES,xo20_100,block,daily,8,donch15,0,0,0.065,0.003,19.0,-25.16,1.1,0.76,21.31,-22.39,1.24,0.95,16.59,-16.66,1.05,1.0,31.24,-21.15,1.53,1.48,246,836,27,265.2,0.0,0.45,0.0
B_NIFTYBEES_xo20_100_block_daily_tax1,NIFTYBEES,xo20_100,block,daily,8,donch15,0,1,0.065,0.003,15.45,-27.62,0.91,0.56,17.38,-27.62,1.03,0.63,13.82,-22.47,0.89,0.61,25.63,-27.01,1.29,0.95,246,836,27,173.6,429.8,0.45,0.1
B_NIFTYBEES_xo20_100_block_weekly_tax0,NIFTYBEES,xo20_100,block,weekly,8,donch15,0,0,0.065,0.003,19.0,-25.16,1.1,0.76,21.31,-22.39,1.24,0.95,16.59,-16.66,1.05,1.0,31.24,-21.15,1.53,1.48,246,836,27,265.2,0.0,0.45,0.0
B_NIFTYBEES_xo20_100_block_weekly_tax1,NIFTYBEES,xo20_100,block,weekly,8,donch15,0,1,0.065,0.003,15.45,-27.62,0.91,0.56,17.38,-27.62,1.03,0.63,13.82,-22.47,0.89,0.61,25.63,-27.01,1.29,0.95,246,836,27,173.6,429.8,0.45,0.1
B_NIFTYBEES_xo20_100_block_monthly_tax0,NIFTYBEES,xo20_100,block,monthly,8,donch15,0,0,0.065,0.003,19.0,-25.16,1.1,0.76,21.31,-22.39,1.24,0.95,16.59,-16.66,1.05,1.0,31.24,-21.15,1.53,1.48,246,836,26,265.2,0.0,0.45,0.0
B_NIFTYBEES_xo20_100_block_monthly_tax1,NIFTYBEES,xo20_100,block,monthly,8,donch15,0,1,0.065,0.003,15.45,-27.62,0.91,0.56,17.38,-27.62,1.03,0.63,13.82,-22.47,0.89,0.61,25.63,-27.01,1.29,0.95,246,836,26,173.6,429.8,0.45,0.1
B_NIFTYBEES_xo20_100_half_daily_tax0,NIFTYBEES,xo20_100,half,daily,8,donch15,0,0,0.065,0.003,21.8,-32.13,1.2,0.68,26.53,-30.76,1.44,0.86,18.13,-15.9,1.11,1.14,40.64,-20.46,1.86,1.99,246,1220,27,385.7,0.0,0.54,0.1
B_NIFTYBEES_xo20_100_half_daily_tax1,NIFTYBEES,xo20_100,half,daily,8,donch15,0,1,0.065,0.003,17.76,-35.63,1.0,0.5,21.78,-34.87,1.21,0.62,14.64,-22.02,0.92,0.66,34.24,-25.41,1.6,1.35,246,1220,27,235.5,560.2,0.54,0.1
B_NIFTYBEES_xo20_100_half_weekly_tax0,NIFTYBEES,xo20_100,half,weekly,8,donch15,0,0,0.065,0.003,21.48,-34.29,1.18,0.63,26.45,-31.31,1.43,0.84,17.73,-16.71,1.09,1.06,40.98,-20.46,1.86,2.0,246,1220,27,363.7,0.0,0.54,0.1
B_NIFTYBEES_xo20_100_half_weekly_tax1,NIFTYBEES,xo20_100,half,weekly,8,donch15,0,1,0.065,0.003,17.48,-37.37,0.98,0.47,21.69,-35.44,1.2,0.61,14.27,-22.77,0.9,0.63,34.5,-25.53,1.61,1.35,246,1220,27,223.3,534.7,0.55,0.1
B_NIFTYBEES_xo20_100_half_monthly_tax0,NIFTYBEES,xo20_100,half,monthly,8,donch15,0,0,0.065,0.003,21.23,-35.04,1.16,0.61,26.2,-31.72,1.41,0.83,17.96,-15.92,1.1,1.13,40.36,-20.07,1.83,2.01,246,1220,26,346.7,0.0,0.55,0.1
B_NIFTYBEES_xo20_100_half_monthly_tax1,NIFTYBEES,xo20_100,half,monthly,8,donch15,0,1,0.065,0.003,17.26,-37.98,0.96,0.45,21.46,-35.82,1.18,0.6,14.46,-22.13,0.9,0.65,33.96,-25.1,1.57,1.35,246,1220,26,214.3,518.1,0.55,0.1
