venue,entry,T,arm,scope,n,mean,median,win_pct,t,worst,total
NIFTY,09:16,35,CSL25,ALLDTE,81,-155,26,51,-1.58,-2645,-12567
NIFTY,09:16,35,CSL25,LIVEDTE,48,-99,58,54,-0.81,-2645,-4752
NIFTY,09:16,35,CSL30,ALLDTE,81,-142,26,51,-1.49,-2765,-11540
NIFTY,09:16,35,CSL30,LIVEDTE,48,-78,58,54,-0.66,-2765,-3725
NIFTY,09:16,35,MOVE04,ALLDTE,81,-175,26,51,-1.73,-3614,-14171
NIFTY,09:16,35,MOVE04,LIVEDTE,48,-113,58,54,-0.9,-3614,-5445
NIFTY,09:16,35,NOSTOP,ALLDTE,81,-167,26,51,-1.57,-4764,-13539
NIFTY,09:16,35,NOSTOP,LIVEDTE,48,-119,58,54,-0.84,-4764,-5724
NIFTY,09:16,35,PERLEG30,ALLDTE,81,-346,-305,41,-3.23,-4456,-28041
NIFTY,09:16,35,PERLEG30,LIVEDTE,48,-312,-346,38,-2.94,-2021,-14959
NIFTY,09:16,35,RUP2500,ALLDTE,81,-148,26,51,-1.51,-2973,-11972
NIFTY,09:16,35,RUP2500,LIVEDTE,48,-78,58,54,-0.66,-2765,-3725
NIFTY,09:16,40,CSL15,ALLDTE,81,-186,4,51,-1.81,-2869,-15082
NIFTY,09:16,40,CSL15,LIVEDTE,48,-128,145,56,-1.0,-2073,-6154
NIFTY,09:16,40,CSL20,ALLDTE,81,-191,4,51,-1.83,-2869,-15484
NIFTY,09:16,40,CSL20,LIVEDTE,48,-137,145,56,-1.03,-2154,-6556
NIFTY,09:16,40,CSL25,ALLDTE,81,-145,10,52,-1.41,-2869,-11772
NIFTY,09:16,40,CSL25,LIVEDTE,48,-59,162,58,-0.46,-2645,-2844
NIFTY,09:16,40,CSL30,ALLDTE,81,-133,10,52,-1.31,-2869,-10765
NIFTY,09:16,40,CSL30,LIVEDTE,48,-38,162,58,-0.31,-2765,-1837
NIFTY,09:16,40,MOVE04,ALLDTE,81,-157,10,52,-1.49,-3614,-12701
NIFTY,09:16,40,MOVE04,LIVEDTE,48,-74,145,58,-0.56,-3614,-3573
NIFTY,09:16,40,NOSTOP,ALLDTE,81,-151,10,52,-1.39,-4241,-12241
NIFTY,09:16,40,NOSTOP,LIVEDTE,48,-69,162,58,-0.49,-4241,-3313
NIFTY,09:16,40,PERLEG30,ALLDTE,81,-328,-240,41,-3.11,-4170,-26555
NIFTY,09:16,40,PERLEG30,LIVEDTE,48,-292,-261,40,-2.61,-2155,-14019
NIFTY,09:16,40,RUP2500,ALLDTE,81,-134,10,52,-1.32,-2973,-10869
NIFTY,09:16,40,RUP2500,LIVEDTE,48,-38,162,58,-0.31,-2765,-1837
NIFTY,09:16,45,CSL15,ALLDTE,81,-145,46,53,-1.31,-2762,-11715
NIFTY,09:16,45,CSL15,LIVEDTE,48,-103,163,58,-0.77,-2184,-4922
NIFTY,09:16,45,CSL20,ALLDTE,81,-145,46,53,-1.3,-2762,-11766
NIFTY,09:16,45,CSL20,LIVEDTE,48,-104,163,58,-0.76,-2154,-4973
NIFTY,09:16,45,CSL25,ALLDTE,81,-84,49,56,-0.76,-2762,-6816
NIFTY,09:16,45,CSL25,LIVEDTE,48,0,208,62,-0.0,-2645,-23
NIFTY,09:16,45,CSL30,ALLDTE,81,-71,49,56,-0.65,-2765,-5750
NIFTY,09:16,45,CSL30,LIVEDTE,48,22,208,62,0.17,-2765,1043
NIFTY,09:16,45,MOVE04,ALLDTE,81,-102,49,54,-0.91,-3614,-8254
NIFTY,09:16,45,MOVE04,LIVEDTE,48,-26,176,62,-0.19,-3614,-1254
NIFTY,09:16,45,NOSTOP,ALLDTE,81,-81,49,56,-0.72,-3604,-6589
NIFTY,09:16,45,NOSTOP,LIVEDTE,48,4,208,62,0.03,-3604,204
NIFTY,09:16,45,PERLEG30,ALLDTE,81,-317,-256,43,-2.61,-5388,-25695
NIFTY,09:16,45,PERLEG30,LIVEDTE,48,-264,-204,44,-2.2,-2015,-12653
NIFTY,09:16,45,RUP2500,ALLDTE,81,-74,49,56,-0.67,-2973,-5961
NIFTY,09:16,45,RUP2500,LIVEDTE,48,22,208,62,0.17,-2765,1043
NIFTY,09:16,50,CSL15,ALLDTE,81,-93,130,53,-0.84,-2382,-7561
NIFTY,09:16,50,CSL15,LIVEDTE,48,-31,200,58,-0.23,-2184,-1507
NIFTY,09:16,50,CSL20,ALLDTE,81,-82,130,53,-0.74,-2382,-6646
NIFTY,09:16,50,CSL20,LIVEDTE,48,-12,200,58,-0.09,-2154,-592
NIFTY,09:16,50,CSL25,ALLDTE,81,-20,163,56,-0.18,-2645,-1618
NIFTY,09:16,50,CSL25,LIVEDTE,48,92,260,62,0.71,-2645,4436
NIFTY,09:16,50,CSL30,ALLDTE,81,-6,163,56,-0.05,-2765,-451
NIFTY,09:16,50,CSL30,LIVEDTE,48,117,260,62,0.94,-2765,5603
NIFTY,09:16,50,MOVE04,ALLDTE,81,-61,130,54,-0.54,-3614,-4980
NIFTY,09:16,50,MOVE04,LIVEDTE,48,24,200,60,0.17,-3614,1152
NIFTY,09:16,50,NOSTOP,ALLDTE,81,0,163,56,0.0,-2382,20
NIFTY,09:16,50,NOSTOP,LIVEDTE,48,127,260,62,1.06,-2294,6074
NIFTY,09:16,50,PERLEG30,ALLDTE,81,-303,-335,44,-2.41,-5557,-24535
NIFTY,09:16,50,PERLEG30,LIVEDTE,48,-280,-342,44,-2.18,-2369,-13425
NIFTY,09:16,50,RUP2500,ALLDTE,81,-13,163,56,-0.12,-2973,-1042
NIFTY,09:16,50,RUP2500,LIVEDTE,48,117,260,62,0.94,-2765,5603
NIFTY,09:16,55,CSL15,ALLDTE,81,-129,72,52,-1.09,-3120,-10418
NIFTY,09:16,55,CSL15,LIVEDTE,48,-73,119,56,-0.54,-2184,-3518
NIFTY,09:16,55,CSL20,ALLDTE,81,-117,72,52,-1.0,-3120,-9441
NIFTY,09:16,55,CSL20,LIVEDTE,48,-53,119,56,-0.4,-2154,-2541
NIFTY,09:16,55,CSL25,ALLDTE,81,-54,95,54,-0.46,-3120,-4358
NIFTY,09:16,55,CSL25,LIVEDTE,48,53,194,60,0.41,-2645,2542
NIFTY,09:16,55,CSL30,ALLDTE,81,-32,95,54,-0.28,-3120,-2593
NIFTY,09:16,55,CSL30,LIVEDTE,48,90,194,60,0.74,-2765,4307
NIFTY,09:16,55,MOVE04,ALLDTE,81,-58,95,54,-0.51,-3614,-4685
NIFTY,09:16,55,MOVE04,LIVEDTE,48,2,156,60,0.02,-3614,110
NIFTY,09:16,55,NOSTOP,ALLDTE,81,-35,95,54,-0.31,-3120,-2850
NIFTY,09:16,55,NOSTOP,LIVEDTE,48,84,194,60,0.68,-3022,4050
NIFTY,09:16,55,PERLEG30,ALLDTE,81,-343,-234,41,-2.68,-5248,-27750
NIFTY,09:16,55,PERLEG30,LIVEDTE,48,-337,-292,38,-2.47,-2811,-16156
NIFTY,09:16,55,RUP2500,ALLDTE,81,-30,95,54,-0.27,-2973,-2443
NIFTY,09:16,55,RUP2500,LIVEDTE,48,90,194,60,0.74,-2765,4307
NIFTY,09:16,60,CSL15,ALLDTE,81,-82,153,58,-0.67,-3747,-6650
NIFTY,09:16,60,CSL15,LIVEDTE,48,1,172,62,0.01,-2184,53
NIFTY,09:16,60,CSL20,ALLDTE,81,-71,153,58,-0.58,-3747,-5732
NIFTY,09:16,60,CSL20,LIVEDTE,48,20,172,62,0.15,-2154,971
NIFTY,09:16,60,CSL25,ALLDTE,81,-2,172,60,-0.02,-3747,-149
NIFTY,09:16,60,CSL25,LIVEDTE,48,137,322,67,1.01,-2645,6554
NIFTY,09:16,60,CSL30,ALLDTE,81,32,172,60,0.28,-3747,2623
NIFTY,09:16,60,CSL30,LIVEDTE,48,194,322,67,1.59,-2765,9326
NIFTY,09:16,60,MOVE04,ALLDTE,81,-15,134,58,-0.13,-3614,-1189
NIFTY,09:16,60,MOVE04,LIVEDTE,48,68,226,65,0.46,-3614,3254
NIFTY,09:16,60,NOSTOP,ALLDTE,81,32,172,60,0.28,-3747,2609
NIFTY,09:16,60,NOSTOP,LIVEDTE,48,194,322,67,1.58,-2779,9312
NIFTY,09:16,60,PERLEG30,ALLDTE,81,-276,-68,46,-2.09,-6383,-22331
NIFTY,09:16,60,PERLEG30,LIVEDTE,48,-231,-70,44,-1.78,-2580,-11078
NIFTY,09:16,60,RUP2500,ALLDTE,81,37,172,60,0.32,-3240,2981
NIFTY,09:16,60,RUP2500,LIVEDTE,48,194,322,67,1.59,-2765,9326
NIFTY,09:16,65,CSL15,ALLDTE,81,-128,143,58,-0.99,-4868,-10351
NIFTY,09:16,65,CSL15,LIVEDTE,48,-55,156,62,-0.4,-2184,-2656
NIFTY,09:16,65,CSL20,ALLDTE,81,-119,143,58,-0.92,-4898,-9645
NIFTY,09:16,65,CSL20,LIVEDTE,48,-40,156,62,-0.29,-2154,-1920
NIFTY,09:16,65,CSL25,ALLDTE,81,-44,169,60,-0.34,-4898,-3600
NIFTY,09:16,65,CSL25,LIVEDTE,48,86,239,67,0.62,-2645,4125
NIFTY,09:16,65,CSL30,ALLDTE,81,-23,169,60,-0.18,-4898,-1858
NIFTY,09:16,65,CSL30,LIVEDTE,48,122,239,67,0.94,-2765,5867
NIFTY,09:16,65,MOVE04,ALLDTE,81,-22,156,58,-0.19,-3614,-1814
NIFTY,09:16,65,MOVE04,LIVEDTE,48,46,239,65,0.31,-3614,2186
NIFTY,09:16,65,NOSTOP,ALLDTE,81,-25,169,60,-0.2,-4898,-2060
NIFTY,09:16,65,NOSTOP,LIVEDTE,48,118,239,67,0.89,-2967,5665
NIFTY,09:16,65,PERLEG30,ALLDTE,81,-258,-6,48,-1.78,-7507,-20875
NIFTY,09:16,65,PERLEG30,LIVEDTE,48,-180,-88,48,-1.33,-2580,-8657
NIFTY,09:16,65,RUP2500,ALLDTE,81,-8,169,60,-0.07,-3240,-636
NIFTY,09:16,65,RUP2500,LIVEDTE,48,122,239,67,0.94,-2765,5867
NIFTY,09:30,20,CSL15,ALLDTE,81,-124,-45,40,-2.66,-1791,-10033
NIFTY,09:30,20,CSL15,LIVEDTE,16,14,190,62,0.09,-1791,217
NIFTY,09:30,20,CSL20,ALLDTE,81,-135,-45,40,-2.57,-2704,-10946
NIFTY,09:30,20,CSL20,LIVEDTE,16,-44,190,62,-0.23,-2704,-696
NIFTY,09:30,20,CSL25,ALLDTE,81,-135,-45,40,-2.57,-2704,-10946
NIFTY,09:30,20,CSL25,LIVEDTE,16,-44,190,62,-0.23,-2704,-696
NIFTY,09:30,20,CSL30,ALLDTE,81,-109,-45,40,-2.59,-1105,-8823
NIFTY,09:30,20,CSL30,LIVEDTE,16,89,190,62,0.94,-581,1427
NIFTY,09:30,20,MOVE04,ALLDTE,81,-110,-45,40,-2.62,-1105,-8927
NIFTY,09:30,20,MOVE04,LIVEDTE,16,89,190,62,0.94,-581,1427
NIFTY,09:30,20,NOSTOP,ALLDTE,81,-109,-45,40,-2.59,-1105,-8823
NIFTY,09:30,20,NOSTOP,LIVEDTE,16,89,190,62,0.94,-581,1427
NIFTY,09:30,20,PERLEG30,ALLDTE,81,-108,-45,41,-2.43,-1105,-8776
NIFTY,09:30,20,PERLEG30,LIVEDTE,16,23,140,62,0.21,-845,373
NIFTY,09:30,20,RUP2500,ALLDTE,81,-109,-45,40,-2.59,-1105,-8823
NIFTY,09:30,20,RUP2500,LIVEDTE,16,89,190,62,0.94,-581,1427
NIFTY,09:30,25,CSL15,ALLDTE,81,-92,-36,44,-1.77,-1791,-7420
NIFTY,09:30,25,CSL15,LIVEDTE,16,62,252,69,0.42,-1791,988
NIFTY,09:30,25,CSL20,ALLDTE,81,-103,-36,44,-1.79,-2704,-8333
NIFTY,09:30,25,CSL20,LIVEDTE,16,5,252,69,0.02,-2704,75
NIFTY,09:30,25,CSL25,ALLDTE,81,-103,-36,44,-1.79,-2704,-8333
NIFTY,09:30,25,CSL25,LIVEDTE,16,5,252,69,0.02,-2704,75
NIFTY,09:30,25,CSL30,ALLDTE,81,-80,-36,44,-1.66,-1222,-6493
NIFTY,09:30,25,CSL30,LIVEDTE,16,120,252,69,1.11,-864,1915
NIFTY,09:30,25,MOVE04,ALLDTE,81,-81,-36,44,-1.7,-1147,-6552
NIFTY,09:30,25,MOVE04,LIVEDTE,16,120,252,69,1.11,-864,1915
NIFTY,09:30,25,NOSTOP,ALLDTE,81,-80,-36,44,-1.66,-1222,-6493
NIFTY,09:30,25,NOSTOP,LIVEDTE,16,120,252,69,1.11,-864,1915
NIFTY,09:30,25,PERLEG30,ALLDTE,81,-89,-32,46,-1.56,-1787,-7212
NIFTY,09:30,25,PERLEG30,LIVEDTE,16,46,286,69,0.29,-1446,739
NIFTY,09:30,25,RUP2500,ALLDTE,81,-80,-36,44,-1.66,-1222,-6493
NIFTY,09:30,25,RUP2500,LIVEDTE,16,120,252,69,1.11,-864,1915
NIFTY,09:30,30,CSL15,ALLDTE,81,-30,78,56,-0.54,-1791,-2425
NIFTY,09:30,30,CSL15,LIVEDTE,16,171,298,81,1.13,-1791,2737
NIFTY,09:30,30,CSL20,ALLDTE,81,-41,78,56,-0.68,-2704,-3338
NIFTY,09:30,30,CSL20,LIVEDTE,16,114,298,81,0.57,-2704,1824
NIFTY,09:30,30,CSL25,ALLDTE,81,-41,78,56,-0.68,-2704,-3338
NIFTY,09:30,30,CSL25,LIVEDTE,16,114,298,81,0.57,-2704,1824
NIFTY,09:30,30,CSL30,ALLDTE,81,-22,78,56,-0.42,-1388,-1804
NIFTY,09:30,30,CSL30,LIVEDTE,16,210,298,81,1.73,-1170,3358
NIFTY,09:30,30,MOVE04,ALLDTE,81,-28,62,54,-0.54,-1388,-2265
NIFTY,09:30,30,MOVE04,LIVEDTE,16,210,298,81,1.73,-1170,3358
NIFTY,09:30,30,NOSTOP,ALLDTE,81,-22,78,56,-0.42,-1388,-1804
NIFTY,09:30,30,NOSTOP,LIVEDTE,16,210,298,81,1.73,-1170,3358
NIFTY,09:30,30,PERLEG30,ALLDTE,81,-50,78,56,-0.74,-2369,-4046
NIFTY,09:30,30,PERLEG30,LIVEDTE,16,-3,275,75,-0.01,-2304,-44
NIFTY,09:30,30,RUP2500,ALLDTE,81,-22,78,56,-0.42,-1388,-1804
NIFTY,09:30,30,RUP2500,LIVEDTE,16,210,298,81,1.73,-1170,3358
NIFTY,09:30,35,CSL15,ALLDTE,81,34,124,64,0.55,-1791,2752
NIFTY,09:30,35,CSL15,LIVEDTE,16,293,422,88,1.86,-1791,4693
NIFTY,09:30,35,CSL20,ALLDTE,81,23,124,64,0.34,-2704,1839
NIFTY,09:30,35,CSL20,LIVEDTE,16,236,422,88,1.14,-2704,3780
NIFTY,09:30,35,CSL25,ALLDTE,81,23,124,64,0.34,-2704,1839
NIFTY,09:30,35,CSL25,LIVEDTE,16,236,422,88,1.14,-2704,3780
NIFTY,09:30,35,CSL30,ALLDTE,81,54,124,64,0.93,-1777,4364
NIFTY,09:30,35,CSL30,LIVEDTE,16,394,422,88,4.39,-247,6305
NIFTY,09:30,35,MOVE04,ALLDTE,81,42,124,63,0.71,-1758,3370
NIFTY,09:30,35,MOVE04,LIVEDTE,16,394,422,88,4.39,-247,6305
NIFTY,09:30,35,NOSTOP,ALLDTE,81,54,124,64,0.93,-1777,4364
NIFTY,09:30,35,NOSTOP,LIVEDTE,16,394,422,88,4.39,-247,6305
NIFTY,09:30,35,PERLEG30,ALLDTE,81,-66,65,60,-0.83,-3389,-5332
NIFTY,09:30,35,PERLEG30,LIVEDTE,16,-91,122,62,-0.45,-2220,-1453
NIFTY,09:30,35,RUP2500,ALLDTE,81,54,124,64,0.93,-1777,4364
NIFTY,09:30,35,RUP2500,LIVEDTE,16,394,422,88,4.39,-247,6305
NIFTY,09:30,40,CSL15,ALLDTE,81,33,124,56,0.49,-2164,2662
NIFTY,09:30,40,CSL15,LIVEDTE,16,368,525,81,2.21,-1791,5889
NIFTY,09:30,40,CSL20,ALLDTE,81,22,124,56,0.3,-2704,1749
NIFTY,09:30,40,CSL20,LIVEDTE,16,311,525,81,1.45,-2704,4976
NIFTY,09:30,40,CSL25,ALLDTE,81,22,124,56,0.3,-2704,1749
NIFTY,09:30,40,CSL25,LIVEDTE,16,311,525,81,1.45,-2704,4976
NIFTY,09:30,40,CSL30,ALLDTE,81,60,130,57,0.96,-2164,4889
NIFTY,09:30,40,CSL30,LIVEDTE,16,507,525,88,5.59,-218,8116
NIFTY,09:30,40,MOVE04,ALLDTE,81,44,124,56,0.68,-2236,3588
NIFTY,09:30,40,MOVE04,LIVEDTE,16,507,525,88,5.59,-218,8116
NIFTY,09:30,40,NOSTOP,ALLDTE,81,60,130,57,0.96,-2164,4889
NIFTY,09:30,40,NOSTOP,LIVEDTE,16,507,525,88,5.59,-218,8116
NIFTY,09:30,40,PERLEG30,ALLDTE,81,-86,-26,48,-1.08,-3935,-6973
NIFTY,09:30,40,PERLEG30,LIVEDTE,16,-130,-152,31,-0.76,-2259,-2081
NIFTY,09:30,40,RUP2500,ALLDTE,81,60,130,57,0.96,-2164,4889
NIFTY,09:30,40,RUP2500,LIVEDTE,16,507,525,88,5.59,-218,8116
NIFTY,09:30,45,CSL15,ALLDTE,81,64,156,67,0.87,-3022,5177
NIFTY,09:30,45,CSL15,LIVEDTE,16,414,592,81,2.43,-1791,6624
NIFTY,09:30,45,CSL20,ALLDTE,81,53,156,67,0.67,-3022,4264
NIFTY,09:30,45,CSL20,LIVEDTE,16,357,592,81,1.63,-2704,5711
NIFTY,09:30,45,CSL25,ALLDTE,81,53,156,67,0.67,-3022,4264
NIFTY,09:30,45,CSL25,LIVEDTE,16,357,592,81,1.63,-2704,5711
NIFTY,09:30,45,CSL30,ALLDTE,81,92,169,68,1.31,-3022,7452
NIFTY,09:30,45,CSL30,LIVEDTE,16,556,592,88,5.93,-139,8899
NIFTY,09:30,45,MOVE04,ALLDTE,81,79,156,67,1.17,-2236,6428
NIFTY,09:30,45,MOVE04,LIVEDTE,16,556,592,88,5.93,-139,8899
NIFTY,09:30,45,NOSTOP,ALLDTE,81,92,169,68,1.31,-3022,7452
NIFTY,09:30,45,NOSTOP,LIVEDTE,16,556,592,88,5.93,-139,8899
NIFTY,09:30,45,PERLEG30,ALLDTE,81,-65,124,62,-0.76,-4524,-5303
NIFTY,09:30,45,PERLEG30,LIVEDTE,16,-219,-203,44,-1.25,-1664,-3505
NIFTY,09:30,45,RUP2500,ALLDTE,81,95,169,68,1.39,-2752,7722
NIFTY,09:30,45,RUP2500,LIVEDTE,16,556,592,88,5.93,-139,8899
NIFTY,09:30,50,CSL15,ALLDTE,81,54,270,67,0.62,-3650,4366
NIFTY,09:30,50,CSL15,LIVEDTE,16,436,706,75,2.21,-1791,6977
NIFTY,09:30,50,CSL20,ALLDTE,81,43,270,67,0.47,-3650,3453
NIFTY,09:30,50,CSL20,LIVEDTE,16,379,706,75,1.57,-2704,6064
NIFTY,09:30,50,CSL25,ALLDTE,81,43,270,67,0.47,-3650,3453
NIFTY,09:30,50,CSL25,LIVEDTE,16,379,706,75,1.57,-2704,6064
NIFTY,09:30,50,CSL30,ALLDTE,81,82,276,68,0.99,-3650,6667
NIFTY,09:30,50,CSL30,LIVEDTE,16,580,706,81,4.27,-864,9278
NIFTY,09:30,50,MOVE04,ALLDTE,81,71,270,65,0.92,-2236,5741
NIFTY,09:30,50,MOVE04,LIVEDTE,16,580,706,81,4.27,-864,9278
NIFTY,09:30,50,NOSTOP,ALLDTE,81,82,276,68,0.99,-3650,6667
NIFTY,09:30,50,NOSTOP,LIVEDTE,16,580,706,81,4.27,-864,9278
NIFTY,09:30,50,PERLEG30,ALLDTE,81,-43,231,65,-0.46,-4533,-3505
NIFTY,09:30,50,PERLEG30,LIVEDTE,16,-44,102,56,-0.23,-2064,-696
NIFTY,09:30,50,RUP2500,ALLDTE,81,93,276,68,1.2,-2752,7565
NIFTY,09:30,50,RUP2500,LIVEDTE,16,580,706,81,4.27,-864,9278
NIFTY,09:30,55,CSL15,ALLDTE,81,30,228,67,0.31,-4771,2435
NIFTY,09:30,55,CSL15,LIVEDTE,16,410,681,81,2.09,-1791,6566
NIFTY,09:30,55,CSL20,ALLDTE,81,18,228,67,0.19,-4800,1493
NIFTY,09:30,55,CSL20,LIVEDTE,16,353,681,81,1.48,-2704,5653
NIFTY,09:30,55,CSL25,ALLDTE,81,18,228,67,0.19,-4800,1493
NIFTY,09:30,55,CSL25,LIVEDTE,16,353,681,81,1.48,-2704,5653
NIFTY,09:30,55,CSL30,ALLDTE,81,63,234,68,0.67,-4800,5068
NIFTY,09:30,55,CSL30,LIVEDTE,16,577,691,88,4.22,-666,9228
NIFTY,09:30,55,MOVE04,ALLDTE,81,59,218,65,0.76,-2236,4816
NIFTY,09:30,55,MOVE04,LIVEDTE,16,577,691,88,4.22,-666,9228
NIFTY,09:30,55,NOSTOP,ALLDTE,81,63,234,68,0.67,-4800,5068
NIFTY,09:30,55,NOSTOP,LIVEDTE,16,577,691,88,4.22,-666,9228
NIFTY,09:30,55,PERLEG30,ALLDTE,81,-85,133,63,-0.78,-5495,-6856
NIFTY,09:30,55,PERLEG30,LIVEDTE,16,-47,68,56,-0.2,-2324,-748
NIFTY,09:30,55,RUP2500,ALLDTE,81,88,234,68,1.1,-2752,7116
NIFTY,09:30,55,RUP2500,LIVEDTE,16,577,691,88,4.22,-666,9228
NIFTY,09:30,60,CSL15,ALLDTE,81,47,280,67,0.47,-4771,3813
NIFTY,09:30,60,CSL15,LIVEDTE,16,472,569,81,2.47,-1791,7559
NIFTY,09:30,60,CSL20,ALLDTE,81,35,280,67,0.34,-4810,2861
NIFTY,09:30,60,CSL20,LIVEDTE,16,415,569,81,1.76,-2704,6646
NIFTY,09:30,60,CSL25,ALLDTE,81,35,280,67,0.34,-4810,2861
NIFTY,09:30,60,CSL25,LIVEDTE,16,415,569,81,1.76,-2704,6646
NIFTY,09:30,60,CSL30,ALLDTE,81,81,283,68,0.82,-4810,6579
NIFTY,09:30,60,CSL30,LIVEDTE,16,648,670,88,5.17,-393,10364
NIFTY,09:30,60,MOVE04,ALLDTE,81,80,280,64,0.96,-2236,6470
NIFTY,09:30,60,MOVE04,LIVEDTE,16,648,670,88,5.17,-393,10364
NIFTY,09:30,60,NOSTOP,ALLDTE,81,81,283,68,0.82,-4810,6579
NIFTY,09:30,60,NOSTOP,LIVEDTE,16,648,670,88,5.17,-393,10364
NIFTY,09:30,60,PERLEG30,ALLDTE,81,-129,147,58,-1.03,-6535,-10439
NIFTY,09:30,60,PERLEG30,LIVEDTE,16,-198,-12,44,-0.69,-2798,-3173
