label,ma,conf,exit,tax,n_trades,win_rate,avg_win,avg_loss,expectancy,max_lose_streak,corr_tn_d,secs,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar
sma50_rsi14_2R_t10_tax0,sma50,rsi14,2R_t10,0,1820,35.7,6.07,-4.65,-0.823,43,0.154,0.7,-3.77,-56.87,-0.37,-0.07,-4.03,-54.72,-0.4,-0.07,0.1,-19.97,0.05,0.0,-9.46,-51.56,-0.72,-0.18
sma50_rsi14_2R_t10_tax1,sma50,rsi14,2R_t10,1,1820,35.7,6.07,-4.65,-0.823,43,0.156,0.8,-3.91,-58.11,-0.39,-0.07,-4.15,-55.59,-0.42,-0.07,0.1,-19.97,0.05,0.0,-9.72,-52.49,-0.74,-0.19
sma50_rsi14_2R_t15_tax0,sma50,rsi14,2R_t15,0,1765,35.4,6.79,-4.98,-0.809,40,0.162,0.7,-3.68,-57.17,-0.34,-0.06,-2.94,-48.04,-0.27,-0.06,0.6,-22.25,0.14,0.03,-7.55,-44.89,-0.53,-0.17
sma50_rsi14_2R_t15_tax1,sma50,rsi14,2R_t15,1,1764,35.4,6.79,-4.98,-0.808,40,0.165,0.8,-3.89,-59.09,-0.36,-0.07,-3.17,-49.73,-0.29,-0.06,0.56,-22.25,0.13,0.03,-8.01,-46.68,-0.57,-0.17
sma50_rsi2_2R_t10_tax0,sma50,rsi2,2R_t10,0,1110,37.6,5.83,-4.75,-0.772,33,0.177,0.7,-0.08,-41.08,0.02,-0.0,1.62,-25.59,0.3,0.06,4.93,-4.84,1.51,1.02,-1.15,-25.59,-0.09,-0.04
sma50_rsi2_2R_t10_tax1,sma50,rsi2,2R_t10,1,1110,37.6,5.83,-4.75,-0.772,33,0.181,0.8,-0.29,-41.08,-0.01,-0.01,1.39,-25.59,0.26,0.05,4.57,-4.84,1.38,0.94,-1.47,-25.59,-0.13,-0.06
sma50_rsi2_2R_t15_tax0,sma50,rsi2,2R_t15,0,1101,36.6,6.63,-5.08,-0.793,34,0.181,0.7,-0.35,-49.15,-0.01,-0.01,1.85,-26.1,0.32,0.07,5.42,-4.84,1.58,1.12,-0.84,-26.1,-0.05,-0.03
sma50_rsi2_2R_t15_tax1,sma50,rsi2,2R_t15,1,1101,36.6,6.63,-5.08,-0.793,34,0.186,0.8,-0.61,-49.15,-0.05,-0.01,1.59,-26.1,0.28,0.06,5.06,-4.84,1.46,1.05,-1.21,-26.1,-0.09,-0.05
sma50_rs70_2R_t10_tax0,sma50,rs70,2R_t10,0,4012,38.1,6.73,-5.08,-0.583,47,0.298,0.8,-9.45,-89.18,-0.58,-0.11,-5.12,-64.73,-0.29,-0.08,-2.07,-32.42,-0.16,-0.06,-8.72,-57.87,-0.38,-0.15
sma50_rs70_2R_t10_tax1,sma50,rs70,2R_t10,1,4011,38.1,6.73,-5.08,-0.582,47,0.306,1.0,-10.21,-90.82,-0.64,-0.11,-5.84,-67.52,-0.35,-0.09,-2.7,-32.42,-0.22,-0.08,-9.94,-58.72,-0.45,-0.17
sma50_rs70_2R_t15_tax0,sma50,rs70,2R_t15,0,3504,36.7,7.68,-5.43,-0.613,37,0.302,0.8,-8.85,-86.63,-0.53,-0.1,-4.53,-62.71,-0.24,-0.07,-3.09,-34.73,-0.25,-0.09,-7.59,-53.27,-0.31,-0.14
sma50_rs70_2R_t15_tax1,sma50,rs70,2R_t15,1,3503,36.7,7.68,-5.43,-0.611,37,0.31,0.9,-9.74,-89.05,-0.59,-0.11,-5.41,-66.37,-0.31,-0.08,-3.93,-34.73,-0.33,-0.11,-9.03,-56.43,-0.39,-0.16
sma50_stoch_2R_t10_tax0,sma50,stoch,2R_t10,0,3700,35.1,6.04,-4.65,-0.904,38,0.282,0.8,-13.38,-94.94,-1.04,-0.14,-12.49,-87.57,-1.02,-0.14,-7.17,-35.36,-0.77,-0.2,-21.26,-80.49,-1.37,-0.26
sma50_stoch_2R_t10_tax1,sma50,stoch,2R_t10,1,3700,35.1,6.04,-4.65,-0.904,38,0.284,0.9,-13.53,-95.11,-1.05,-0.14,-12.64,-87.88,-1.03,-0.14,-7.38,-35.36,-0.79,-0.21,-21.45,-80.81,-1.39,-0.27
sma50_stoch_2R_t15_tax0,sma50,stoch,2R_t15,0,3305,34.4,7.07,-4.99,-0.839,37,0.298,0.8,-11.29,-92.46,-0.82,-0.12,-9.91,-82.68,-0.75,-0.12,-5.82,-36.47,-0.63,-0.16,-17.59,-73.72,-1.04,-0.24
sma50_stoch_2R_t15_tax1,sma50,stoch,2R_t15,1,3305,34.4,7.07,-4.99,-0.839,37,0.302,0.9,-11.58,-92.95,-0.85,-0.12,-10.15,-82.96,-0.77,-0.12,-6.46,-36.47,-0.7,-0.18,-17.79,-74.14,-1.06,-0.24
sma50_cci_2R_t10_tax0,sma50,cci,2R_t10,0,2495,36.1,6.1,-4.63,-0.755,32,0.227,0.8,-6.26,-77.43,-0.54,-0.08,-6.66,-70.91,-0.61,-0.09,-7.38,-30.86,-1.02,-0.24,-10.95,-57.84,-0.76,-0.19
sma50_cci_2R_t10_tax1,sma50,cci,2R_t10,1,2495,36.1,6.1,-4.63,-0.755,32,0.231,0.9,-6.55,-78.69,-0.57,-0.08,-6.94,-72.02,-0.64,-0.1,-7.38,-30.86,-1.02,-0.24,-11.56,-59.45,-0.81,-0.19
sma50_cci_2R_t15_tax0,sma50,cci,2R_t15,0,2288,35.6,7.15,-5.08,-0.726,37,0.242,0.8,-5.54,-72.3,-0.45,-0.08,-5.46,-63.69,-0.46,-0.09,-7.7,-34.32,-0.98,-0.22,-8.1,-53.57,-0.51,-0.15
sma50_cci_2R_t15_tax1,sma50,cci,2R_t15,1,2287,35.6,7.15,-5.08,-0.725,37,0.247,0.9,-6.02,-74.88,-0.49,-0.08,-5.95,-65.99,-0.51,-0.09,-7.7,-34.32,-0.98,-0.22,-9.07,-54.58,-0.59,-0.17
sma100_none_2R_t10_tax0,sma100,none,2R_t10,0,4583,36.2,6.1,-4.63,-0.747,43,0.242,0.7,-14.32,-96.04,-0.98,-0.15,-11.41,-86.05,-0.83,-0.13,-8.73,-38.6,-0.87,-0.23,-16.6,-75.36,-0.93,-0.22
sma100_none_2R_t10_tax1,sma100,none,2R_t10,1,4582,36.2,6.1,-4.63,-0.747,43,0.248,0.8,-14.82,-96.49,-1.01,-0.15,-11.7,-86.65,-0.85,-0.14,-8.73,-38.6,-0.87,-0.23,-17.15,-75.58,-0.97,-0.23
sma100_none_2R_t15_tax0,sma100,none,2R_t15,0,3978,35.0,7.05,-4.97,-0.763,31,0.258,0.7,-12.95,-95.14,-0.85,-0.14,-11.05,-85.35,-0.78,-0.13,-8.92,-39.7,-0.86,-0.22,-17.37,-76.39,-0.96,-0.23
sma100_none_2R_t15_tax1,sma100,none,2R_t15,1,3975,35.0,7.05,-4.97,-0.759,31,0.264,0.8,-13.45,-95.68,-0.88,-0.14,-11.27,-85.79,-0.8,-0.13,-8.92,-39.7,-0.86,-0.22,-17.75,-76.35,-0.99,-0.23
sma100_rsi14_2R_t10_tax0,sma100,rsi14,2R_t10,0,2305,35.7,5.94,-4.6,-0.84,43,0.157,0.7,-6.19,-73.92,-0.56,-0.08,-5.89,-66.32,-0.54,-0.09,0.0,-23.2,0.04,0.0,-12.92,-61.29,-0.95,-0.21
sma100_rsi14_2R_t10_tax1,sma100,rsi14,2R_t10,1,2305,35.7,5.94,-4.6,-0.84,43,0.162,0.8,-6.54,-75.85,-0.59,-0.09,-6.14,-67.52,-0.56,-0.09,0.0,-23.2,0.04,0.0,-13.39,-62.67,-0.99,-0.21
sma100_rsi14_2R_t15_tax0,sma100,rsi14,2R_t15,0,2170,35.0,6.85,-4.87,-0.762,40,0.175,0.7,-5.17,-68.93,-0.43,-0.07,-3.97,-57.69,-0.33,-0.07,1.05,-23.6,0.19,0.04,-10.12,-57.69,-0.68,-0.18
sma100_rsi14_2R_t15_tax1,sma100,rsi14,2R_t15,1,2170,35.0,6.85,-4.87,-0.762,40,0.18,0.8,-5.61,-71.73,-0.47,-0.08,-4.32,-58.83,-0.36,-0.07,1.05,-23.6,0.19,0.04,-10.82,-57.93,-0.74,-0.19
sma100_rsi2_2R_t10_tax0,sma100,rsi2,2R_t10,0,862,39.4,6.01,-4.88,-0.586,20,0.111,0.6,1.75,-24.01,0.32,0.07,3.41,-15.9,0.68,0.21,5.21,-3.3,1.96,1.58,2.25,-15.9,0.34,0.14
sma100_rsi2_2R_t10_tax1,sma100,rsi2,2R_t10,1,862,39.4,6.01,-4.88,-0.586,20,0.117,0.7,1.49,-24.4,0.28,0.06,3.16,-15.9,0.63,0.2,4.87,-3.3,1.81,1.48,1.88,-15.9,0.29,0.12
sma100_rsi2_2R_t15_tax0,sma100,rsi2,2R_t15,0,858,37.9,7.04,-5.3,-0.623,20,0.12,0.6,1.43,-35.2,0.25,0.04,3.94,-16.62,0.73,0.24,5.09,-3.3,1.83,1.54,3.26,-16.62,0.45,0.2
sma100_rsi2_2R_t15_tax1,sma100,rsi2,2R_t15,1,858,37.9,7.04,-5.3,-0.623,20,0.127,0.7,1.11,-35.2,0.2,0.03,3.62,-16.62,0.67,0.22,4.77,-3.3,1.7,1.44,2.73,-16.62,0.39,0.16
sma100_rs70_2R_t10_tax0,sma100,rs70,2R_t10,0,3185,37.0,6.68,-5.15,-0.774,38,0.189,0.7,-9.46,-89.31,-0.66,-0.11,-4.51,-60.94,-0.28,-0.07,1.07,-30.12,0.16,0.04,-9.2,-60.94,-0.46,-0.15
sma100_rs70_2R_t10_tax1,sma100,rs70,2R_t10,1,3182,37.0,6.68,-5.15,-0.774,38,0.195,0.8,-9.93,-90.39,-0.7,-0.11,-5.19,-63.18,-0.34,-0.08,0.94,-30.45,0.15,0.03,-10.51,-62.04,-0.54,-0.17
sma100_rs70_2R_t15_tax0,sma100,rs70,2R_t15,0,2830,36.3,7.81,-5.62,-0.745,29,0.204,0.7,-8.17,-86.53,-0.54,-0.09,-2.78,-58.55,-0.14,-0.05,-0.19,-31.81,0.03,-0.01,-5.69,-58.55,-0.23,-0.1
sma100_rs70_2R_t15_tax1,sma100,rs70,2R_t15,1,2825,36.3,7.81,-5.62,-0.742,29,0.211,0.8,-8.75,-88.17,-0.59,-0.1,-3.57,-59.29,-0.2,-0.06,-0.26,-31.98,0.02,-0.01,-7.25,-59.29,-0.32,-0.12
sma100_stoch_2R_t10_tax0,sma100,stoch,2R_t10,0,3334,37.3,5.93,-4.57,-0.653,34,0.225,0.8,-8.04,-83.51,-0.64,-0.1,-7.87,-75.02,-0.65,-0.1,-4.68,-31.51,-0.48,-0.15,-14.3,-67.61,-0.93,-0.21
sma100_stoch_2R_t10_tax1,sma100,stoch,2R_t10,1,3335,37.2,5.93,-4.57,-0.657,34,0.231,0.9,-8.57,-85.35,-0.68,-0.1,-8.27,-76.51,-0.69,-0.11,-4.68,-31.51,-0.48,-0.15,-15.08,-68.94,-0.99,-0.22
sma100_stoch_2R_t15_tax0,sma100,stoch,2R_t15,0,3025,36.8,6.94,-4.87,-0.525,35,0.247,0.8,-5.72,-74.74,-0.4,-0.08,-4.8,-59.67,-0.35,-0.08,-4.74,-28.9,-0.49,-0.16,-9.01,-55.7,-0.51,-0.16
sma100_stoch_2R_t15_tax1,sma100,stoch,2R_t15,1,3025,36.8,6.94,-4.87,-0.525,35,0.253,0.9,-6.27,-77.56,-0.44,-0.08,-5.14,-61.71,-0.38,-0.08,-4.74,-28.9,-0.49,-0.16,-9.72,-56.46,-0.56,-0.17
sma100_cci_2R_t10_tax0,sma100,cci,2R_t10,0,2259,37.1,6.1,-4.75,-0.729,35,0.199,0.8,-5.03,-67.75,-0.45,-0.07,-4.92,-60.7,-0.45,-0.08,-3.07,-25.24,-0.38,-0.12,-9.87,-57.45,-0.72,-0.17
sma100_cci_2R_t10_tax1,sma100,cci,2R_t10,1,2258,37.1,6.1,-4.75,-0.728,35,0.203,0.9,-5.45,-70.54,-0.49,-0.08,-5.21,-62.22,-0.48,-0.08,-3.07,-25.24,-0.38,-0.12,-10.4,-57.76,-0.76,-0.18
sma100_cci_2R_t15_tax0,sma100,cci,2R_t15,0,2079,35.6,7.38,-5.16,-0.695,33,0.226,0.8,-4.41,-64.5,-0.35,-0.07,-4.21,-56.99,-0.34,-0.07,-4.28,-29.48,-0.51,-0.15,-7.65,-56.99,-0.48,-0.13
sma100_cci_2R_t15_tax1,sma100,cci,2R_t15,1,2079,35.6,7.36,-5.15,-0.698,33,0.23,0.9,-5.0,-68.72,-0.41,-0.07,-4.71,-58.95,-0.39,-0.08,-4.37,-29.48,-0.52,-0.15,-8.5,-56.99,-0.54,-0.15
sma200_none_2R_t10_tax0,sma200,none,2R_t10,0,3352,38.3,6.26,-4.94,-0.652,29,0.22,0.6,-8.39,-86.46,-0.63,-0.1,-5.52,-66.41,-0.42,-0.08,-8.47,-29.7,-1.05,-0.29,-7.12,-58.28,-0.39,-0.12
sma200_none_2R_t10_tax1,sma200,none,2R_t10,1,3352,38.3,6.26,-4.94,-0.65,29,0.222,0.7,-8.84,-87.77,-0.66,-0.1,-5.98,-68.64,-0.46,-0.09,-8.47,-29.7,-1.05,-0.29,-8.07,-58.61,-0.45,-0.14
sma200_none_2R_t15_tax0,sma200,none,2R_t15,0,2887,37.1,7.32,-5.39,-0.67,32,0.233,0.6,-7.57,-84.79,-0.53,-0.09,-4.38,-60.64,-0.3,-0.07,-7.13,-27.64,-0.83,-0.26,-6.55,-60.34,-0.34,-0.11
sma200_none_2R_t15_tax1,sma200,none,2R_t15,1,2887,37.2,7.32,-5.39,-0.664,32,0.237,0.7,-7.98,-86.11,-0.57,-0.09,-4.76,-62.79,-0.34,-0.08,-7.13,-27.64,-0.83,-0.26,-7.33,-60.34,-0.38,-0.12
sma200_rsi14_2R_t10_tax0,sma200,rsi14,2R_t10,0,906,36.4,6.14,-5.57,-1.305,20,0.062,0.6,-1.81,-43.61,-0.21,-0.04,-0.57,-31.64,-0.05,-0.02,0.88,-9.95,0.26,0.09,-2.53,-25.84,-0.23,-0.1
sma200_rsi14_2R_t10_tax1,sma200,rsi14,2R_t10,1,906,36.4,6.14,-5.57,-1.305,20,0.066,0.7,-1.97,-44.45,-0.23,-0.04,-0.73,-32.08,-0.07,-0.02,0.88,-9.95,0.26,0.09,-2.88,-26.32,-0.27,-0.11
sma200_rsi14_2R_t15_tax0,sma200,rsi14,2R_t15,0,880,34.2,7.6,-6.12,-1.425,26,0.074,0.6,-2.4,-48.7,-0.26,-0.05,-0.02,-23.58,0.04,-0.0,1.56,-11.47,0.42,0.14,-1.91,-22.98,-0.15,-0.08
sma200_rsi14_2R_t15_tax1,sma200,rsi14,2R_t15,1,880,34.2,7.6,-6.12,-1.425,26,0.077,0.7,-2.57,-49.12,-0.28,-0.05,-0.18,-23.58,0.01,-0.01,1.56,-11.47,0.42,0.14,-2.26,-22.98,-0.19,-0.1
sma200_rsi2_2R_t10_tax0,sma200,rsi2,2R_t10,0,237,35.0,5.95,-5.62,-1.566,12,0.053,0.8,2.85,-19.57,0.75,0.15,4.2,-6.01,1.55,0.7,5.76,-1.25,3.2,4.62,4.01,-5.34,1.14,0.75
sma200_rsi2_2R_t10_tax1,sma200,rsi2,2R_t10,1,237,35.0,5.95,-5.62,-1.566,12,0.055,0.9,2.73,-19.57,0.72,0.14,4.04,-6.01,1.49,0.67,5.56,-1.25,3.05,4.46,3.8,-5.34,1.07,0.71
sma200_rsi2_2R_t15_tax0,sma200,rsi2,2R_t15,0,237,32.1,7.91,-6.87,-2.133,13,0.06,0.9,2.06,-30.02,0.5,0.07,4.13,-6.22,1.46,0.66,5.97,-1.37,3.15,4.37,3.58,-6.06,0.97,0.59
sma200_rsi2_2R_t15_tax1,sma200,rsi2,2R_t15,1,237,32.1,7.91,-6.87,-2.133,13,0.061,0.9,1.97,-30.02,0.48,0.07,4.01,-6.22,1.42,0.64,5.74,-1.37,2.99,4.2,3.46,-6.06,0.94,0.57
sma200_rs70_2R_t10_tax0,sma200,rs70,2R_t10,0,1609,38.8,6.84,-5.74,-0.862,26,0.066,0.9,-3.49,-66.73,-0.3,-0.05,-0.57,-44.75,-0.02,-0.01,-3.85,-20.15,-0.63,-0.19,-0.25,-37.93,0.04,-0.01
sma200_rs70_2R_t10_tax1,sma200,rs70,2R_t10,1,1609,38.8,6.85,-5.74,-0.86,26,0.072,1.0,-3.96,-67.36,-0.35,-0.06,-1.14,-44.75,-0.08,-0.03,-3.85,-20.15,-0.63,-0.19,-1.46,-38.95,-0.06,-0.04
sma200_rs70_2R_t15_tax0,sma200,rs70,2R_t15,0,1470,36.9,8.3,-6.27,-0.901,29,0.075,0.8,-3.51,-66.41,-0.28,-0.05,0.27,-46.17,0.08,0.01,-2.85,-20.16,-0.43,-0.14,0.15,-46.17,0.08,0.0
sma200_rs70_2R_t15_tax1,sma200,rs70,2R_t15,1,1469,36.8,8.3,-6.28,-0.909,29,0.08,1.0,-4.1,-67.17,-0.34,-0.06,-0.47,-47.17,0.0,-0.01,-2.85,-20.16,-0.43,-0.14,-1.39,-47.17,-0.05,-0.03
sma200_stoch_2R_t10_tax0,sma200,stoch,2R_t10,0,1829,37.5,6.06,-5.1,-0.921,23,0.133,0.8,-4.95,-68.62,-0.48,-0.07,-2.09,-42.38,-0.19,-0.05,-0.34,-14.72,-0.02,-0.02,-4.76,-36.96,-0.35,-0.13
sma200_stoch_2R_t10_tax1,sma200,stoch,2R_t10,1,1829,37.5,6.06,-5.1,-0.923,23,0.135,0.8,-5.2,-70.0,-0.51,-0.07,-2.38,-44.42,-0.22,-0.05,-0.52,-14.72,-0.05,-0.04,-5.3,-38.8,-0.4,-0.14
sma200_stoch_2R_t15_tax0,sma200,stoch,2R_t15,0,1727,36.3,7.38,-5.55,-0.852,27,0.149,0.8,-4.28,-63.97,-0.37,-0.07,-0.69,-42.43,-0.02,-0.02,0.55,-15.9,0.12,0.03,-2.89,-42.43,-0.16,-0.07
sma200_stoch_2R_t15_tax1,sma200,stoch,2R_t15,1,1727,36.3,7.38,-5.55,-0.852,27,0.153,0.8,-4.68,-66.64,-0.41,-0.07,-1.24,-45.75,-0.08,-0.03,0.19,-15.9,0.06,0.01,-3.89,-45.75,-0.24,-0.09
sma200_cci_2R_t10_tax0,sma200,cci,2R_t10,0,1113,38.4,6.32,-5.18,-0.771,22,0.082,0.8,-0.43,-33.76,-0.02,-0.01,0.89,-31.1,0.16,0.03,1.48,-10.84,0.36,0.14,-1.04,-31.1,-0.05,-0.03
sma200_cci_2R_t10_tax1,sma200,cci,2R_t10,1,1113,38.4,6.32,-5.18,-0.771,22,0.086,0.9,-0.71,-33.76,-0.06,-0.02,0.57,-31.1,0.12,0.02,1.48,-10.84,0.36,0.14,-1.72,-31.1,-0.12,-0.06
sma200_cci_2R_t15_tax0,sma200,cci,2R_t15,0,1086,38.0,7.65,-5.75,-0.654,23,0.107,0.9,-0.03,-38.35,0.04,-0.0,1.8,-34.76,0.26,0.05,2.43,-11.77,0.51,0.21,0.36,-34.76,0.09,0.01
sma200_cci_2R_t15_tax1,sma200,cci,2R_t15,1,1086,38.0,7.65,-5.75,-0.654,23,0.111,0.9,-0.38,-38.35,-0.0,-0.01,1.37,-34.76,0.21,0.04,2.38,-11.77,0.5,0.2,-0.51,-34.76,0.01,-0.01
