arm,family,n,total_net_lot,mean_net_lot,median_net_lot,sd_net_lot,t_stat,win_rate,worst_lot,best_lot,fire_rate,mean_hold_min,vs_be_mean,vs_be_t,vs_inc_mean,vs_inc_t,vs_rand_mean,is_mean,oos_mean,oos_n,oos_total,dte1_mean,dte2_mean,dte3p_mean,atm_mean,atm4_mean
CEIL_p7_m3.0_N3_SEED,CEIL,86,230112,2675.7,2921.3,2419.2,10.26,83.7,-4046,7501,59.3,168.2,139.8,0.81,195.4,0.9,274.3,3203,1786,32,57148,2577,2302,3177,2516,2898
CEIL_p7_m3.0_N5_COLD,CEIL,86,223443,2598.2,3079.5,2655.6,9.07,76.7,-3618,7501,36.0,197.9,62.3,0.48,117.9,0.44,196.8,3017,1891,32,60516,2257,2144,3462,2478,2765
CEIL_p7_m3.0_N5_SEED,CEIL,86,210086,2442.9,3010.2,2736.4,8.28,74.4,-3618,7501,38.4,196.2,-93.0,-0.66,-37.4,-0.13,41.5,2788,1861,32,59559,2052,2090,3258,2360,2558
CEIL_p7_m3.5_N1_COLD,CEIL,86,240213,2793.2,2652.1,1984.6,13.05,89.5,-866,7501,68.6,138.8,257.3,1.51,312.9,2.23,391.8,3176,2147,32,68704,2930,2376,3069,2513,3182
CEIL_p7_m3.5_N1_SEED,CEIL,86,246680,2868.4,2751.1,1963.3,13.55,91.9,-613,7501,66.3,147.0,332.5,1.96,388.1,2.6,467.0,3249,2227,32,71252,3109,2354,3125,2591,3253
CEIL_p7_m3.5_N2_COLD,CEIL,86,239598,2786.0,2897.3,2131.6,12.12,87.2,-1057,7501,60.5,160.3,250.1,1.44,305.7,1.66,384.6,3252,1999,32,63967,2713,2507,3159,2615,3024
CEIL_p7_m3.5_N2_SEED,CEIL,86,235740,2741.2,2897.3,2142.5,11.87,86.0,-911,7501,60.5,161.9,205.3,1.25,260.9,1.41,339.8,3155,2044,32,65394,2726,2460,3050,2541,3019
CEIL_p7_m3.5_N3_COLD,CEIL,86,234606,2728.0,3010.2,2384.6,10.61,83.7,-2414,7501,51.2,173.6,192.1,1.24,247.7,1.08,326.6,3201,1930,32,61752,2448,2408,3382,2611,2890
CEIL_p7_m3.5_N3_SEED,CEIL,86,233920,2720.0,3010.2,2451.0,10.29,81.4,-2414,7501,47.7,178.8,184.1,1.3,239.7,0.99,318.6,3186,1934,32,61900,2266,2396,3578,2690,2762
CEIL_p7_m3.5_N5_COLD,CEIL,86,216552,2518.0,3010.2,2717.1,8.59,74.4,-3618,7501,34.9,197.4,-17.8,-0.14,37.7,0.13,116.7,2838,1977,32,63275,1899,2198,3561,2490,2557
CEIL_p7_m3.5_N5_SEED,CEIL,86,216470,2517.1,3010.2,2717.2,8.59,74.4,-3618,7501,29.1,205.5,-18.8,-0.16,36.8,0.13,115.7,2842,1968,32,62991,1997,2143,3502,2483,2564
CEIL_p7_m4.0_N1_COLD,CEIL,86,238204,2769.8,2734.1,2028.1,12.67,88.4,-866,7501,64.0,150.7,233.9,1.41,289.5,1.98,368.4,3121,2178,32,69696,2966,2266,3067,2493,3154
CEIL_p7_m4.0_N1_SEED,CEIL,86,240508,2796.6,2819.1,2029.3,12.78,88.4,-613,7501,62.8,156.2,260.7,1.52,316.3,2.02,395.2,3139,2218,32,70985,3051,2245,3076,2491,3222
CEIL_p7_m4.0_N2_COLD,CEIL,86,242860,2824.0,3079.5,2173.5,12.05,86.0,-1057,7501,57.0,170.9,288.1,1.9,343.7,1.7,422.6,3192,2202,32,70479,2633,2518,3360,2741,2939
CEIL_p7_m4.0_N2_SEED,CEIL,86,242189,2816.2,3010.2,2171.2,12.03,84.9,-911,7501,55.8,175.8,280.3,2.24,335.9,1.6,414.8,3071,2386,32,76366,2734,2506,3232,2761,2892
CEIL_p7_m4.0_N3_COLD,CEIL,86,244521,2843.3,3112.3,2407.6,10.95,81.4,-2414,7501,37.2,192.4,307.4,2.13,363.0,1.53,441.9,3198,2245,32,71825,2640,2354,3584,2819,2876
CEIL_p7_m4.0_N3_SEED,CEIL,86,243236,2828.3,3010.2,2361.1,11.11,82.6,-1996,7501,38.4,190.1,292.4,2.25,348.0,1.49,426.9,3093,2381,32,76199,2637,2341,3553,2798,2871
CEIL_p7_m4.0_N5_COLD,CEIL,86,215185,2502.2,2897.3,2708.5,8.57,74.4,-3618,7501,30.2,202.6,-33.7,-0.27,21.9,0.08,100.8,2850,1916,32,61301,1960,2157,3482,2458,2563
CEIL_p7_m4.0_N5_SEED,CEIL,86,214253,2491.3,2897.3,2733.5,8.45,74.4,-3618,7501,31.4,201.8,-44.6,-0.35,11.0,0.04,89.9,2862,1866,32,59711,1926,2205,3436,2466,2527
CEIL_p10_m2.0_N1_COLD,CEIL,86,223095,2594.1,2733.5,1726.6,13.93,89.5,-866,7501,82.6,104.6,58.2,0.27,113.8,1.08,192.7,2818,2216,32,70912,2696,2229,2856,2280,3031
CEIL_p10_m2.0_N1_SEED,CEIL,86,216210,2514.1,2493.8,1513.0,15.41,94.2,-613,5595,86.0,88.7,-21.8,-0.1,33.8,0.36,112.7,2689,2218,32,70986,2514,2037,3009,2139,3035
CEIL_p10_m2.0_N2_COLD,CEIL,86,244997,2848.8,2862.9,1863.3,14.18,90.7,-1057,7501,75.6,137.5,312.9,1.55,368.5,2.22,447.4,3187,2279,32,72922,2789,2659,3115,2757,2977
CEIL_p10_m2.0_N2_SEED,CEIL,86,232969,2708.9,2578.0,1719.8,14.61,94.2,-200,7501,80.2,122.4,173.0,0.86,228.6,1.63,307.5,3066,2107,32,67411,2664,2505,2972,2406,3130
CEIL_p10_m2.0_N3_COLD,CEIL,86,258785,3009.1,3087.4,1961.2,14.23,88.4,-1732,7501,62.8,159.0,473.2,2.8,528.8,2.95,607.7,3368,2404,32,76918,3158,2571,3292,2970,3064
CEIL_p10_m2.0_N3_SEED,CEIL,86,251735,2927.2,2924.2,1928.4,14.08,90.7,-1732,7501,69.8,154.0,391.3,2.2,446.9,2.64,525.8,3412,2110,32,67505,2968,2604,3216,2825,3068
CEIL_p10_m2.0_N5_COLD,CEIL,86,235055,2733.2,3079.5,2498.4,10.15,80.2,-4046,7501,40.7,194.7,197.3,1.39,252.9,1.04,331.8,3192,1958,32,62665,2464,2191,3604,2672,2819
CEIL_p10_m2.0_N5_SEED,CEIL,86,232215,2700.2,2877.1,2548.1,9.83,81.4,-4046,7501,40.7,192.8,164.3,1.13,219.9,0.89,298.8,3256,1762,32,56369,2172,2296,3725,2690,2715
CEIL_p10_m2.5_N1_COLD,CEIL,86,231278,2689.3,2696.2,1872.8,13.32,90.7,-866,7501,80.2,123.3,153.4,0.81,209.0,1.53,287.9,2992,2178,32,69703,2817,2256,2992,2444,3029
CEIL_p10_m2.5_N1_SEED,CEIL,86,240644,2798.2,2652.9,1839.1,14.11,94.2,-613,7501,77.9,126.4,262.3,1.35,317.9,2.41,396.8,3152,2201,32,70432,3042,2273,3064,2480,3240
CEIL_p10_m2.5_N2_COLD,CEIL,86,250802,2916.3,2843.0,2004.3,13.49,90.7,-1057,7501,66.3,152.8,380.4,2.25,436.0,2.42,514.9,3418,2069,32,66221,2891,2582,3292,2805,3071
CEIL_p10_m2.5_N2_SEED,CEIL,86,246496,2866.2,2579.3,1915.2,13.88,95.3,-248,7501,67.4,146.7,330.3,1.89,385.9,2.38,464.8,3252,2215,32,70894,3004,2430,3161,2660,3153
CEIL_p10_m2.5_N3_COLD,CEIL,86,240994,2802.3,3079.5,2169.2,11.98,83.7,-1989,7501,60.5,166.2,266.4,1.72,322.0,1.59,400.9,3253,2041,32,65323,2894,2397,3117,2704,2939
CEIL_p10_m2.5_N3_SEED,CEIL,86,234169,2722.9,2699.8,2111.7,11.96,83.7,-1732,7501,61.6,158.5,187.0,1.14,242.6,1.34,321.5,3170,1968,32,62978,2868,2195,3103,2568,2938
CEIL_p10_m2.5_N5_COLD,CEIL,86,211824,2463.1,2720.6,2729.8,8.37,76.7,-4046,7501,40.7,189.6,-72.8,-0.5,-17.2,-0.06,61.7,2932,1672,32,53493,1977,2151,3345,2311,2674
CEIL_p10_m2.5_N5_SEED,CEIL,86,200449,2330.8,2709.6,2845.3,7.6,72.1,-4046,7501,44.2,188.4,-205.1,-1.54,-149.5,-0.52,-70.6,2767,1595,32,51028,1797,2020,3266,2214,2492
CEIL_p10_m3.0_N1_COLD,CEIL,86,240217,2793.2,2662.9,1955.7,13.24,90.7,-866,7501,73.3,135.0,257.3,1.51,312.9,2.11,391.8,3167,2163,32,69208,2969,2446,2951,2535,3152
CEIL_p10_m3.0_N1_SEED,CEIL,86,243012,2825.7,2628.3,1924.5,13.62,93.0,-613,7501,72.1,140.6,289.8,1.64,345.4,2.4,424.3,3242,2124,32,67963,3058,2426,2973,2529,3238
CEIL_p10_m3.0_N2_COLD,CEIL,86,240099,2791.8,2853.6,2157.2,12.0,88.4,-2414,7501,64.0,157.4,256.0,1.47,311.5,1.55,390.5,3295,1943,32,62183,2719,2661,3011,2643,2998
CEIL_p10_m3.0_N2_SEED,CEIL,86,232142,2699.3,2785.4,2190.9,11.43,88.4,-2414,7501,66.3,155.4,163.4,0.94,219.0,1.14,297.9,3177,1893,32,60588,2635,2547,2932,2504,2970
CEIL_p10_m3.0_N3_COLD,CEIL,86,233334,2713.2,3070.3,2409.9,10.44,84.9,-4046,7501,52.3,174.6,177.3,1.09,232.9,0.99,311.8,3156,1966,32,62919,2690,2449,3013,2634,2824
CEIL_p10_m3.0_N3_SEED,CEIL,86,234549,2727.3,3070.3,2480.1,10.2,83.7,-4046,7501,53.5,171.8,191.4,1.25,247.0,1.08,325.9,3251,1844,32,59002,2468,2346,3421,2617,2880
CEIL_p10_m3.0_N5_COLD,CEIL,86,220242,2561.0,3010.2,2608.4,9.1,77.9,-3618,7501,39.5,193.0,25.1,0.17,80.7,0.31,159.6,2960,1887,32,60399,2257,2212,3271,2417,2761
CEIL_p10_m3.0_N5_SEED,CEIL,86,212575,2471.8,3010.2,2762.6,8.3,74.4,-3618,7501,38.4,196.8,-64.1,-0.49,-8.5,-0.03,70.4,2829,1870,32,59834,1981,2102,3418,2412,2555
CEIL_p10_m3.5_N1_COLD,CEIL,86,236809,2753.6,2652.1,2029.5,12.58,88.4,-866,7501,67.4,147.4,217.7,1.31,273.3,1.8,352.2,3116,2142,32,68536,3003,2340,2896,2450,3176
CEIL_p10_m3.5_N1_SEED,CEIL,86,243916,2836.2,2751.1,2003.4,13.13,90.7,-613,7501,66.3,153.4,300.3,1.73,355.9,2.33,434.8,3206,2212,32,70777,3079,2286,3128,2545,3241
CEIL_p10_m3.5_N2_COLD,CEIL,86,236206,2746.6,3010.2,2229.1,11.43,84.9,-1057,7501,53.5,168.2,210.7,1.34,266.3,1.27,345.2,3095,2158,32,69058,2579,2599,3093,2536,3039
CEIL_p10_m3.5_N2_SEED,CEIL,86,228959,2662.3,2819.1,2227.4,11.08,82.6,-911,7501,54.7,169.6,126.4,0.89,182.0,0.86,260.9,2999,2094,32,67001,2460,2516,3046,2507,2878
CEIL_p10_m3.5_N3_COLD,CEIL,86,233004,2709.3,3079.3,2427.9,10.35,82.6,-2414,7501,50.0,175.6,173.5,1.19,229.0,0.96,308.0,3114,2027,32,64862,2393,2419,3373,2584,2884
CEIL_p10_m3.5_N3_SEED,CEIL,86,234382,2725.4,3079.5,2495.5,10.13,80.2,-2414,7501,45.3,185.8,189.5,1.46,245.1,0.99,324.0,3119,2061,32,65957,2368,2299,3577,2705,2753
CEIL_p10_m3.5_N5_COLD,CEIL,86,222722,2589.8,3079.5,2651.2,9.06,74.4,-3618,7501,34.9,200.5,53.9,0.43,109.5,0.41,188.4,2976,1938,32,62003,2171,2195,3480,2485,2735
CEIL_p10_m3.5_N5_SEED,CEIL,86,219862,2556.5,3112.3,2712.2,8.74,74.4,-3618,7501,34.9,202.0,20.6,0.17,76.2,0.27,155.1,2905,1968,32,62991,2076,2177,3502,2526,2599
CEIL_p10_m4.0_N1_COLD,CEIL,86,237331,2759.7,2819.1,2103.7,12.17,86.0,-866,7501,61.6,156.5,223.8,1.36,279.4,1.72,358.3,3065,2244,32,71796,2969,2331,2964,2487,3139
CEIL_p10_m4.0_N1_SEED,CEIL,86,239045,2779.6,2819.1,2063.1,12.49,87.2,-613,7501,59.3,158.1,243.7,1.44,299.3,1.83,378.2,3129,2189,32,70060,3038,2251,3030,2491,3181
CEIL_p10_m4.0_N2_COLD,CEIL,86,239055,2779.7,3079.5,2206.8,11.68,84.9,-1057,7501,54.7,171.5,243.8,1.47,299.4,1.46,378.3,3125,2198,32,70326,2768,2492,3092,2678,2920
CEIL_p10_m4.0_N2_SEED,CEIL,86,256188,2978.9,3187.2,2152.3,12.84,88.4,-911,7501,48.8,176.7,443.0,3.17,498.6,2.61,577.5,3353,2347,32,75101,3036,2483,3428,2890,3103
CEIL_p10_m4.0_N3_COLD,CEIL,86,247406,2876.8,3249.0,2343.4,11.38,83.7,-2414,7501,39.5,186.4,340.9,2.15,396.5,1.8,475.4,3320,2129,32,68124,2720,2381,3571,2886,2865
