label,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,ema_fast,ema_slow,adx_threshold,rsi_period,rsi_entry,max_pos_trend,max_pos_meanrev,hard_stop_pct,trend_trades,trend_pf,trend_pnl,meanrev_trades,meanrev_pf,meanrev_pnl
E20_50_ADX20_R21_30_P8_5,5.75,1.07,1.48,8.57,0.67,1.44,1629,37.1,5501889,15503400,55.03,20,50,20,21,30,8,5,0.1,1491,1.4,4844122,138,2.25,657767
E20_50_ADX20_R21_30_P15_10,7.12,1.1,1.46,12.98,0.55,1.43,2706,36.0,7157998,17159738,71.6,20,50,20,21,30,15,10,0.1,2563,1.4,6534868,143,2.48,623130
E20_50_ADX20_R21_30_P20_10,7.15,1.22,1.57,10.76,0.66,1.47,3279,36.2,7197894,17199666,72.0,20,50,20,21,30,20,10,0.1,3136,1.44,6574764,143,2.48,623130
E20_50_ADX25_R21_30_P8_5,5.52,1.11,1.49,9.03,0.61,1.5,1353,39.4,5244046,15245243,52.45,20,50,25,21,30,8,5,0.1,1215,1.46,4586279,138,2.25,657767
E20_50_ADX25_R21_30_P15_10,5.91,1.09,1.38,12.66,0.47,1.46,1942,37.5,5689714,15691214,56.91,20,50,25,21,30,15,10,0.1,1799,1.43,5066584,143,2.48,623130
E20_50_ADX25_R21_30_P20_10,5.47,1.21,1.56,9.82,0.56,1.52,2104,37.9,5184018,15185396,51.85,20,50,25,21,30,20,10,0.1,1961,1.48,4560889,143,2.48,623130
E20_50_ADX30_R21_30_P8_5,4.95,1.27,1.76,6.36,0.78,1.67,882,41.7,4610040,14611250,46.11,20,50,30,21,30,8,5,0.1,744,1.62,3952273,138,2.25,657767
E20_50_ADX30_R21_30_P15_10,5.26,1.46,2.06,6.99,0.75,1.82,997,42.1,4951411,14952408,49.52,20,50,30,21,30,15,10,0.1,854,1.77,4328281,143,2.48,623130
E20_50_ADX30_R21_30_P20_10,4.32,1.52,2.16,5.34,0.81,1.85,1009,42.4,3937228,13938016,39.38,20,50,30,21,30,20,10,0.1,866,1.78,3314098,143,2.48,623130
E25_60_ADX20_R21_30_P8_5,6.64,1.3,1.81,8.32,0.8,1.6,1370,37.3,6564097,16566247,65.66,25,60,20,21,30,8,5,0.1,1232,1.57,5906330,138,2.25,657767
