strategy,params,total_trades,win_rate,profit_factor,avg_win_pct,avg_loss_pct,avg_trade_pct,total_pnl_pct,max_consec_loss,avg_bars_held,best_stock,worst_stock,yearly_breakdown,calmar_approx
KC_MeanRev,"KC(10,2.0)",5608,60.88,1.04,1.876,-2.806,0.0442,247.96,9,11.6,NH(1.83%),PAYTM(-2.41%),2018:0.02%(714t); 2019:-0.00%(592t); 2020:-0.08%(660t); 2021:0.62%(687t); 2022:-0.21%(912t); 2023:0.10%(640t); 2024:0.18%(719t); 2025:-0.19%(684t),0.125
KC_MeanRev,"KC(10,1.5)+SMA200",5176,64.14,1.135,1.43,-2.254,0.1093,565.89,6,10.2,PTCIL(1.06%),INDUSINDBK(-1.04%),2018:-0.05%(442t); 2019:0.10%(561t); 2020:0.25%(687t); 2021:0.05%(675t); 2022:-0.15%(703t); 2023:0.35%(690t); 2024:0.27%(740t); 2025:-0.01%(678t),0.452
KC_MeanRev,"KC(10,2.0)+SMA200",1222,63.5,1.308,1.721,-2.289,0.2572,314.3,7,11.2,KAYNES(2.41%),PGEL(-3.04%),2018:0.35%(109t); 2019:0.11%(137t); 2020:0.33%(160t); 2021:0.53%(168t); 2022:-0.26%(177t); 2023:0.56%(176t); 2024:0.24%(148t); 2025:0.21%(147t),0.558
KC_MeanRev,"KC(20,1.5)+MH35",19994,65.81,1.014,1.624,-3.082,0.0151,301.86,9,14.5,PTCIL(0.84%),RPOWER(-0.99%),2018:-0.17%(2462t); 2019:0.08%(2438t); 2020:-0.24%(2336t); 2021:0.30%(2455t); 2022:-0.18%(2738t); 2023:0.15%(2357t); 2024:0.16%(2727t); 2025:0.03%(2481t),0.07
KC_MeanRev,"KC(20,2.0)+MH35",13125,64.66,1.052,1.874,-3.258,0.0599,786.67,9,15.9,NH(0.95%),PAYTM(-0.82%),2018:-0.13%(1631t); 2019:0.11%(1547t); 2020:-0.27%(1514t); 2021:0.48%(1590t); 2022:-0.26%(1875t); 2023:0.21%(1505t); 2024:0.22%(1765t); 2025:0.15%(1698t),0.335
KC_MeanRev,"KC(20,2.5)+MH35",8059,63.72,1.1,2.189,-3.494,0.1269,1022.75,8,17.1,NH(1.67%),PAYTM(-1.99%),2018:-0.00%(1031t); 2019:0.20%(897t); 2020:-0.36%(927t); 2021:0.71%(953t); 2022:-0.20%(1219t); 2023:0.30%(915t); 2024:0.28%(1066t); 2025:0.16%(1051t),0.43
BB_Squeeze_Breakout,"BB(20,1.5)",17118,31.43,1.142,3.552,-1.426,0.1388,2375.73,23,13.9,MAZDOCK(1.91%),ERIS(-0.72%),2018:-0.13%(1818t); 2019:-0.16%(2081t); 2020:0.55%(2200t); 2021:0.41%(2186t); 2022:-0.03%(2292t); 2023:0.20%(2300t); 2024:0.13%(2278t); 2025:0.08%(1963t),1.119
BB_Squeeze_MeanRev,"BB(20,1.5)",17148,67.24,1.016,1.302,-2.629,0.0138,236.98,10,12.8,BHARTIHEXA(0.73%),RPOWER(-1.09%),2018:-0.20%(1884t); 2019:-0.03%(2211t); 2020:0.19%(1981t); 2021:0.21%(2191t); 2022:-0.12%(2277t); 2023:0.06%(2149t); 2024:0.08%(2382t); 2025:-0.10%(2073t),0.075
BB_Squeeze_Breakout,"BB(20,2.0)",13056,33.39,1.138,3.606,-1.588,0.1464,1911.75,24,15.1,MAZDOCK(2.04%),ERIS(-0.79%),2018:-0.17%(1361t); 2019:-0.14%(1577t); 2020:0.53%(1695t); 2021:0.48%(1680t); 2022:-0.04%(1713t); 2023:0.23%(1765t); 2024:0.13%(1758t); 2025:0.05%(1507t),0.887
BB_Squeeze_MeanRev,"BB(20,2.0)",12504,66.24,1.055,1.458,-2.712,0.0501,626.31,9,13.9,FORTIS(0.81%),PAYTM(-1.12%),2018:-0.21%(1370t); 2019:-0.01%(1610t); 2020:0.22%(1390t); 2021:0.29%(1627t); 2022:-0.13%(1660t); 2023:0.11%(1576t); 2024:0.17%(1739t); 2025:-0.07%(1532t),0.309
BB_Squeeze_Breakout,"BB(20,2.5)",8429,35.53,1.151,3.692,-1.768,0.1719,1448.81,17,16.3,RPOWER(2.79%),ERIS(-0.90%),2018:-0.28%(876t); 2019:-0.13%(1010t); 2020:0.43%(1117t); 2021:0.56%(1126t); 2022:-0.02%(1052t); 2023:0.38%(1142t); 2024:0.19%(1155t); 2025:0.09%(951t),0.859
BB_Squeeze_MeanRev,"BB(20,2.5)",7322,64.79,1.078,1.646,-2.81,0.0772,565.04,8,15.0,LLOYDSME(1.12%),INDUSINDBK(-0.99%),2018:-0.21%(801t); 2019:-0.01%(943t); 2020:0.07%(793t); 2021:0.40%(955t); 2022:-0.14%(988t); 2023:0.17%(910t); 2024:0.28%(1021t); 2025:-0.00%(911t),0.311
BB_Squeeze_Breakout,"BB(30,1.5)",12607,31.99,1.234,4.288,-1.634,0.2601,3279.32,30,19.0,PGEL(2.35%),BHARTIHEXA(-0.52%),2018:-0.15%(1333t); 2019:-0.14%(1508t); 2020:0.86%(1602t); 2021:0.58%(1635t); 2022:0.04%(1662t); 2023:0.37%(1725t); 2024:0.31%(1667t); 2025:0.10%(1475t),2.412
BB_Squeeze_MeanRev,"BB(30,1.5)",12505,69.14,1.046,1.524,-3.264,0.0467,583.4,7,17.3,BHARTIHEXA(1.03%),RPOWER(-1.17%),2018:-0.20%(1366t); 2019:-0.02%(1636t); 2020:0.25%(1457t); 2021:0.27%(1579t); 2022:-0.09%(1657t); 2023:0.10%(1530t); 2024:0.08%(1758t); 2025:-0.05%(1522t),0.185
BB_Squeeze_Breakout,"BB(30,2.0)",9711,33.93,1.219,4.345,-1.83,0.265,2572.98,25,20.7,PGEL(2.65%),ERIS(-0.88%),2018:-0.21%(1029t); 2019:-0.08%(1091t); 2020:0.73%(1278t); 2021:0.59%(1289t); 2022:0.08%(1267t); 2023:0.39%(1358t); 2024:0.31%(1297t); 2025:0.12%(1102t),1.568
BB_Squeeze_MeanRev,"BB(30,2.0)",9197,67.74,1.098,1.738,-3.322,0.1055,970.32,7,18.8,NH(1.03%),PAYTM(-1.65%),2018:-0.15%(1041t); 2019:0.03%(1206t); 2020:0.30%(1048t); 2021:0.41%(1139t); 2022:-0.12%(1209t); 2023:0.20%(1131t); 2024:0.18%(1292t); 2025:0.00%(1131t),0.566
BB_Squeeze_Breakout,"BB(30,2.5)",6637,35.72,1.242,4.513,-2.02,0.3138,2082.46,23,22.2,PTCIL(2.80%),BHARTIHEXA(-1.29%),2018:-0.27%(681t); 2019:-0.08%(756t); 2020:0.67%(892t); 2021:0.80%(882t); 2022:0.12%(839t); 2023:0.40%(945t); 2024:0.34%(894t); 2025:0.33%(748t),1.457
BB_Squeeze_MeanRev,"BB(30,2.5)",5817,65.81,1.11,1.973,-3.421,0.1282,745.63,9,20.4,PTCIL(1.39%),PAYTM(-2.19%),2018:-0.09%(652t); 2019:-0.01%(765t); 2020:0.13%(643t); 2021:0.44%(732t); 2022:-0.17%(768t); 2023:0.35%(729t); 2024:0.25%(807t); 2025:0.11%(721t),0.516
RSI_MeanRev,"RSI(14)<30,exit>50",9059,65.5,1.159,2.204,-3.611,0.1981,1794.45,8,21.5,LLOYDSME(1.80%),INDUSINDBK(-1.59%),2018:-0.04%(1167t); 2019:0.15%(1057t); 2020:-0.47%(1030t); 2021:0.80%(1147t); 2022:-0.13%(1248t); 2023:0.39%(1034t); 2024:0.55%(1267t); 2025:0.28%(1109t),0.769
RSI_MeanRev,"RSI(14)<25,exit>50",4949,65.0,1.203,2.602,-4.018,0.2852,1411.22,10,23.5,LLOYDSME(2.39%),PAYTM(-3.89%),2018:0.22%(682t); 2019:0.08%(561t); 2020:-0.67%(576t); 2021:0.94%(572t); 2022:0.03%(735t); 2023:0.39%(522t); 2024:0.78%(694t); 2025:0.48%(607t),0.683
RSI_MeanRev,"RSI(14)<20,exit>50",2191,65.13,1.18,3.053,-4.832,0.3032,664.29,5,25.4,LLOYDSME(4.50%),PAYTM(-7.29%),2018:0.53%(307t); 2019:0.35%(241t); 2020:-1.18%(287t); 2021:1.27%(238t); 2022:0.34%(350t); 2023:0.07%(210t); 2024:0.86%(298t); 2025:0.24%(260t),0.517
RSI_MeanRev,"RSI(14)<30,exit>45",9941,65.1,1.099,1.818,-3.086,0.1066,1059.75,8,15.3,MUTHOOTFIN(1.19%),PAYTM(-1.44%),2018:-0.03%(1298t); 2019:0.07%(1172t); 2020:-0.32%(1139t); 2021:0.54%(1229t); 2022:-0.15%(1382t); 2023:0.24%(1124t); 2024:0.32%(1374t); 2025:0.16%(1223t),0.455
RSI_MeanRev,"RSI(14)<30,exit>50+SMA200",2149,69.43,1.699,2.092,-2.796,0.5973,1283.7,5,19.6,LLOYDSME(4.18%),INDUSINDBK(-0.89%),2018:0.16%(176t); 2019:0.48%(231t); 2020:1.06%(281t); 2021:0.68%(305t); 2022:-0.03%(286t); 2023:0.82%(291t); 2024:0.75%(308t); 2025:0.65%(271t),2.959
RSI_MeanRev,"RSI(14)<25,exit>50+SMA200",631,70.05,2.1,2.594,-2.888,0.9519,600.64,7,21.1,GRSE(6.71%),BERGEPAINT(-2.99%),2018:-0.06%(50t); 2019:0.96%(60t); 2020:1.66%(90t); 2021:1.24%(89t); 2022:-0.08%(93t); 2023:1.01%(77t); 2024:1.28%(88t); 2025:1.23%(84t),1.186
RSI_MeanRev,"RSI(7)<30,exit>50",27205,64.5,0.963,1.314,-2.478,-0.0324,-882.66,11,11.0,NH(0.55%),PAYTM(-0.75%),2018:-0.16%(3334t); 2019:0.04%(3350t); 2020:-0.13%(3259t); 2021:0.10%(3416t); 2022:-0.18%(3534t); 2023:0.08%(3339t); 2024:0.06%(3700t); 2025:-0.07%(3273t),-0.118
RSI_MeanRev,"RSI(7)<25,exit>50",19296,63.58,0.983,1.459,-2.59,-0.0158,-304.92,10,11.8,NH(0.61%),PAYTM(-0.99%),2018:-0.18%(2392t); 2019:0.04%(2348t); 2020:-0.14%(2277t); 2021:0.21%(2457t); 2022:-0.23%(2551t); 2023:0.09%(2287t); 2024:0.10%(2635t); 2025:-0.02%(2349t),-0.06
RSI_MeanRev,"RSI(7)<20,exit>50",12528,63.37,1.03,1.616,-2.713,0.0303,379.41,9,12.5,NH(1.01%),INDUSINDBK(-1.07%),2018:-0.16%(1601t); 2019:0.08%(1465t); 2020:-0.23%(1434t); 2021:0.35%(1577t); 2022:-0.15%(1732t); 2023:0.15%(1447t); 2024:0.18%(1716t); 2025:0.02%(1556t),0.127
RSI_MeanRev,"RSI(7)<30,exit>50+SMA200",11866,65.75,1.1,1.279,-2.231,0.0767,909.7,11,10.6,BHARTIHEXA(0.82%),EICHERMOT(-0.50%),2018:-0.07%(1047t); 2019:0.02%(1339t); 2020:0.28%(1634t); 2021:-0.00%(1595t); 2022:-0.12%(1442t); 2023:0.23%(1620t); 2024:0.17%(1751t); 2025:-0.01%(1438t),0.54
RSI_MeanRev,"RSI(21)<30,exit>50",3981,66.42,1.219,3.016,-4.894,0.3595,1431.36,7,33.1,LLOYDSME(2.96%),PAYTM(-5.43%),2018:0.05%(528t); 2019:0.01%(441t); 2020:-1.80%(443t); 2021:1.45%(469t); 2022:0.30%(607t); 2023:0.66%(423t); 2024:1.17%(577t); 2025:0.77%(493t),1.013
RSI_MeanRev,"RSI(21)<25,exit>50",1703,65.12,1.162,3.662,-5.882,0.3331,567.35,9,36.7,LLOYDSME(7.31%),PAYTM(-6.56%),2018:0.57%(245t); 2019:-0.07%(184t); 2020:-3.48%(207t); 2021:1.99%(183t); 2022:0.66%(268t); 2023:0.70%(169t); 2024:1.45%(242t); 2025:0.74%(205t),0.253
RSI_MeanRev,"RSI(21)<30,exit>50+SMA200",248,74.6,2.591,3.329,-3.773,1.5251,378.22,3,28.3,ZENTEC(9.60%),INTELLECT(-10.06%),2018:1.28%(18t); 2019:1.41%(20t); 2020:3.10%(37t); 2021:0.83%(37t); 2022:-0.60%(37t); 2023:1.39%(25t); 2024:1.99%(41t); 2025:2.64%(33t),1.317
RSI_MeanRev,"RSI(14)<30,exit>50+MH35",9799,65.11,1.123,2.244,-3.727,0.1604,1571.75,7,18.8,LLOYDSME(1.78%),INDUSINDBK(-1.59%),2018:-0.04%(1277t); 2019:0.11%(1157t); 2020:-0.40%(1123t); 2021:0.73%(1204t); 2022:-0.14%(1370t); 2023:0.38%(1104t); 2024:0.47%(1357t); 2025:0.17%(1207t),0.594
RSI_MeanRev,"RSI(14)<30,exit>50+SMA200+MH35",2158,69.32,1.559,2.101,-3.045,0.5223,1127.1,5,17.6,LLOYDSME(4.18%),INDUSINDBK(-1.26%),2018:0.18%(176t); 2019:0.36%(232t); 2020:1.03%(283t); 2021:0.64%(305t); 2022:-0.17%(286t); 2023:0.74%(293t); 2024:0.70%(309t); 2025:0.51%(274t),2.265
RSI_MeanRev,"RSI(7)<30,exit>50+MH35",27592,64.57,0.96,1.319,-2.503,-0.0352,-972.56,11,10.8,NH(0.55%),PAYTM(-0.72%),2018:-0.16%(3386t); 2019:0.04%(3412t); 2020:-0.14%(3304t); 2021:0.09%(3443t); 2022:-0.18%(3598t); 2023:0.08%(3372t); 2024:0.06%(3745t); 2025:-0.07%(3332t),-0.119
RSI_MeanRev,"RSI(7)<30,exit>50+SMA200+MH35",11872,65.74,1.097,1.279,-2.237,0.0743,882.41,11,10.4,BHARTIHEXA(0.82%),EICHERMOT(-0.50%),2018:-0.06%(1047t); 2019:0.02%(1341t); 2020:0.30%(1634t); 2021:-0.01%(1595t); 2022:-0.12%(1443t); 2023:0.22%(1620t); 2024:0.17%(1752t); 2025:-0.02%(1440t),0.492
EMA_Deviation,EMA(20)-1.5ATR,19062,65.47,1.015,1.592,-2.972,0.0157,298.52,9,15.4,ASTERDM(0.71%),RPOWER(-0.98%),2018:-0.18%(2338t); 2019:0.08%(2316t); 2020:-0.22%(2224t); 2021:0.32%(2388t); 2022:-0.22%(2558t); 2023:0.16%(2281t); 2024:0.17%(2602t); 2025:0.01%(2355t),0.066
EMA_Deviation,EMA(20)-2.0ATR,12369,64.4,1.051,1.84,-3.167,0.0575,711.29,9,17.0,LLOYDSME(1.09%),PAYTM(-1.14%),2018:-0.11%(1537t); 2019:0.11%(1443t); 2020:-0.31%(1419t); 2021:0.47%(1536t); 2022:-0.28%(1736t); 2023:0.25%(1432t); 2024:0.24%(1673t); 2025:0.11%(1593t),0.272
EMA_Deviation,EMA(20)-2.5ATR,7384,62.95,1.101,2.184,-3.371,0.1259,929.71,8,18.5,NH(1.48%),PAYTM(-1.65%),2018:0.01%(957t); 2019:0.12%(813t); 2020:-0.45%(822t); 2021:0.75%(890t); 2022:-0.23%(1099t); 2023:0.28%(843t); 2024:0.38%(989t); 2025:0.17%(971t),0.423
EMA_Deviation,EMA(20)-3.0ATR,3875,63.66,1.154,2.524,-3.833,0.2145,831.21,7,19.6,GRSE(2.74%),PAYTM(-3.60%),2018:0.30%(506t); 2019:-0.06%(387t); 2020:-0.67%(454t); 2021:1.03%(449t); 2022:0.03%(643t); 2023:0.18%(405t); 2024:0.67%(528t); 2025:0.20%(503t),0.454
EMA_Deviation,EMA(50)-1.5ATR,15145,70.1,1.114,1.843,-3.879,0.1323,2004.36,6,25.8,BHARTIHEXA(0.96%),RPOWER(-1.32%),2018:-0.19%(1852t); 2019:0.11%(1863t); 2020:-0.24%(1751t); 2021:0.56%(1945t); 2022:-0.12%(2022t); 2023:0.34%(1802t); 2024:0.32%(2029t); 2025:0.25%(1881t),0.673
EMA_Deviation,EMA(50)-2.0ATR,11744,69.29,1.145,2.102,-4.142,0.1841,2162.01,11,28.9,HOMEFIRST(1.32%),RPOWER(-1.30%),2018:-0.16%(1487t); 2019:0.12%(1408t); 2020:-0.42%(1321t); 2021:0.69%(1486t); 2022:-0.08%(1601t); 2023:0.45%(1397t); 2024:0.48%(1575t); 2025:0.34%(1469t),0.905
EMA_Deviation,EMA(50)-2.5ATR,9102,68.03,1.168,2.391,-4.358,0.2334,2124.45,10,31.7,HOMEFIRST(1.54%),RPOWER(-1.22%),2018:-0.11%(1181t); 2019:0.19%(1087t); 2020:-0.68%(996t); 2021:0.89%(1153t); 2022:-0.12%(1241t); 2023:0.51%(1048t); 2024:0.64%(1235t); 2025:0.45%(1161t),0.996
EMA_Deviation,EMA(20)-1.5ATR+MH35,20045,65.67,1.007,1.616,-3.071,0.007,140.4,9,14.5,PTCIL(0.70%),RPOWER(-1.00%),2018:-0.17%(2473t); 2019:0.07%(2448t); 2020:-0.26%(2338t); 2021:0.30%(2472t); 2022:-0.20%(2735t); 2023:0.16%(2381t); 2024:0.14%(2715t); 2025:0.01%(2483t),0.028
EMA_Deviation,EMA(20)-2.0ATR+MH35,12899,64.58,1.041,1.871,-3.277,0.0476,613.48,9,15.9,LLOYDSME(1.29%),PAYTM(-0.97%),2018:-0.10%(1609t); 2019:0.10%(1509t); 2020:-0.30%(1492t); 2021:0.44%(1570t); 2022:-0.26%(1843t); 2023:0.24%(1483t); 2024:0.20%(1730t); 2025:0.09%(1663t),0.23
EMA_Deviation,EMA(20)-2.5ATR+MH35,7628,62.97,1.078,2.216,-3.496,0.1007,768.38,7,17.2,MAZDOCK(1.38%),INDUSINDBK(-1.61%),2018:-0.02%(990t); 2019:0.11%(838t); 2020:-0.43%(866t); 2021:0.71%(900t); 2022:-0.22%(1154t); 2023:0.27%(859t); 2024:0.32%(1017t); 2025:0.12%(1004t),0.336
EMA_Deviation,EMA(10)-1.5ATR,15973,62.74,1.01,1.494,-2.491,0.0091,145.23,8,10.5,NH(1.06%),PAYTM(-1.29%),2018:-0.08%(1986t); 2019:0.13%(1841t); 2020:-0.13%(1878t); 2021:0.20%(1904t); 2022:-0.15%(2330t); 2023:0.12%(1853t); 2024:0.10%(2176t); 2025:-0.08%(2005t),0.04
EMA_Deviation,EMA(10)-2.0ATR,6748,61.01,1.031,1.833,-2.784,0.0331,223.52,9,11.5,NH(1.63%),PAYTM(-2.14%),2018:-0.01%(835t); 2019:0.01%(721t); 2020:-0.16%(801t); 2021:0.50%(801t); 2022:-0.20%(1089t); 2023:0.11%(776t); 2024:0.21%(891t); 2025:-0.13%(834t),0.103
EMA_Deviation,EMA(10)-2.5ATR,2242,60.04,1.1,2.395,-3.269,0.1313,294.35,9,12.6,LLOYDSME(5.22%),PGEL(-3.52%),2018:0.01%(265t); 2019:-0.32%(219t); 2020:0.58%(293t); 2021:0.70%(259t); 2022:-0.33%(374t); 2023:-0.09%(233t); 2024:0.41%(322t); 2025:0.08%(277t),0.129
InsideBar_Breakout,"ATR_tgt=2.0,MH=7",47359,46.82,1.009,1.683,-1.468,0.0073,344.57,17,7.0,PTCIL(0.48%),REDINGTON(-0.23%),2018:-0.11%(5367t); 2019:-0.04%(5425t); 2020:0.05%(6066t); 2021:0.05%(6066t); 2022:-0.07%(6071t); 2023:0.06%(6051t); 2024:0.03%(6549t); 2025:0.07%(5764t),0.105
InsideBar_Breakout,"ATR_tgt=2.0,MH=14",36716,49.08,1.105,2.406,-2.099,0.1122,4120.3,15,14.0,BSE(0.82%),ITC(-0.17%),2018:-0.06%(4182t); 2019:0.03%(4226t); 2020:0.27%(4681t); 2021:0.21%(4697t); 2022:-0.04%(4709t); 2023:0.22%(4731t); 2024:0.12%(5067t); 2025:0.12%(4423t),3.185
InsideBar_Breakout,"ATR_tgt=2.0,MH=35",22166,51.48,1.259,3.932,-3.314,0.4165,9232.15,15,35.0,BSE(2.09%),SBICARD(-0.13%),2018:-0.02%(2553t); 2019:0.15%(2566t); 2020:0.70%(2774t); 2021:0.77%(2830t); 2022:0.04%(2857t); 2023:0.70%(2872t); 2024:0.56%(3044t); 2025:0.36%(2670t),7.122
InsideBar_Breakout,"ATR_tgt=3.0,MH=7",47359,46.82,1.009,1.683,-1.468,0.0073,344.57,17,7.0,PTCIL(0.48%),REDINGTON(-0.23%),2018:-0.11%(5367t); 2019:-0.04%(5425t); 2020:0.05%(6066t); 2021:0.05%(6066t); 2022:-0.07%(6071t); 2023:0.06%(6051t); 2024:0.03%(6549t); 2025:0.07%(5764t),0.105
InsideBar_Breakout,"ATR_tgt=3.0,MH=14",36716,49.08,1.105,2.406,-2.099,0.1122,4120.3,15,14.0,BSE(0.82%),ITC(-0.17%),2018:-0.06%(4182t); 2019:0.03%(4226t); 2020:0.27%(4681t); 2021:0.21%(4697t); 2022:-0.04%(4709t); 2023:0.22%(4731t); 2024:0.12%(5067t); 2025:0.12%(4423t),3.185
InsideBar_Breakout,"ATR_tgt=1.5,MH=7",47359,46.82,1.009,1.683,-1.468,0.0073,344.57,17,7.0,PTCIL(0.48%),REDINGTON(-0.23%),2018:-0.11%(5367t); 2019:-0.04%(5425t); 2020:0.05%(6066t); 2021:0.05%(6066t); 2022:-0.07%(6071t); 2023:0.06%(6051t); 2024:0.03%(6549t); 2025:0.07%(5764t),0.105
InsideBar_Breakout,"ATR_tgt=1.5,MH=14",36716,49.08,1.105,2.406,-2.099,0.1122,4120.3,15,14.0,BSE(0.82%),ITC(-0.17%),2018:-0.06%(4182t); 2019:0.03%(4226t); 2020:0.27%(4681t); 2021:0.21%(4697t); 2022:-0.04%(4709t); 2023:0.22%(4731t); 2024:0.12%(5067t); 2025:0.12%(4423t),3.185
