signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
d_pcr_oi_all_15,fret,15,0,-0.038,-2.63,0.0196,1.7,0,0.0059,0.0196,0.0198,51.6,0,162,0.0281,0.0111,-0.0293,-0.0468,0.0011,0.0108,162,156,0,0,0.37
mp_drift_30,fabs,60,0,0.0016,0.08,0.0195,1.09,0,0.0113,0.0195,0.0261,1218.8,0,160,0.0319,0.0075,0.0134,-0.01,0.0406,-0.0166,160,152,0,0,0.56
atm_iv,fabs,5,0,0.0255,2.37,-0.0191,-2.29,0,0.0245,0.0191,0.0092,74.9,0,128,-0.015,-0.0233,0.0184,0.0326,0.0243,0.0247,128,92,0,0,1.87
d_pcr_oi_atm5_15,fret,15,0,0.0279,2.57,0.019,1.75,0,0.0269,0.019,0.0198,68.1,0,162,0.0218,0.0162,0.0223,0.0336,0.0267,0.027,162,156,0,0,2.32
doi_net_15,fret,30,0,-0.0535,-3.23,0.0188,1.49,0,0.0177,0.0188,0.0092,35.1,0,162,0.0174,0.0203,-0.0513,-0.0556,0.0147,0.0207,162,156,0,0,0.92
mp_dev,fabs,60,0,0.0359,1.54,0.0187,1.02,0,0.0437,0.0187,0.0261,52.1,0,162,0.0136,0.0237,0.0407,0.0311,0.0538,0.0335,162,156,0,0,2.1
mp_drift_30,fdprem,5,0,0.013,1.5,0.0187,2.02,0,-0.0004,0.0187,0.0159,143.8,0,160,0.0204,0.017,0.0213,0.0049,-0.0066,0.0055,160,152,0,0,-0.05
mp_drift_30,fdprem_n,5,0,0.013,1.5,0.0187,2.02,0,-0.0004,0.0187,0.0159,143.8,0,160,0.0204,0.017,0.0213,0.0049,-0.0066,0.0055,160,152,0,0,-0.05
d_prem_15,fabs,15,0,-0.0231,-2.12,0.0178,1.55,0,-0.0018,0.0178,0.0046,77.1,0,162,0.0168,0.0189,-0.0263,-0.0198,0.0026,-0.0062,162,156,0,0,-0.16
d_prem_15,fdprem,5,0,-0.0691,-7.47,0.0176,1.95,0,-0.0059,0.0176,0.0159,25.5,0,162,0.0189,0.0162,-0.0694,-0.0688,-0.0032,-0.0085,162,156,1,0,-0.73
d_prem_15,fdprem_n,5,0,-0.0691,-7.47,0.0176,1.95,0,-0.0059,0.0176,0.0159,25.5,0,162,0.0189,0.0162,-0.0694,-0.0688,-0.0032,-0.0085,162,156,1,0,-0.73
doi_pe_15,fret,15,0,-0.0058,-0.39,0.0175,1.32,0,0.0198,0.0175,0.0198,301.7,0,162,0.0197,0.0153,-0.0001,-0.0115,0.0111,0.0285,162,156,0,0,1.2
doi_net_15,fret,15,0,-0.0369,-2.54,0.0175,1.52,0,0.0057,0.0175,0.0198,47.4,0,162,0.0269,0.0081,-0.0269,-0.0469,-0.001,0.0125,162,156,0,0,0.35
d_atm_iv_15,fabs,15,0,-0.0148,-1.17,0.0175,1.4,0,-0.0248,0.0175,0.0046,118.2,0,128,0.0175,0.0174,-0.0167,-0.0129,-0.0364,-0.0122,128,92,0,0,-1.79
doi_ce_15,fret,5,0,0.0342,3.45,-0.0173,-1.72,0,0.0135,0.0173,0.0107,50.6,0,162,-0.0287,-0.0059,0.031,0.0375,0.0158,0.0112,162,156,1,0,1.41
d_pcr_oi_atm5_15,fdprem,60,0,0.0048,0.36,0.0172,1.52,0,0.0035,0.0172,0.0129,358.3,0,162,0.0294,0.005,0.0136,-0.004,0.0176,-0.0106,162,156,0,0,0.23
d_pcr_oi_atm5_15,fdprem_n,60,0,0.0048,0.36,0.0172,1.52,0,0.0035,0.0172,0.0129,358.3,0,162,0.0294,0.005,0.0136,-0.004,0.0176,-0.0106,162,156,0,0,0.23
doi_pe_30,fabs,5,0,0.0053,0.61,0.017,2.3,0,0.0231,0.017,0.0092,320.8,0,162,0.0192,0.0149,0.0043,0.0064,0.0196,0.0266,162,156,0,0,2.41
doi_wing_15,fret,60,0,0.0072,0.37,-0.0169,-1.36,0,0.0115,0.0169,0.0047,234.7,0,162,-0.0164,-0.0174,0.03,-0.0156,0.0241,-0.0012,162,156,0,0,0.6
pcr_oi_all,fabs,30,0,-0.056,-2.74,-0.0167,-1.2,0,-0.0087,0.0167,0.0067,29.8,0,162,-0.0072,-0.0263,-0.0376,-0.0744,-0.0065,-0.0109,162,156,0,0,-0.45
d_pcr_oi_all_15,fdprem,30,0,-0.0349,-1.97,-0.0166,-1.36,0,0.0209,0.0166,0.0491,47.6,0,162,-0.0171,-0.0162,-0.0359,-0.0339,0.0253,0.0165,162,156,0,0,1.17
d_pcr_oi_all_15,fdprem_n,30,0,-0.0349,-1.97,-0.0166,-1.36,0,0.0209,0.0166,0.0491,47.6,0,162,-0.0171,-0.0162,-0.0359,-0.0339,0.0253,0.0165,162,156,0,0,1.17
pcr_oi_atm5,fabs,15,0,-0.0006,-0.05,0.0163,1.44,0,0.0072,0.0163,0.0046,2716.7,0,162,0.0187,0.014,0.0049,-0.0061,-0.0001,0.0145,162,156,0,0,0.57
skew,fdprem,60,0,0.0412,1.5,0.016,0.83,0,0.0845,0.016,0.0129,38.8,0,128,0.0203,0.0117,0.0236,0.0588,0.0909,0.0774,128,92,0,1,2.35
skew,fdprem_n,60,0,0.0412,1.5,0.016,0.83,0,0.0845,0.016,0.0129,38.8,0,128,0.0203,0.0117,0.0236,0.0588,0.0909,0.0774,128,92,0,1,2.35
d_pcr_oi_atm5_15,fret,5,0,0.0182,2.22,0.0159,1.84,0,0.0102,0.0159,0.0107,87.4,0,162,0.0172,0.0147,0.0148,0.0216,0.0117,0.0087,162,156,0,0,1.26
wall_squeeze,fabs,30,0,-0.0069,-0.36,-0.0159,-1.04,0,0.002,0.0159,0.0067,230.4,0,151,0.0171,-0.0493,0.0137,-0.0278,0.0273,-0.0254,151,135,0,0,0.09
placebo_noise,fdprem,5,1,0.0148,1.74,0.0159,1.34,0,-0.0244,0.0159,0.0159,107.4,0,162,0.0212,0.0105,0.009,0.0207,-0.0267,-0.0221,162,162,0,0,-2.76
doi_ce_15,fdprem,30,0,0.0234,1.37,0.0159,1.18,0,-0.0133,0.0159,0.0491,67.9,0,162,0.028,0.0038,0.0313,0.0154,-0.0147,-0.0118,162,156,0,0,-0.79
placebo_noise,fdprem_n,5,1,0.0148,1.74,0.0159,1.34,0,-0.0244,0.0159,0.0159,107.4,0,162,0.0212,0.0105,0.009,0.0207,-0.0267,-0.0221,162,162,0,0,-2.76
doi_ce_15,fdprem_n,30,0,0.0234,1.37,0.0159,1.18,0,-0.0133,0.0159,0.0491,67.9,0,162,0.028,0.0038,0.0313,0.0154,-0.0147,-0.0118,162,156,0,0,-0.79
pcr_oi_atm10,fret,15,0,-0.1128,-8.6,0.0158,1.19,0,0.0293,0.0158,0.0198,14.0,0,162,0.0119,0.0196,-0.1386,-0.087,0.0303,0.0283,162,156,1,0,1.84
pcr_oi_all,fret,5,0,-0.1461,-19.43,0.0157,1.5,0,0.0088,0.0157,0.0107,10.7,0,162,0.0184,0.0131,-0.1501,-0.1421,0.011,0.0067,162,156,1,0,0.88
pcr_oi_atm10,fdprem,30,0,-0.0058,-0.29,-0.0157,-0.97,0,-0.0029,0.0157,0.0491,270.7,0,162,-0.011,-0.0205,-0.0044,-0.0073,-0.0057,-0.0,162,156,0,0,-0.13
pcr_oi_atm10,fdprem_n,30,0,-0.0058,-0.29,-0.0157,-0.97,0,-0.0029,0.0157,0.0491,270.7,0,162,-0.011,-0.0205,-0.0044,-0.0073,-0.0057,-0.0,162,156,0,0,-0.13
doi_atm_15,fabs,60,0,-0.004,-0.29,0.0155,1.09,0,-0.0103,0.0155,0.0261,387.5,0,162,-0.0029,0.0338,-0.0352,0.0272,-0.0263,0.0057,162,156,0,0,-0.76
doi_ce_5,fret,5,0,0.0157,1.74,-0.0153,-1.81,0,0.0132,0.0153,0.0107,97.5,0,162,-0.022,-0.0085,0.0146,0.0169,0.0187,0.0076,162,156,0,0,1.48
dist_wall_ce,fret,15,0,0.2025,11.58,-0.0153,-1.11,0,0.0244,0.0153,0.0198,7.6,0,162,-0.0324,0.0018,0.2102,0.1949,0.0084,0.0405,162,156,1,0,1.49
doi_pe_5,fabs,15,0,-0.0218,-2.14,-0.0153,-1.82,0,0.0097,0.0153,0.0046,70.2,0,162,-0.0194,-0.0112,-0.0256,-0.0179,0.0057,0.0137,162,156,0,0,0.89
d_prem_15,fret,5,0,-0.008,-0.89,0.0149,1.32,0,0.0124,0.0149,0.0107,186.2,0,162,0.0136,0.0162,-0.009,-0.007,0.0146,0.0102,162,156,0,0,1.55
dist_wall_pe,fdprem,60,0,0.0857,2.83,-0.0147,-0.83,0,-0.0043,0.0147,0.0129,17.2,0,162,-0.0043,-0.0251,0.083,0.0885,-0.0196,0.0111,162,156,0,0,-0.14
dist_wall_pe,fdprem_n,60,0,0.0857,2.83,-0.0147,-0.83,0,-0.0043,0.0147,0.0129,17.2,0,162,-0.0043,-0.0251,0.083,0.0885,-0.0196,0.0111,162,156,0,0,-0.14
mp_drift_30,fabs,5,0,-0.0025,-0.32,0.0145,1.89,0,0.0024,0.0145,0.0092,580.0,0,160,0.0177,0.0114,-0.0061,0.001,-0.0102,0.0143,160,152,0,0,0.27
mp_drift_30,fret,15,0,-0.034,-2.32,0.0142,1.07,0,0.0265,0.0142,0.0198,41.8,0,160,0.0249,0.0037,-0.0337,-0.0343,0.0272,0.0259,160,152,0,0,1.61
pcr_oi_all,fret,60,0,-0.3932,-18.71,-0.0141,-0.77,0,0.0348,0.0141,0.0047,3.6,0,162,-0.0266,-0.0015,-0.3956,-0.3908,0.0509,0.0186,162,156,1,0,1.03
doi_ce_5,fdprem,15,0,0.0143,1.2,0.0141,1.45,0,0.0031,0.0141,0.0481,98.6,0,162,0.0187,0.0095,0.0282,0.0004,-0.0009,0.0072,162,156,0,0,0.27
doi_ce_5,fdprem_n,15,0,0.0143,1.2,0.0141,1.45,0,0.0031,0.0141,0.0481,98.6,0,162,0.0187,0.0095,0.0282,0.0004,-0.0009,0.0072,162,156,0,0,0.27
doi_pe_5,fdprem,5,0,0.0043,0.5,0.014,1.64,0,-0.0025,0.014,0.0159,325.6,0,162,0.0224,0.0057,0.0031,0.0055,-0.0071,0.0021,162,156,0,0,-0.29
doi_pe_5,fdprem_n,5,0,0.0043,0.5,0.014,1.64,0,-0.0025,0.014,0.0159,325.6,0,162,0.0224,0.0057,0.0031,0.0055,-0.0071,0.0021,162,156,0,0,-0.29
doi_pe_30,fabs,30,0,-0.0207,-1.18,0.0139,0.89,0,0.0089,0.0139,0.0067,67.1,0,162,0.0251,0.0026,-0.0126,-0.0287,-0.0025,0.0202,162,156,0,0,0.46
doi_pe_5,fret,15,0,-0.0004,-0.04,0.0138,1.61,0,0.0066,0.0138,0.0198,3450.0,0,162,0.0158,0.0118,0.0095,-0.0104,0.0054,0.0078,162,156,0,0,0.51
wall_squeeze,fret,15,0,0.1831,10.04,-0.0138,-0.85,0,0.0166,0.0138,0.0198,7.5,0,153,-0.0293,0.0022,0.185,0.1811,0.0269,0.0053,153,137,1,0,0.94
doi_ce_5,fret,60,0,0.0619,3.58,-0.0137,-1.37,0,0.0035,0.0137,0.0047,22.1,0,162,-0.0105,-0.017,0.0703,0.0534,-0.0007,0.0078,162,156,0,0,0.19
wall_squeeze,fabs,60,0,-0.0061,-0.26,-0.0137,-0.78,0,0.0173,0.0137,0.0261,224.6,0,150,-0.0024,-0.0253,-0.0194,0.0075,0.0298,0.0036,150,134,0,0,0.69
doi_pe_15,fdprem,60,0,-0.0092,-0.44,0.0137,0.92,0,-0.0003,0.0137,0.0129,148.9,0,162,0.014,0.0133,-0.0207,0.0023,-0.0032,0.0025,162,156,0,0,-0.02
doi_pe_15,fdprem_n,60,0,-0.0092,-0.44,0.0137,0.92,0,-0.0003,0.0137,0.0129,148.9,0,162,0.014,0.0133,-0.0207,0.0023,-0.0032,0.0025,162,156,0,0,-0.02
pcr_oi_all,fabs,60,0,-0.0143,-0.56,-0.0136,-0.84,0,0.0013,0.0136,0.0261,95.1,0,162,-0.0056,-0.0217,0.0071,-0.0357,0.0002,0.0024,162,156,0,0,0.05
d_pcr_oi_all_15,fret,5,0,-0.0335,-3.33,0.0131,1.45,0,0.0004,0.0131,0.0107,39.1,0,162,0.0222,0.0041,-0.0251,-0.0419,-0.0029,0.0038,162,156,0,0,0.04
wall_squeeze,fdprem,60,0,0.0528,1.61,0.013,0.58,0,-0.0114,0.013,0.0129,24.6,0,150,0.0085,0.0176,0.0472,0.0586,-0.0031,-0.0206,150,134,0,0,-0.35
wall_squeeze,fdprem_n,60,0,0.0528,1.61,0.013,0.58,0,-0.0114,0.013,0.0129,24.6,0,150,0.0085,0.0176,0.0472,0.0586,-0.0031,-0.0206,150,134,0,0,-0.35
placebo_noise,fdprem,60,1,0.0445,1.69,-0.0129,-0.52,0,-0.0598,0.0129,0.0129,29.0,0,162,-0.0159,-0.0099,0.0247,0.0643,-0.0642,-0.0554,162,162,0,0,-2.09
placebo_noise,fdprem_n,60,1,0.0445,1.69,-0.0129,-0.52,0,-0.0598,0.0129,0.0129,29.0,0,162,-0.0159,-0.0099,0.0247,0.0643,-0.0642,-0.0554,162,162,0,0,-2.09
pcr_vol_atm5,fdprem,60,0,0.0542,1.73,0.0127,0.77,0,0.0299,0.0127,0.0129,23.4,0,162,0.0267,-0.0013,0.0692,0.0392,0.0365,0.0233,162,156,0,0,0.91
pcr_vol_atm5,fdprem_n,60,0,0.0542,1.73,0.0127,0.77,0,0.0299,0.0127,0.0129,23.4,0,162,0.0267,-0.0013,0.0692,0.0392,0.0365,0.0233,162,156,0,0,0.91
doi_net_15,fret,5,0,-0.0326,-3.23,0.0125,1.36,0,0.0013,0.0125,0.0107,38.3,0,162,0.0206,0.0044,-0.0239,-0.0413,-0.0029,0.0055,162,156,0,0,0.14
doi_atm_15,fdprem,15,0,0.0104,0.73,-0.0125,-1.02,0,0.0189,0.0125,0.0481,120.2,0,162,0.0069,-0.0319,0.018,0.0027,0.0126,0.0253,162,156,0,0,1.41
doi_atm_15,fdprem_n,15,0,0.0104,0.73,-0.0125,-1.02,0,0.0189,0.0125,0.0481,120.2,0,162,0.0069,-0.0319,0.018,0.0027,0.0126,0.0253,162,156,0,0,1.41
pcr_oi_all,fret,15,0,-0.2367,-19.47,-0.0122,-0.8,0,0.0095,0.0122,0.0198,5.2,0,162,-0.0187,-0.0056,-0.2479,-0.2256,0.012,0.0069,162,156,1,0,0.54
mp_drift_15,fdprem,15,0,0.0117,0.9,0.0122,0.99,0,-0.0064,0.0122,0.0481,104.3,0,158,0.0222,0.0024,0.027,-0.0032,-0.0156,0.0024,158,147,0,0,-0.46
mp_drift_15,fdprem_n,15,0,0.0117,0.9,0.0122,0.99,0,-0.0064,0.0122,0.0481,104.3,0,158,0.0222,0.0024,0.027,-0.0032,-0.0156,0.0024,158,147,0,0,-0.46
doi_pe_15,fret,5,0,-0.0099,-1.03,0.0121,1.32,0,0.0106,0.0121,0.0107,122.2,0,162,0.0148,0.0094,-0.0036,-0.0163,0.0117,0.0096,162,156,0,0,1.07
doi_ce_15,fabs,60,0,-0.0019,-0.11,-0.0121,-0.9,0,-0.0006,0.0121,0.0261,636.8,0,162,-0.021,-0.0032,-0.0006,-0.0032,-0.0073,0.0062,162,156,0,0,-0.03
dist_wall_ce,fret,60,0,0.3212,12.89,-0.012,-0.71,0,0.0018,0.012,0.0047,3.7,0,162,0.0003,-0.0243,0.3487,0.2936,-0.0469,0.0505,162,156,1,0,0.06
mp_drift_30,fret,5,0,-0.0272,-3.0,0.0117,1.4,0,0.014,0.0117,0.0107,43.0,0,160,0.0239,-0.0003,-0.0214,-0.0329,0.017,0.0112,160,152,0,0,1.36
skew,fabs,15,0,-0.0011,-0.09,-0.0116,-0.98,0,0.0238,0.0116,0.0046,1054.5,0,128,-0.0204,-0.0029,-0.0097,0.0074,0.0412,0.0047,128,92,0,0,1.5
dist_wall_pe,fabs,60,0,0.033,1.45,-0.0116,-0.75,0,-0.0092,0.0116,0.0261,35.2,0,162,0.0108,-0.034,0.0288,0.0372,-0.0027,-0.0158,162,156,0,0,-0.41
mp_dev,fdprem,15,0,0.0338,2.01,0.0116,0.77,0,0.0048,0.0116,0.0481,34.3,0,162,0.0253,-0.0021,0.0511,0.0166,-0.0034,0.0131,162,156,0,0,0.37
mp_dev,fdprem_n,15,0,0.0338,2.01,0.0116,0.77,0,0.0048,0.0116,0.0481,34.3,0,162,0.0253,-0.0021,0.0511,0.0166,-0.0034,0.0131,162,156,0,0,0.37
doi_pe_5,fdprem,30,0,-0.0187,-1.24,-0.0114,-1.15,0,0.0179,0.0114,0.0491,61.0,0,162,-0.0053,-0.0175,-0.0227,-0.0146,0.0222,0.0136,162,156,0,0,1.21
doi_pe_5,fdprem_n,30,0,-0.0187,-1.24,-0.0114,-1.15,0,0.0179,0.0114,0.0491,61.0,0,162,-0.0053,-0.0175,-0.0227,-0.0146,0.0222,0.0136,162,156,0,0,1.21
d_pcr_oi_all_15,fret,60,0,-0.1001,-5.33,0.0112,0.79,0,0.0329,0.0112,0.0047,11.2,0,162,-0.0003,0.0227,-0.104,-0.0962,0.041,0.0247,162,156,0,0,1.46
wall_squeeze,fabs,5,0,0.0046,0.45,-0.0112,-1.42,0,0.0116,0.0112,0.0092,243.5,0,153,-0.0035,-0.0192,0.0169,-0.0081,0.0072,0.0165,153,138,0,0,1.12
doi_pe_5,fret,30,0,-0.0066,-0.47,0.0111,1.18,0,0.0251,0.0111,0.0092,168.2,0,162,0.0118,0.0103,-0.0004,-0.0128,0.0239,0.0263,162,156,0,0,1.63
pcr_vol_atm5,fabs,5,0,0.0334,3.37,0.0108,1.54,0,-0.0108,0.0108,0.0092,32.3,0,162,0.0171,0.0045,0.034,0.0327,-0.0089,-0.0127,162,156,0,0,-1.27
doi_atm_15,fabs,5,0,-0.0133,-1.8,-0.0108,-1.51,0,0.009,0.0108,0.0092,81.2,0,162,-0.0151,-0.0065,-0.0174,-0.0091,0.0124,0.0056,162,156,0,0,1.18
placebo_noise,fret,5,1,-0.0137,-1.5,-0.0107,-0.87,0,-0.0151,0.0107,0.0107,78.1,0,162,-0.0053,-0.0162,-0.012,-0.0154,-0.0149,-0.0154,162,162,1,0,-1.61
d_prem_15,fret,60,0,-0.0202,-1.12,0.0106,0.6,0,-0.0055,0.0106,0.0047,52.5,0,162,-0.004,0.0253,-0.0277,-0.0127,-0.0011,-0.01,162,156,0,0,-0.32
wall_squeeze,fdprem,5,0,0.0044,0.38,-0.0105,-1.03,0,0.0032,0.0105,0.0159,238.6,0,153,-0.0122,-0.0088,-0.0009,0.0098,-0.0021,0.0092,153,138,0,0,0.33
wall_squeeze,fdprem_n,5,0,0.0044,0.38,-0.0105,-1.03,0,0.0032,0.0105,0.0159,238.6,0,153,-0.0122,-0.0088,-0.0009,0.0098,-0.0021,0.0092,153,138,0,0,0.33
pcr_oi_atm10,fabs,60,0,0.0047,0.21,-0.0104,-0.63,0,0.0208,0.0104,0.0261,221.3,0,162,-0.014,-0.0067,0.0179,-0.0085,-0.0042,0.0457,162,156,0,0,0.87
pcr_oi_atm10,fabs,30,0,-0.0287,-1.64,-0.0101,-0.74,0,0.0014,0.0101,0.0067,35.2,0,162,-0.0079,-0.0122,-0.0165,-0.041,-0.0184,0.0211,162,156,0,0,0.08
dist_wall_pe,fdprem,30,0,0.0709,2.88,-0.0101,-0.56,0,-0.0012,0.0101,0.0491,14.2,0,162,-0.0189,-0.0014,0.0649,0.0768,-0.0108,0.0083,162,156,0,0,-0.06
dist_wall_pe,fdprem_n,30,0,0.0709,2.88,-0.0101,-0.56,0,-0.0012,0.0101,0.0491,14.2,0,162,-0.0189,-0.0014,0.0649,0.0768,-0.0108,0.0083,162,156,0,0,-0.06
pcr_oi_atm10,fdprem,15,0,-0.0004,-0.03,-0.0099,-0.69,0,0.0076,0.0099,0.0481,2475.0,0,162,-0.0065,-0.0133,0.0009,-0.0017,0.0066,0.0087,162,156,0,0,0.48
pcr_oi_atm10,fdprem_n,15,0,-0.0004,-0.03,-0.0099,-0.69,0,0.0076,0.0099,0.0481,2475.0,0,162,-0.0065,-0.0133,0.0009,-0.0017,0.0066,0.0087,162,156,0,0,0.48
skew,fdprem,30,0,0.0278,1.42,0.0097,0.51,0,0.0565,0.0097,0.0491,34.9,0,128,0.0133,0.0061,0.0274,0.0282,0.0785,0.0325,128,92,0,0,1.98
skew,fdprem_n,30,0,0.0278,1.42,0.0097,0.51,0,0.0565,0.0097,0.0491,34.9,0,128,0.0133,0.0061,0.0274,0.0282,0.0785,0.0325,128,92,0,0,1.98
mp_dev,fret,30,0,0.2198,11.02,-0.0096,-0.55,0,-0.0188,0.0096,0.0092,4.4,0,162,0.0067,-0.026,0.1964,0.2432,-0.0096,-0.028,162,156,0,0,-0.99
mp_dev,fret,5,0,0.1242,12.12,0.0094,0.96,0,-0.0025,0.0094,0.0107,7.6,0,162,0.0306,-0.0119,0.1208,0.1275,0.0054,-0.0105,162,156,0,0,-0.28
dist_wall_ce,fabs,30,0,0.0067,0.37,-0.0093,-0.77,0,0.0183,0.0093,0.0067,138.8,0,162,0.0112,-0.0299,0.018,-0.0046,0.0454,-0.0089,162,156,0,0,0.96
placebo_noise,fret,30,1,-0.0417,-2.05,-0.0092,-0.37,0,-0.0597,0.0092,0.0092,22.1,0,162,-0.0093,-0.0092,-0.0409,-0.0425,-0.0568,-0.0627,162,162,0,1,-2.66
placebo_noise,fabs,5,1,-0.0025,-0.26,-0.0092,-1.19,0,0.0039,0.0092,0.0092,368.0,0,162,-0.005,-0.0133,0.0008,-0.0057,0.0067,0.001,162,162,0,0,0.44
pcr_vol_all,fabs,15,0,0.0181,1.29,0.0092,0.75,0,-0.0055,0.0092,0.0046,50.8,0,162,0.0145,0.0039,0.0226,0.0137,0.0036,-0.0146,162,156,0,0,-0.35
mp_drift_15,fdprem,30,0,0.0149,0.97,0.0092,0.65,0,0.0034,0.0092,0.0491,61.7,0,158,0.0222,-0.0034,0.0364,-0.0061,-0.0122,0.0183,158,147,0,0,0.22
mp_drift_15,fdprem_n,30,0,0.0149,0.97,0.0092,0.65,0,0.0034,0.0092,0.0491,61.7,0,158,0.0222,-0.0034,0.0364,-0.0061,-0.0122,0.0183,158,147,0,0,0.22
d_pcr_oi_all_15,fabs,30,0,-0.0097,-0.62,0.0091,0.72,0,0.0168,0.0091,0.0067,93.8,0,162,0.0164,0.0019,-0.0078,-0.0116,0.0167,0.0169,162,156,0,0,1.04
doi_wing_15,fret,15,0,0.019,1.32,-0.009,-0.77,0,0.0199,0.009,0.0198,47.4,0,162,0.0052,-0.0231,0.0397,-0.0017,0.0081,0.0318,162,156,0,0,1.41
doi_ce_30,fdprem,30,0,0.0147,0.78,-0.009,-0.48,0,0.0,0.009,0.0491,61.2,0,162,-0.0056,-0.0125,0.0164,0.013,0.0087,-0.0087,162,156,0,0,0.0
doi_ce_30,fdprem_n,30,0,0.0147,0.78,-0.009,-0.48,0,0.0,0.009,0.0491,61.2,0,162,-0.0056,-0.0125,0.0164,0.013,0.0087,-0.0087,162,156,0,0,0.0
doi_pe_15,fdprem,5,0,0.0012,0.14,0.0089,0.98,0,0.0056,0.0089,0.0159,741.7,0,162,0.0109,0.007,-0.006,0.0084,0.0013,0.0098,162,156,0,0,0.67
doi_pe_15,fdprem_n,5,0,0.0012,0.14,0.0089,0.98,0,0.0056,0.0089,0.0159,741.7,0,162,0.0109,0.007,-0.006,0.0084,0.0013,0.0098,162,156,0,0,0.67
doi_ce_5,fabs,30,0,-0.0032,-0.27,0.0088,1.0,0,-0.0222,0.0088,0.0067,275.0,0,162,0.0089,0.0087,0.0009,-0.0073,-0.0281,-0.0163,162,156,0,0,-1.81
doi_pe_15,fabs,5,0,-0.0131,-1.45,-0.0087,-1.27,0,0.0166,0.0087,0.0092,66.4,0,162,-0.0152,-0.0022,-0.0178,-0.0085,0.0123,0.0209,162,156,0,0,1.89
doi_ce_30,fabs,15,0,0.0068,0.52,-0.0087,-0.77,0,-0.0194,0.0087,0.0046,127.9,0,162,-0.0192,0.0019,0.0023,0.0113,-0.026,-0.0127,162,156,0,0,-1.74
pcr_oi_atm5,fabs,60,0,0.0128,0.62,-0.0087,-0.59,0,0.0102,0.0087,0.0261,68.0,0,162,-0.0137,-0.0037,0.015,0.0107,0.0038,0.0166,162,156,0,0,0.48
doi_ce_5,fabs,5,0,0.0202,2.77,0.0085,1.27,0,-0.0017,0.0085,0.0092,42.1,0,162,0.0075,0.0094,0.0162,0.0242,-0.0078,0.0044,162,156,0,0,-0.22
mp_dev,fabs,5,0,0.0379,4.03,0.0085,1.1,0,-0.0181,0.0085,0.0092,22.4,0,162,0.0028,0.0142,0.0339,0.042,-0.0269,-0.0093,162,156,0,0,-2.29
doi_pe_15,fabs,15,0,-0.0209,-1.8,-0.0081,-0.83,0,0.0177,0.0081,0.0046,38.8,0,162,-0.0088,-0.0074,-0.0245,-0.0173,0.0162,0.0192,162,156,0,0,1.34
mp_drift_15,fabs,30,0,-0.0021,-0.17,-0.0081,-0.7,0,0.0049,0.0081,0.0067,385.7,0,158,-0.0134,-0.0029,-0.0055,0.0012,-0.0083,0.0175,158,147,0,0,0.33
d_prem_15,fret,15,0,-0.0126,-0.88,0.0079,0.52,0,0.006,0.0079,0.0198,62.7,0,162,-0.0,0.0159,-0.0203,-0.0048,0.0191,-0.0072,162,156,0,0,0.44
pcr_oi_atm5,fabs,5,0,-0.0032,-0.35,0.0079,1.02,0,0.0072,0.0079,0.0092,246.9,0,162,0.0124,0.0034,-0.0034,-0.0029,0.0039,0.0104,162,156,0,0,0.87
doi_wing_15,fabs,30,0,-0.0302,-2.28,-0.0079,-0.63,0,0.0023,0.0079,0.0067,26.2,0,162,-0.0151,-0.0006,-0.0302,-0.0302,-0.0174,0.0219,162,156,0,0,0.17
doi_pe_15,fabs,30,0,-0.0313,-2.19,-0.0078,-0.62,0,0.0044,0.0078,0.0067,24.9,0,162,0.0064,-0.0221,-0.0242,-0.0384,-0.0017,0.0106,162,156,0,0,0.26
dist_wall_pe,fabs,30,0,0.0613,3.31,0.0078,0.59,0,-0.0077,0.0078,0.0067,12.7,0,162,0.02,-0.0044,0.0609,0.0617,-0.0121,-0.0033,162,156,0,0,-0.44
mp_drift_15,fdprem,60,0,0.0132,0.84,0.0078,0.62,0,-0.0094,0.0078,0.0129,59.1,0,157,0.0196,-0.0035,0.0202,0.0065,0.0049,-0.023,157,146,0,0,-0.51
mp_drift_15,fdprem_n,60,0,0.0132,0.84,0.0078,0.62,0,-0.0094,0.0078,0.0129,59.1,0,157,0.0196,-0.0035,0.0202,0.0065,0.0049,-0.023,157,146,0,0,-0.51
d_pcr_oi_atm5_15,fret,30,0,0.0151,1.3,0.0077,0.7,0,0.0244,0.0077,0.0092,51.0,0,162,0.0089,0.0066,0.0034,0.0268,0.0307,0.018,162,156,0,0,2.04
doi_ce_15,fabs,15,0,0.0008,0.06,-0.0077,-0.77,0,-0.0317,0.0077,0.0046,962.5,0,162,-0.0105,-0.0049,0.0019,-0.0004,-0.0406,-0.0229,162,156,0,0,-3.02
doi_atm_15,fabs,15,0,-0.0123,-1.24,-0.0077,-0.83,0,0.0052,0.0077,0.0046,62.6,0,162,-0.0024,-0.013,-0.0107,-0.0139,0.0026,0.0079,162,156,0,0,0.46
