signal,outcome,horizon,is_placebo,ic_raw,t_raw,ic_partial,t_partial,stable_partial,ic_shuffled,abs_partial,placebo_ceiling,pct_raw_surviving,alive,n_raw,ic_partial_NIFTY,ic_partial_SENSEX,ic_raw_NIFTY,ic_raw_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_raw,stable_shuffled,t_shuffled
pcr_vol_atm5,fabs,30,0,0.0635,2.91,0.0352,2.48,0,-0.0055,0.0352,0.0067,55.4,0,162,0.038,0.0323,0.0623,0.0647,-0.0007,-0.0103,162,156,0,0,-0.27
pcr_oi_all,fdprem,60,0,-0.0344,-1.04,0.0346,1.86,0,-0.0289,0.0346,0.0129,100.6,0,162,0.0209,0.0483,-0.039,-0.0298,-0.0262,-0.0316,162,156,0,0,-0.81
pcr_oi_all,fdprem_n,60,0,-0.0344,-1.04,0.0346,1.86,0,-0.0289,0.0346,0.0129,100.6,0,162,0.0209,0.0483,-0.039,-0.0298,-0.0262,-0.0316,162,156,0,0,-0.81
pcr_vol_atm5,fabs,60,0,0.065,2.42,0.0337,2.0,0,-0.0055,0.0337,0.0261,51.8,0,162,0.0282,0.0392,0.0583,0.0717,-0.0057,-0.0052,162,156,0,0,-0.22
pcr_vol_atm5,fdprem,30,0,0.0527,2.19,0.0337,2.16,0,0.0023,0.0337,0.0491,63.9,0,162,0.0607,0.0067,0.0633,0.0421,0.0119,-0.0073,162,156,0,0,0.1
pcr_vol_atm5,fdprem_n,30,0,0.0527,2.19,0.0337,2.16,0,0.0023,0.0337,0.0491,63.9,0,162,0.0607,0.0067,0.0633,0.0421,0.0119,-0.0073,162,156,0,0,0.1
pcr_oi_atm10,fret,5,0,-0.0603,-8.0,0.0333,3.46,0,0.019,0.0333,0.0107,55.2,0,162,0.0344,0.0321,-0.0736,-0.047,0.0231,0.015,162,156,1,0,2.01
pcr_oi_atm5,fdprem,60,0,0.0373,1.47,0.0327,1.97,0,-0.0186,0.0327,0.0129,87.7,0,162,0.0322,0.0333,0.0313,0.0434,-0.015,-0.0223,162,156,0,0,-0.65
pcr_oi_atm5,fdprem_n,60,0,0.0373,1.47,0.0327,1.97,0,-0.0186,0.0327,0.0129,87.7,0,162,0.0322,0.0333,0.0313,0.0434,-0.015,-0.0223,162,156,0,0,-0.65
mp_drift_30,fdprem,60,0,0.0336,1.75,0.0324,1.88,0,-0.0045,0.0324,0.0129,96.4,0,160,0.0478,0.0173,0.0385,0.0288,0.015,-0.0231,160,152,0,0,-0.19
mp_drift_30,fdprem_n,60,0,0.0336,1.75,0.0324,1.88,0,-0.0045,0.0324,0.0129,96.4,0,160,0.0478,0.0173,0.0385,0.0288,0.015,-0.0231,160,152,0,0,-0.19
doi_ce_15,fret,60,0,0.0835,3.91,-0.0323,-2.14,0,-0.0007,0.0323,0.0047,38.7,0,162,-0.0349,-0.0296,0.0955,0.0715,-0.0075,0.0062,162,156,0,0,-0.03
doi_ce_5,fret,30,0,0.0377,2.51,-0.0318,-3.21,0,0.0086,0.0318,0.0092,84.4,0,162,-0.0377,-0.0258,0.0332,0.0421,0.0074,0.0099,162,156,0,0,0.59
atm_iv,fdprem,60,0,-0.2408,-6.81,-0.0317,-1.77,0,0.048,0.0317,0.0129,13.2,0,128,-0.0229,-0.0405,-0.2228,-0.2588,0.0792,0.0138,128,92,1,0,1.26
atm_iv,fdprem_n,60,0,-0.2408,-6.81,-0.0317,-1.77,0,0.048,0.0317,0.0129,13.2,0,128,-0.0229,-0.0405,-0.2228,-0.2588,0.0792,0.0138,128,92,1,0,1.26
pcr_vol_atm5,fret,60,0,0.3907,17.22,0.0314,1.81,0,-0.048,0.0314,0.0047,8.0,0,162,0.0306,0.0323,0.3809,0.4004,-0.045,-0.0511,162,156,1,0,-1.66
doi_atm_15,fret,60,0,-0.009,-0.5,-0.0311,-2.27,0,0.0146,0.0311,0.0047,345.6,0,162,-0.0326,-0.0297,0.0032,-0.0212,0.0265,0.0027,162,156,0,0,0.87
atm_iv,fabs,15,0,-0.0429,-2.9,-0.031,-2.7,0,0.0025,0.031,0.0046,72.3,0,128,-0.0287,-0.0334,-0.053,-0.0327,0.0006,0.0046,128,92,0,0,0.14
pcr_oi_atm10,fdprem,60,0,0.0188,0.69,0.0306,1.82,0,-0.0276,0.0306,0.0129,162.8,0,162,0.0183,0.0428,0.0112,0.0263,-0.0372,-0.0179,162,156,0,0,-0.88
pcr_oi_atm10,fdprem_n,60,0,0.0188,0.69,0.0306,1.82,0,-0.0276,0.0306,0.0129,162.8,0,162,0.0183,0.0428,0.0112,0.0263,-0.0372,-0.0179,162,156,0,0,-0.88
skew,fabs,60,0,0.0493,2.2,0.0304,1.74,0,0.0457,0.0304,0.0261,61.7,0,128,0.0412,0.0196,0.0468,0.0519,0.0507,0.0402,128,92,0,0,1.77
