signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
doi_ce_5,fabs,60,162,0.0156,0.0156,1.05,0,0,0,0.0186,0.89,81,0.0126,0.59,81,-0.0558,-0.0389,0.0118,0.0625,0.0558,-0.036,-0.0372,-0.0051,0.0704,0.0258
dist_wall_ce,fdprem,15,162,0.0156,0.0156,0.88,0,0,0,0.0167,0.67,81,0.0145,0.58,81,-0.1234,0.0741,0.0126,-0.0047,0.0199,-0.0749,0.0529,-0.0143,0.05,-0.0274
mp_drift_15,fdprem,5,160,0.0156,0.0156,1.81,0,0,0,0.0237,1.95,79,0.0077,0.63,81,0.0903,0.0362,0.0058,0.0288,0.005,0.0685,-0.0145,0.0317,0.0043,-0.0098
doi_pe_15,fabs,30,162,-0.0153,0.0153,-1.07,0,0,0,-0.0086,-0.44,81,-0.0221,-1.06,81,0.171,-0.0217,-0.0241,-0.0632,0.071,0.1328,-0.0511,-0.0393,-0.0898,0.1097
mp_drift_30,fabs,15,160,-0.015,0.015,-1.31,0,0,0,-0.0292,-1.64,79,-0.0012,-0.08,81,0.0266,-0.0202,-0.0216,-0.0702,-0.0022,0.0287,-0.0183,0.0275,-0.0357,0.0275
d_pcr_oi_atm5_15,fret,30,162,0.0148,0.0148,1.22,0,0,0,0.005,0.29,81,0.0246,1.41,81,0.1266,0.0085,0.0544,-0.0387,-0.0371,0.1361,0.0353,0.0151,-0.028,0.0791
doi_ce_30,fdprem,30,162,0.0147,0.0147,0.78,0,0,0,0.0164,0.58,81,0.013,0.51,81,-0.0136,-0.0155,-0.0113,0.0399,0.0712,-0.0258,-0.0176,-0.0,0.0058,0.0972
doi_pe_5,fabs,5,162,0.0147,0.0147,2.02,0,0,0,0.0074,0.72,81,0.022,2.13,81,0.0397,0.0086,-0.007,-0.0216,0.0655,0.0545,0.0276,-0.0085,0.0035,0.0815
doi_wing_15,fdprem,5,162,-0.0143,0.0143,-1.83,0,0,0,-0.0092,-0.82,81,-0.0194,-1.78,81,-0.0107,-0.0296,-0.0029,0.0044,-0.0129,0.0196,0.0019,-0.0073,-0.0315,-0.058
doi_ce_5,fret,5,162,0.0142,0.0142,1.56,0,0,0,0.0125,0.92,81,0.0159,1.29,81,0.0784,0.0212,-0.001,0.0128,0.0019,0.0524,0.031,0.0127,0.0066,0.0048
pcr_oi_atm5,fabs,15,162,-0.0139,0.0139,-1.01,0,0,0,-0.0127,-0.63,81,-0.0151,-0.81,81,-0.0522,-0.0042,-0.0233,-0.0304,0.032,-0.0489,0.0079,-0.0366,-0.0092,-0.0138
d_atm_iv_15,fabs,15,128,-0.0139,0.0139,-1.11,0,0,0,-0.0152,-0.84,64,-0.0125,-0.73,64,-0.0166,0.0276,-0.049,-0.0133,-0.0274,0.1262,-0.0114,0.0002,0.0047,-0.0999
doi_ce_30,fdprem,60,162,-0.0138,0.0138,-0.57,0,0,0,-0.0111,-0.31,81,-0.0164,-0.5,81,-0.0013,-0.0898,0.0174,-0.0485,0.1114,0.0735,-0.1093,0.0378,-0.0893,0.1227
pcr_vol_all,fdprem,5,162,0.0135,0.0135,1.25,0,0,0,0.0114,0.74,81,0.0156,1.02,81,-0.0144,0.0208,-0.008,0.0529,-0.0331,0.001,0.0208,0.0028,0.0562,-0.0346
d_atm_iv_15,fabs,30,128,-0.0134,0.0134,-0.87,0,0,0,-0.0122,-0.5,64,-0.0145,-0.77,64,-0.157,-0.0065,-0.025,0.0486,-0.0671,0.0503,-0.0375,0.0244,-0.0138,-0.0623
d_pcr_oi_all_15,fdprem,15,162,-0.0132,0.0132,-0.97,0,0,0,-0.0193,-1.01,81,-0.007,-0.36,81,0.0927,-0.0194,0.0034,-0.0244,-0.0767,0.2179,-0.0394,-0.0067,-0.0132,-0.0178
