signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
pcr_oi_all,fret,60,162,-0.4076,0.4076,-21.04,1,1,1,-0.409,-15.46,81,-0.4063,-14.27,81,-0.4556,-0.3275,-0.437,-0.4255,-0.4371,-0.4304,-0.3323,-0.3796,-0.4386,-0.4866
pcr_vol_atm5,fret,60,162,0.3757,0.3757,17.23,1,1,1,0.365,11.79,81,0.3863,12.52,81,0.1773,0.3493,0.3349,0.4646,0.3218,0.2388,0.3154,0.3608,0.5023,0.3726
pcr_oi_all,fret,30,162,-0.3188,0.3188,-22.12,1,1,1,-0.3301,-16.73,81,-0.3076,-14.6,81,-0.3399,-0.2921,-0.2958,-0.3812,-0.3461,-0.325,-0.2609,-0.2595,-0.3666,-0.3411
dist_wall_ce,fret,60,162,0.3041,0.3041,12.48,1,1,1,0.3281,8.87,81,0.2801,8.83,81,0.0303,0.2933,0.3742,0.3018,0.4343,0.3601,0.2617,0.2261,0.295,0.3385
pcr_vol_all,fret,60,162,0.3004,0.3004,11.66,1,1,1,0.3315,9.7,81,0.2694,7.01,81,0.1515,0.3194,0.266,0.4253,0.3435,0.1228,0.1447,0.2334,0.4011,0.3181
pcr_vol_atm5,fret,30,162,0.2936,0.2936,16.1,1,1,1,0.2831,11.0,81,0.3041,11.71,81,0.1156,0.2878,0.2555,0.3575,0.2438,0.1793,0.2511,0.271,0.3997,0.3044
wall_squeeze,fret,60,156,0.284,0.284,10.51,1,1,1,0.3056,8.01,79,0.2617,6.83,77,0.0099,0.228,0.3671,0.3107,0.4037,0.3785,0.2262,0.2529,0.2398,0.3167
atm_iv,fdprem,60,128,-0.2746,0.2746,-8.33,1,1,1,-0.2599,-5.47,64,-0.2892,-6.29,64,-0.3162,-0.2462,-0.1941,-0.3485,-0.2057,-0.3019,-0.2938,-0.2145,-0.4035,-0.2081
mp_dev,fret,60,162,0.2557,0.2557,10.79,0,0,1,0.2338,6.2,81,0.2775,9.68,81,-0.1093,0.302,0.1545,0.2814,0.2804,0.0678,0.263,0.2359,0.3829,0.2466
pcr_oi_atm10,fret,60,162,-0.2469,0.2469,-11.6,1,1,1,-0.2708,-9.0,81,-0.223,-7.41,81,-0.3453,-0.114,-0.3393,-0.2941,-0.3215,-0.3276,-0.0305,-0.2558,-0.2769,-0.3163
dist_wall_ce,fret,30,162,0.2451,0.2451,11.66,1,1,1,0.2486,8.13,81,0.2416,8.31,81,0.0584,0.2434,0.2736,0.1976,0.3565,0.3039,0.187,0.1819,0.2654,0.3485
pcr_oi_all,fret,15,162,-0.2441,0.2441,-22.16,1,1,1,-0.2506,-16.39,81,-0.2376,-14.92,81,-0.2196,-0.2145,-0.2081,-0.3028,-0.2866,-0.2273,-0.1894,-0.1946,-0.2862,-0.2904
pcr_vol_atm5,fret,15,162,0.2391,0.2391,16.02,1,1,1,0.2335,10.93,81,0.2448,11.67,81,0.1426,0.2375,0.2073,0.2915,0.1978,0.1414,0.203,0.2099,0.3166,0.2657
dist_wall_pe,fret,60,162,0.2344,0.2344,7.81,1,1,1,0.2086,4.74,81,0.2602,6.36,81,0.255,0.2586,0.1304,0.214,0.2361,0.4769,0.2685,0.1375,0.3053,0.297
pcr_vol_all,fret,30,162,0.2339,0.2339,11.07,1,1,1,0.2602,8.84,81,0.2076,6.87,81,0.0005,0.2839,0.2157,0.3241,0.2642,0.0283,0.1489,0.1766,0.3049,0.2251
wall_squeeze,fret,30,156,0.2271,0.2271,10.03,1,1,1,0.2371,8.02,79,0.2168,6.27,77,0.0921,0.1882,0.2743,0.1844,0.3811,0.3233,0.1765,0.1812,0.2072,0.301
atm_iv,fdprem,30,128,-0.2026,0.2026,-8.25,1,1,1,-0.1846,-5.14,64,-0.2206,-6.57,64,-0.2306,-0.1904,-0.127,-0.2136,-0.1982,-0.2996,-0.2575,-0.1218,-0.2776,-0.2083
mp_dev,fret,30,162,0.1938,0.1938,10.5,0,0,1,0.17,6.1,81,0.2177,9.03,81,-0.0841,0.1817,0.1409,0.1879,0.2408,0.0554,0.1793,0.1732,0.2898,0.2645
pcr_vol_all,fret,15,162,0.1923,0.1923,11.62,1,1,1,0.2067,8.98,81,0.1778,7.46,81,0.0316,0.2352,0.1681,0.2533,0.1993,0.0246,0.1297,0.1638,0.2501,0.1892
dist_wall_ce,fret,15,162,0.1894,0.1894,11.31,1,1,1,0.1875,7.54,81,0.1913,8.47,81,0.0283,0.1715,0.1857,0.1615,0.3002,0.1945,0.1674,0.1424,0.2012,0.28
dist_wall_pe,fret,30,162,0.1855,0.1855,7.96,1,1,1,0.1767,5.4,81,0.1944,5.82,81,0.2309,0.2157,0.1072,0.1928,0.186,0.38,0.1592,0.0871,0.2647,0.2343
pcr_oi_atm10,fret,30,162,-0.1814,0.1814,-11.42,1,1,1,-0.2097,-9.48,81,-0.153,-6.81,81,-0.2192,-0.1149,-0.1949,-0.2756,-0.2497,-0.2035,-0.0526,-0.1209,-0.247,-0.1687
pcr_oi_atm5,fret,60,162,-0.1774,0.1774,-7.79,0,0,1,-0.2144,-6.93,81,-0.1403,-4.24,81,-0.3424,-0.0057,-0.2839,-0.2436,-0.3089,-0.2999,0.0659,-0.1586,-0.2064,-0.2385
wall_squeeze,fret,15,156,0.1728,0.1728,9.71,1,1,1,0.1763,7.65,79,0.1692,6.18,77,0.031,0.1268,0.1831,0.1454,0.3265,0.2348,0.1585,0.1354,0.1627,0.224
atm_iv,fret,60,128,0.1657,0.1657,4.81,0,0,1,0.1976,4.22,64,0.1337,2.64,64,0.0424,0.3003,0.2647,0.1761,0.0396,0.0219,0.2662,0.2258,0.0448,-0.0134
dist_wall_pe,fret,15,162,0.1621,0.1621,9.59,1,1,1,0.1559,6.61,81,0.1682,6.92,81,0.2085,0.1823,0.1035,0.1535,0.1876,0.2111,0.1331,0.0862,0.2343,0.2181
atm_iv,fret,30,128,0.1577,0.1577,6.43,1,1,1,0.1785,5.35,64,0.1369,3.79,64,0.0748,0.2553,0.2314,0.1397,0.0923,0.1491,0.2353,0.1942,0.0496,0.0539
pcr_vol_atm5,fret,5,162,0.1576,0.1576,17.9,1,1,1,0.1553,12.51,81,0.1598,12.72,81,0.0766,0.1707,0.1422,0.1794,0.1372,0.0784,0.1446,0.1411,0.1892,0.1833
mp_dev,fret,15,162,0.1535,0.1535,9.88,0,0,1,0.1385,6.16,81,0.1686,7.84,81,-0.0122,0.1338,0.1108,0.155,0.2022,0.0839,0.1441,0.1257,0.2068,0.2274
pcr_oi_all,fret,5,162,-0.1517,0.1517,-22.08,1,1,1,-0.1537,-15.18,81,-0.1497,-16.02,81,-0.1362,-0.1415,-0.1278,-0.1774,-0.1753,-0.1374,-0.137,-0.1237,-0.1638,-0.186
atm_iv,fdprem,15,128,-0.1483,0.1483,-8.17,1,1,1,-0.1367,-5.2,64,-0.1599,-6.35,64,-0.1911,-0.1254,-0.0951,-0.1545,-0.1669,-0.2464,-0.1715,-0.0745,-0.2025,-0.1829
pcr_oi_atm5,fret,30,162,-0.1332,0.1332,-7.89,0,0,1,-0.1728,-7.99,81,-0.0936,-3.7,81,-0.2282,-0.0419,-0.1644,-0.2367,-0.2425,-0.1725,0.031,-0.0724,-0.1934,-0.1079
d_prem_15,fdprem,60,162,-0.1321,0.1321,-8.52,0,0,1,-0.136,-6.46,81,-0.1282,-5.6,81,0.0605,-0.1684,-0.0781,-0.2284,-0.0831,0.0477,-0.1797,-0.1046,-0.1701,-0.075
skew,fret,15,128,-0.1305,0.1305,-7.66,1,1,1,-0.1389,-5.98,64,-0.122,-4.87,64,-0.1118,-0.041,-0.122,-0.1596,-0.2689,-0.0063,-0.0552,-0.1202,-0.1233,-0.2453
skew,fret,5,128,-0.1297,0.1297,-12.07,1,1,1,-0.1285,-8.69,64,-0.131,-8.33,64,-0.1064,-0.0834,-0.1169,-0.1347,-0.2021,-0.0467,-0.0969,-0.1275,-0.1267,-0.2129
pcr_vol_all,fret,5,162,0.1295,0.1295,12.69,1,1,1,0.1367,9.85,81,0.1223,8.15,81,0.0137,0.1715,0.1138,0.1552,0.1286,0.0278,0.1023,0.1197,0.1531,0.1298
dist_wall_ce,fret,5,162,0.1259,0.1259,12.36,0,0,1,0.1255,8.01,81,0.1263,9.63,81,-0.0045,0.1142,0.1309,0.113,0.1901,0.0782,0.116,0.1042,0.136,0.1713
pcr_oi_atm10,fret,15,162,-0.1244,0.1244,-10.19,1,1,1,-0.1423,-8.28,81,-0.1065,-6.18,81,-0.1041,-0.0657,-0.1081,-0.204,-0.2075,-0.1098,-0.0141,-0.0707,-0.1937,-0.1416
skew,fret,30,128,-0.1233,0.1233,-5.95,0,0,1,-0.1303,-4.45,64,-0.1162,-3.94,64,-0.1283,-0.0372,-0.0869,-0.15,-0.2868,0.0192,-0.0318,-0.0991,-0.1224,-0.2847
atm_iv,fret,15,128,0.119,0.119,6.72,1,1,1,0.1245,5.08,64,0.1134,4.42,64,0.0661,0.1813,0.1632,0.0837,0.0769,0.1516,0.1816,0.1568,0.0308,0.0784
atm_iv,fabs,60,128,-0.1184,0.1184,-4.32,1,1,1,-0.1215,-3.34,64,-0.1154,-2.8,64,-0.2268,-0.0801,-0.1302,-0.1646,-0.0621,-0.0638,-0.2006,-0.1443,-0.0962,-0.0
wall_squeeze,fret,5,156,0.1151,0.1151,10.92,0,0,1,0.1174,8.07,79,0.1128,7.33,77,-0.0143,0.0967,0.1205,0.1045,0.2003,0.1029,0.1092,0.1072,0.1117,0.1298
skew,fret,60,128,-0.1131,0.1131,-4.14,0,0,1,-0.1193,-3.0,64,-0.1068,-2.83,64,-0.0611,0.023,-0.0717,-0.1398,-0.3633,0.0754,0.0194,-0.0694,-0.1468,-0.3208
d_prem_15,fdprem,30,162,-0.1118,0.1118,-7.85,1,1,1,-0.1125,-5.72,81,-0.1111,-5.36,81,-0.0466,-0.1412,-0.0629,-0.1645,-0.0815,-0.0717,-0.1236,-0.0713,-0.1652,-0.0764
dist_wall_pe,fret,5,162,0.1116,0.1116,11.02,1,1,1,0.1066,7.66,81,0.1166,7.88,81,0.1308,0.1158,0.0809,0.0997,0.1368,0.1177,0.0892,0.0793,0.1539,0.148
mp_dev,fret,5,162,0.1107,0.1107,11.59,0,0,1,0.1079,7.7,81,0.1136,8.68,81,-0.0313,0.1078,0.1038,0.1128,0.1459,0.0718,0.0872,0.098,0.132,0.1545
dist_wall_pe,fdprem,60,162,0.1004,0.1004,3.68,0,0,0,0.1005,2.59,81,0.1004,2.6,81,0.2975,0.1592,0.0517,0.0957,0.0457,0.1626,0.1948,-0.0088,0.1256,0.0767
atm_iv,fdprem,5,128,-0.0962,0.0962,-9.49,1,1,1,-0.095,-6.4,64,-0.0973,-7.0,64,-0.132,-0.0864,-0.0767,-0.0922,-0.1281,-0.1396,-0.1051,-0.0439,-0.1206,-0.1195
doi_ce_15,fret,60,162,0.0948,0.0948,4.25,0,0,1,0.1086,3.43,81,0.081,2.56,81,-0.1314,0.1497,0.1221,0.1656,0.0077,-0.1227,0.1003,0.1304,0.1553,-0.0833
doi_ce_30,fret,60,162,0.094,0.094,3.76,0,0,0,0.1107,3.12,81,0.0774,2.19,81,-0.1624,0.1524,0.1523,0.1681,-0.0248,-0.0709,0.0782,0.1511,0.155,-0.1195
d_pcr_oi_all_15,fret,60,162,-0.0933,0.0933,-5.01,0,0,1,-0.0957,-3.5,81,-0.0909,-3.57,81,0.2019,-0.1405,-0.015,-0.1483,-0.1545,0.1577,-0.1339,-0.0633,-0.1302,-0.0805
doi_net_15,fret,60,162,-0.0906,0.0906,-4.81,0,0,1,-0.0924,-3.36,81,-0.0888,-3.42,81,0.2102,-0.135,-0.0168,-0.1451,-0.1475,0.1634,-0.1276,-0.0665,-0.1267,-0.0793
pcr_oi_atm5,fret,15,162,-0.0892,0.0892,-7.1,0,0,1,-0.1145,-6.85,81,-0.064,-3.47,81,-0.1145,-0.0134,-0.0872,-0.1738,-0.1952,-0.0861,0.0356,-0.0388,-0.1522,-0.0857
doi_pe_30,fret,60,162,-0.0836,0.0836,-3.46,0,0,0,-0.095,-2.73,81,-0.0721,-2.14,81,0.1294,-0.1006,0.0035,-0.1337,-0.2358,0.1873,-0.0874,0.012,-0.1085,-0.1919
d_prem_15,fdprem,15,162,-0.0825,0.0825,-5.98,1,1,1,-0.0857,-4.45,81,-0.0792,-3.99,81,-0.1546,-0.1338,-0.0349,-0.1008,-0.052,-0.0859,-0.1052,-0.0456,-0.09,-0.0748
doi_ce_15,fret,30,162,0.0822,0.0822,4.19,0,0,1,0.0849,3.17,81,0.0794,2.76,81,0.0091,0.1397,0.0687,0.0988,0.0334,0.0192,0.108,0.1013,0.1032,-0.014
pcr_vol_atm5,fabs,60,162,0.0805,0.0805,3.11,0,0,0,0.0796,2.21,81,0.0813,2.17,81,0.1524,0.1292,0.0838,0.1123,-0.0683,0.1488,0.1632,0.0692,0.1194,-0.0937
doi_ce_30,fret,30,162,0.0801,0.0801,3.84,0,0,0,0.0907,3.17,81,0.0695,2.28,81,-0.0849,0.1889,0.0944,0.0887,0.0054,-0.0171,0.1168,0.1036,0.0915,-0.0573
d_atm_iv_15,fdprem,60,128,-0.0798,0.0798,-4.65,0,0,1,-0.0713,-3.12,64,-0.0882,-3.42,64,0.0543,-0.0897,-0.0807,-0.104,-0.0104,-0.1442,-0.1082,-0.0927,-0.087,-0.0407
d_prem_15,fabs,60,162,-0.0784,0.0784,-5.43,1,1,1,-0.0713,-3.44,81,-0.0854,-4.23,81,-0.1135,-0.1153,-0.0462,-0.0623,-0.0522,-0.1126,-0.1204,-0.0584,-0.0953,-0.0541
dist_wall_pe,fdprem,30,162,0.0779,0.0779,3.46,0,0,0,0.0722,2.38,81,0.0835,2.5,81,0.2532,0.1078,0.0232,0.0824,0.0291,0.0472,0.1768,-0.057,0.1207,0.1171
doi_ce_5,fret,60,162,0.0763,0.0763,3.97,0,0,1,0.0878,3.28,81,0.0647,2.35,81,-0.0778,0.1282,0.0994,0.1228,0.0057,-0.0755,0.1013,0.1122,0.0985,-0.0714
atm_iv,fret,5,128,0.0737,0.0737,7.23,1,1,1,0.0756,5.35,64,0.0718,4.85,64,0.0484,0.1137,0.106,0.0445,0.0404,0.124,0.1052,0.1063,0.0175,0.0472
pcr_oi_all,fabs,30,162,-0.0691,0.0691,-3.39,0,0,0,-0.0555,-1.96,81,-0.0826,-2.82,81,-0.1097,-0.1557,-0.0155,-0.0702,0.0601,-0.1276,-0.2036,-0.0544,-0.0869,0.0589
pcr_oi_atm10,fret,5,162,-0.0688,0.0688,-9.88,1,1,1,-0.078,-7.91,81,-0.0595,-6.09,81,-0.0612,-0.0486,-0.0571,-0.1018,-0.1147,-0.0746,-0.0281,-0.0344,-0.087,-0.0905
d_prem_15,fdprem,5,162,-0.0679,0.0679,-7.55,1,1,1,-0.0677,-5.53,81,-0.0682,-5.13,81,-0.0866,-0.1121,-0.041,-0.0599,-0.055,-0.035,-0.104,-0.0618,-0.0509,-0.0669
d_atm_iv_15,fdprem,30,128,-0.0665,0.0665,-4.35,1,1,1,-0.059,-2.97,64,-0.0741,-3.17,64,-0.0266,-0.0635,-0.039,-0.0872,-0.042,-0.1336,-0.0642,-0.0279,-0.1,-0.1004
pcr_vol_atm5,fdprem,60,162,0.0664,0.0664,2.26,0,0,0,0.0774,1.79,81,0.0554,1.38,81,0.2079,0.1294,-0.0129,0.1513,-0.0166,0.0878,0.0803,0.0004,0.1776,-0.1057
atm_iv,fabs,5,128,0.0639,0.0639,5.73,0,0,1,0.0589,3.67,64,0.0688,4.42,64,-0.019,0.1089,0.0175,0.0731,0.0476,0.1168,0.0891,0.0373,0.0876,0.0462
doi_ce_15,fret,15,162,0.0638,0.0638,3.96,1,1,1,0.0585,2.71,81,0.069,2.87,81,0.0308,0.0746,0.031,0.0732,0.0618,0.0402,0.0812,0.0773,0.0642,0.0561
d_pcr_oi_all_15,fret,30,162,-0.0623,0.0623,-3.83,0,0,0,-0.0606,-2.57,81,-0.064,-2.84,81,0.1121,-0.1118,0.0099,-0.0851,-0.1062,0.0448,-0.0872,-0.0338,-0.0772,-0.0874
doi_net_15,fret,30,162,-0.0609,0.0609,-3.73,0,0,0,-0.0579,-2.44,81,-0.0639,-2.83,81,0.1203,-0.1146,0.0108,-0.0795,-0.0995,0.0504,-0.0884,-0.0378,-0.0738,-0.086
mp_drift_30,fret,60,160,-0.0607,0.0607,-3.18,0,0,0,-0.055,-2.09,79,-0.0663,-2.38,81,0.0377,-0.0437,-0.0223,-0.1126,-0.0556,0.0172,-0.0781,-0.0718,-0.0875,-0.0308
pcr_oi_all,fabs,15,162,-0.0605,0.0605,-3.78,0,0,0,-0.0491,-2.18,81,-0.072,-3.15,81,-0.0815,-0.0837,-0.0207,-0.0973,0.0439,-0.0623,-0.1117,-0.0539,-0.1266,0.0418
pcr_vol_atm5,fabs,30,162,0.0599,0.0599,2.88,0,0,0,0.0591,2.09,81,0.0607,1.98,81,0.0025,0.149,0.0247,0.104,-0.0689,0.0452,0.1594,0.0264,0.1181,-0.1117
dist_wall_pe,fabs,30,162,0.0594,0.0594,3.39,0,0,0,0.0599,2.37,81,0.0589,2.41,81,0.1141,0.0157,0.0755,0.1021,0.0118,0.2328,0.1057,0.0453,0.0525,-0.0235
doi_ce_5,fret,30,162,0.0589,0.0589,3.59,1,1,0,0.0555,2.49,81,0.0623,2.58,81,0.0408,0.0819,0.033,0.0775,0.0213,0.0638,0.0732,0.0782,0.0738,0.0043
doi_ce_5,fabs,5,162,0.0577,0.0577,7.65,1,1,1,0.0542,4.9,81,0.0612,5.92,81,0.0862,0.0789,0.0263,0.0564,0.0495,0.0859,0.0736,0.0312,0.0729,0.063
doi_ce_30,fret,15,162,0.0565,0.0565,3.29,0,0,0,0.059,2.56,81,0.0539,2.11,81,-0.0179,0.126,0.0376,0.0519,0.0336,0.0273,0.0909,0.0661,0.0581,-0.0138
doi_wing_15,fdprem,60,162,-0.0558,0.0558,-2.81,0,0,0,-0.0414,-1.39,81,-0.0703,-2.66,81,-0.0574,-0.1446,-0.0257,-0.027,0.056,0.0577,-0.1329,0.0052,-0.1333,-0.0315
pcr_vol_all,fabs,60,162,0.0557,0.0557,2.27,0,0,0,0.0576,1.7,81,0.0537,1.51,81,0.1365,0.1179,0.0282,0.0736,-0.0289,0.1574,0.1339,0.0271,0.0287,-0.0036
mp_dev,fabs,60,162,0.055,0.055,2.48,0,0,0,0.0592,1.77,81,0.0508,1.73,81,0.1557,0.0301,0.1368,0.0499,-0.0298,0.0704,0.1071,0.0202,0.1337,-0.1216
pcr_oi_all,fdprem,30,162,-0.0546,0.0546,-2.35,0,0,0,-0.0507,-1.51,81,-0.0585,-1.82,81,-0.0377,-0.0873,0.0202,-0.1116,-0.0112,-0.0296,-0.0602,-0.0073,-0.1303,-0.0231
dist_wall_pe,fdprem,15,162,0.0544,0.0544,3.39,0,0,0,0.0519,2.35,81,0.0569,2.43,81,0.1691,0.089,0.005,0.0632,0.0198,-0.0542,0.1141,-0.0263,0.0841,0.0911
doi_pe_15,fret,60,162,-0.052,0.052,-2.31,0,0,0,-0.0542,-1.66,81,-0.0498,-1.59,81,0.1882,-0.0613,0.0611,-0.0853,-0.2358,0.2047,-0.0686,0.0547,-0.0772,-0.2087
atm_iv,fabs,30,128,-0.052,0.052,-2.49,0,0,0,-0.0545,-1.87,64,-0.0496,-1.63,64,-0.0398,-0.0051,-0.0969,-0.043,-0.0841,0.1065,-0.0667,-0.125,-0.0086,-0.0193
doi_ce_5,fdprem,60,162,-0.0514,0.0514,-2.99,0,0,0,-0.0391,-1.58,81,-0.0637,-2.67,81,0.0022,-0.0738,-0.0284,-0.0558,0.0078,-0.098,-0.0835,0.0071,-0.095,-0.0817
pcr_vol_atm5,fdprem,30,162,0.051,0.051,2.23,0,0,0,0.0596,1.83,81,0.0424,1.31,81,0.1085,0.1028,-0.0408,0.1365,0.0111,-0.001,0.0586,-0.0143,0.1539,-0.0654
pcr_oi_all,fdprem,60,162,-0.0502,0.0502,-1.64,0,0,0,-0.0523,-1.19,81,-0.0482,-1.12,81,-0.0395,-0.1353,-0.0098,-0.0781,0.0351,-0.1049,-0.0442,-0.0154,-0.1103,0.0157
dist_wall_pe,fabs,15,162,0.05,0.05,3.64,0,0,0,0.044,2.43,81,0.0561,2.7,81,0.1866,0.0266,0.053,0.0727,-0.0338,0.2187,0.0536,0.0588,0.0739,-0.0201
d_atm_iv_15,fabs,60,128,-0.0497,0.0497,-3.01,0,0,0,-0.0482,-2.2,64,-0.0512,-2.06,64,-0.0883,-0.1102,-0.0113,-0.0224,-0.0513,0.1192,-0.1174,0.0412,-0.0768,-0.1084
d_atm_iv_15,fdprem,5,128,-0.0483,0.0483,-5.28,1,0,1,-0.0436,-3.26,64,-0.053,-4.22,64,-0.0187,-0.0668,-0.007,-0.0562,-0.0505,-0.0579,-0.0559,-0.0536,-0.0461,-0.0578
doi_pe_30,fret,30,162,-0.048,0.048,-2.3,0,0,0,-0.0569,-1.85,81,-0.0391,-1.38,81,0.1541,-0.0829,0.0764,-0.1122,-0.191,0.1531,-0.0597,0.0652,-0.0673,-0.1764
mp_drift_30,fret,30,160,-0.0477,0.0477,-2.51,0,0,0,-0.0527,-1.95,79,-0.0429,-1.59,81,0.0707,-0.1191,0.0238,-0.0939,-0.0474,0.0877,-0.0987,-0.0146,-0.0674,-0.0064
d_atm_iv_15,fdprem,15,128,-0.0465,0.0465,-3.76,1,0,0,-0.0421,-2.52,64,-0.051,-2.77,64,-0.0374,-0.04,-0.0147,-0.0755,-0.0286,-0.1541,-0.0349,-0.0233,-0.0654,-0.0639
pcr_oi_atm5,fret,5,162,-0.0457,0.0457,-6.34,0,0,1,-0.0593,-6.11,81,-0.0321,-3.06,81,-0.0575,-0.0165,-0.0463,-0.0793,-0.1046,-0.0573,0.0032,-0.0095,-0.0659,-0.0511
pcr_vol_atm5,fabs,15,162,0.0436,0.0436,2.89,0,0,0,0.042,1.99,81,0.0453,2.08,81,0.0215,0.088,0.0037,0.1015,-0.0549,0.0217,0.0787,0.0341,0.1068,-0.0775
doi_ce_15,fabs,5,162,0.0433,0.0433,5.52,1,0,1,0.0387,3.5,81,0.0479,4.29,81,0.0982,0.0537,0.0097,0.0569,0.0151,0.109,0.0476,0.0167,0.0776,0.0289
doi_ce_15,fret,5,162,0.0432,0.0432,4.32,1,0,1,0.0393,2.73,81,0.0472,3.37,81,0.0843,0.0362,0.0134,0.0447,0.0604,0.0739,0.0584,0.0367,0.0395,0.0528
pcr_oi_all,fdprem,15,162,-0.0428,0.0428,-2.52,0,0,0,-0.0447,-1.86,81,-0.0408,-1.7,81,-0.0022,-0.0819,0.0196,-0.0879,-0.032,0.0143,-0.0465,-0.0094,-0.0991,-0.0002
doi_ce_5,fret,15,162,0.0425,0.0425,2.97,0,0,0,0.0342,1.71,81,0.0507,2.48,81,0.0769,0.0335,-0.0023,0.0497,0.0524,0.101,0.0543,0.0462,0.0429,0.0508
pcr_oi_all,fabs,5,162,-0.0419,0.0419,-3.75,0,0,0,-0.0391,-2.44,81,-0.0447,-2.85,81,-0.0628,-0.0504,-0.0182,-0.0799,0.0189,-0.0718,-0.0566,-0.0336,-0.0942,0.0438
doi_pe_5,fdprem,30,162,-0.0414,0.0414,-2.64,0,0,0,-0.0408,-1.84,81,-0.042,-1.89,81,0.1282,-0.0632,0.0043,-0.0631,-0.0894,0.0993,-0.0944,0.0194,-0.0371,-0.1113
dist_wall_pe,fabs,60,162,0.0413,0.0413,1.87,0,0,0,0.0433,1.38,81,0.0392,1.26,81,-0.0424,0.0301,0.0437,0.1308,-0.0585,0.1254,0.0525,0.0809,0.0313,-0.0532
doi_ce_5,fabs,15,162,0.0406,0.0406,3.93,0,0,1,0.0402,2.71,81,0.0411,2.83,81,0.0572,0.0311,-0.016,0.0982,0.0366,0.097,0.0303,-0.0209,0.112,0.0161
d_pcr_oi_all_15,fret,15,162,-0.0396,0.0396,-2.88,0,0,0,-0.0309,-1.66,81,-0.0482,-2.38,81,0.0921,-0.0321,0.0058,-0.047,-0.0933,0.0136,-0.0237,-0.0472,-0.0371,-0.1186
mp_dev,fdprem,30,162,0.0396,0.0396,1.92,0,0,0,0.0467,1.66,81,0.0326,1.07,81,0.0146,0.0736,-0.05,0.1279,0.0307,-0.0402,0.1119,-0.0381,0.1383,-0.122
doi_net_15,fret,15,162,-0.0388,0.0388,-2.82,0,0,0,-0.0291,-1.55,81,-0.0486,-2.4,81,0.0976,-0.0337,0.0061,-0.0433,-0.0884,0.0105,-0.0209,-0.0518,-0.0365,-0.118
skew,fabs,60,128,0.0387,0.0387,1.72,0,0,0,0.0291,0.89,64,0.0482,1.56,64,0.1268,-0.1133,0.0682,0.0399,0.1213,0.2695,0.0076,0.0052,0.0088,0.1741
skew,fdprem,60,128,0.0386,0.0386,1.47,0,0,0,0.0076,0.19,64,0.0696,2.0,64,0.2127,-0.0546,0.0241,0.0424,-0.0478,0.2346,-0.0203,-0.0705,0.1586,0.2181
pcr_oi_atm10,fabs,30,162,-0.038,0.038,-2.16,0,0,0,-0.0278,-1.13,81,-0.0481,-1.91,81,-0.1214,-0.0604,0.0008,-0.0408,0.0216,-0.1275,-0.0946,-0.0332,-0.0381,-0.0013
doi_ce_15,fdprem,60,162,-0.038,0.038,-1.8,0,0,0,-0.0271,-0.87,81,-0.049,-1.72,81,-0.0104,-0.0897,-0.0118,-0.0559,0.0777,-0.0605,-0.1027,0.0068,-0.0864,0.0052
doi_wing_15,fdprem,30,162,-0.0372,0.0372,-2.22,0,0,0,-0.0172,-0.7,81,-0.0572,-2.52,81,0.0536,-0.097,-0.0222,0.0249,0.0091,-0.0311,-0.0892,0.0036,-0.0731,-0.0863
pcr_vol_all,fdprem,60,162,0.0371,0.0371,1.15,0,0,0,0.0467,0.97,81,0.0275,0.64,81,0.1181,0.0714,-0.0316,0.1504,-0.0603,0.1783,0.0868,-0.1208,0.1549,-0.0831
doi_pe_5,fdprem,60,162,-0.0364,0.0364,-1.94,0,0,0,-0.0383,-1.42,81,-0.0345,-1.31,81,0.091,-0.0777,0.0149,-0.0609,-0.0641,0.1164,-0.0883,0.0536,-0.0684,-0.0808
mp_dev,fabs,30,162,0.0364,0.0364,2.08,0,0,0,0.0372,1.47,81,0.0357,1.46,81,0.0144,0.0839,0.0375,0.0625,-0.0618,-0.0113,0.1111,-0.0337,0.1317,-0.1068
mp_dev,fdprem,60,162,0.0364,0.0364,1.43,0,0,0,0.0439,1.18,81,0.0288,0.82,81,0.0905,0.0581,-0.017,0.0846,0.0357,0.0213,0.1288,-0.036,0.1568,-0.2177
doi_pe_15,fdprem,30,162,-0.0363,0.0363,-1.92,0,0,0,-0.0312,-1.22,81,-0.0414,-1.48,81,0.1361,-0.0625,0.0289,-0.0689,-0.0645,0.1268,-0.1287,0.0144,-0.0295,-0.0742
mp_dev,fabs,5,162,0.0363,0.0363,4.21,0,0,1,0.0317,2.67,81,0.041,3.25,81,0.0667,0.0389,0.0286,0.0547,-0.021,0.0515,0.0234,0.0427,0.0857,-0.0145
mp_drift_15,fret,60,160,-0.0359,0.0359,-2.35,0,0,0,-0.0295,-1.47,79,-0.0421,-1.82,81,0.0635,-0.0392,0.0056,-0.0751,-0.0235,0.1055,-0.052,-0.0407,-0.088,0.0024
