venue,trigger,action,n,fired_pct,mean,t,diff_vs_hold,t_diff,random_diff,beats_random,win,med,p05,worst,best
BOTH,doi_net_15>0.05,EXIT_LEG,168,95.2,-220.5,-0.89,-458.8,-1.48,-469.7,1,48.8,-67.5,-5340.0,-15528.8,7657.5
NIFTY,doi_net_15>0.05,STOP12,84,95.2,406.2,1.33,123.3,0.39,70.4,1,64.3,1102.5,-4695.0,-6735.0,8613.8
SENSEX,doi_net_15>0.05,STOP12,84,95.2,-46.4,-0.34,-240.1,-1.71,-213.2,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,doi_net_15>0.05,STOP12,168,95.2,179.9,1.07,-58.4,-0.34,-71.4,1,61.9,572.0,-4020.0,-6735.0,8613.8
NIFTY,doi_net_15>0.05,STOP13,84,95.2,664.8,2.18,381.9,1.7,288.0,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,doi_net_15>0.05,STOP13,84,95.2,-103.1,-0.65,-296.8,-2.15,-216.4,0,60.7,404.0,-2623.5,-3783.5,3628.5
BOTH,doi_net_15>0.05,STOP13,168,95.2,280.8,1.61,42.6,0.32,35.8,1,63.1,592.5,-3536.2,-7050.0,9228.8
NIFTY,doi_net_15<-0.05,EXIT_ALL,84,95.2,-278.8,-2.18,-561.7,-1.36,-216.1,0,44.0,-142.5,-2373.7,-5036.2,2051.3
SENSEX,doi_net_15<-0.05,EXIT_ALL,84,95.2,-126.3,-2.45,-319.9,-1.84,-218.2,0,39.3,-100.5,-982.5,-2433.5,750.5
BOTH,doi_net_15<-0.05,EXIT_ALL,168,95.2,-202.5,-2.93,-440.8,-1.98,-217.1,0,41.7,-117.0,-1703.5,-5036.2,2051.3
NIFTY,doi_net_15<-0.05,EXIT_LEG,84,95.2,-884.2,-1.85,-1167.0,-2.14,-600.4,0,47.6,-108.7,-9843.8,-15975.0,6225.0
SENSEX,doi_net_15<-0.05,EXIT_LEG,84,95.2,-151.6,-0.75,-345.3,-1.37,-320.1,0,50.0,224.0,-4328.5,-6459.0,3107.0
BOTH,doi_net_15<-0.05,EXIT_LEG,168,95.2,-517.9,-1.99,-756.2,-2.51,-460.2,0,48.8,-52.5,-6551.3,-15975.0,6225.0
NIFTY,doi_net_15<-0.05,STOP12,84,95.2,353.9,1.14,71.1,0.22,31.4,1,63.1,1102.5,-4695.0,-6735.0,8613.8
SENSEX,doi_net_15<-0.05,STOP12,84,95.2,-57.2,-0.42,-250.9,-1.77,-218.5,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,doi_net_15<-0.05,STOP12,168,95.2,148.3,0.87,-89.9,-0.52,-93.6,1,61.3,547.0,-4020.0,-6735.0,8613.8
NIFTY,doi_net_15<-0.05,STOP13,84,95.2,652.3,2.12,369.5,1.64,267.9,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,doi_net_15<-0.05,STOP13,84,95.2,-108.1,-0.67,-301.8,-2.19,-233.3,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,doi_net_15<-0.05,STOP13,168,95.2,272.1,1.55,33.8,0.25,17.3,1,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,d_pcr_oi_15>0.10,EXIT_ALL,84,83.3,-16.2,-0.06,-299.1,-0.88,-242.1,0,50.0,60.0,-2160.0,-18866.2,3408.8
SENSEX,d_pcr_oi_15>0.10,EXIT_ALL,84,84.5,-31.5,-0.53,-225.2,-1.31,-219.9,0,45.2,-24.0,-1101.5,-2384.0,1185.0
BOTH,d_pcr_oi_15>0.10,EXIT_ALL,168,83.9,-23.8,-0.17,-262.1,-1.39,-231.0,0,47.6,-24.0,-1492.5,-18866.2,3408.8
NIFTY,d_pcr_oi_15>0.10,EXIT_LEG,84,83.3,-293.6,-0.63,-576.4,-1.21,-624.6,1,59.5,821.2,-7443.8,-18866.2,7443.8
SENSEX,d_pcr_oi_15>0.10,EXIT_LEG,84,84.5,-14.5,-0.09,-208.2,-0.87,-333.1,1,54.8,260.0,-2467.5,-5653.5,2839.0
BOTH,d_pcr_oi_15>0.10,EXIT_LEG,168,83.9,-154.0,-0.62,-392.3,-1.48,-478.9,1,57.1,399.5,-5653.5,-18866.2,7443.8
NIFTY,d_pcr_oi_15>0.10,STOP12,84,83.3,348.9,0.88,66.0,0.33,-4.6,1,65.5,1173.8,-5272.5,-18866.2,9228.8
SENSEX,d_pcr_oi_15>0.10,STOP12,84,84.5,-47.1,-0.35,-240.7,-1.72,-199.6,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,d_pcr_oi_15>0.10,STOP12,168,83.9,150.9,0.72,-87.4,-0.72,-102.1,1,62.5,588.8,-4353.7,-18866.2,9228.8
NIFTY,d_pcr_oi_15>0.10,STOP13,84,83.3,482.8,1.27,199.9,1.46,166.7,1,65.5,1173.8,-4305.0,-18866.2,9228.8
SENSEX,d_pcr_oi_15>0.10,STOP13,84,84.5,-103.1,-0.65,-296.8,-2.15,-218.4,0,60.7,404.0,-2623.5,-3783.5,3628.5
BOTH,d_pcr_oi_15>0.10,STOP13,168,83.9,189.8,0.92,-48.4,-0.49,-25.8,0,63.1,592.5,-3536.2,-18866.2,9228.8
NIFTY,d_pcr_oi_15<-0.10,EXIT_ALL,84,77.4,22.5,0.14,-260.3,-0.64,-120.8,0,52.4,120.0,-3022.5,-3978.7,2977.5
SENSEX,d_pcr_oi_15<-0.10,EXIT_ALL,84,88.1,-37.5,-0.58,-231.2,-1.35,-174.7,0,48.8,-5.0,-1232.0,-2433.5,1279.0
BOTH,d_pcr_oi_15<-0.10,EXIT_ALL,168,82.7,-7.5,-0.09,-245.8,-1.12,-147.7,0,50.6,17.5,-1875.0,-3978.7,2977.5
NIFTY,d_pcr_oi_15<-0.10,EXIT_LEG,84,77.4,-547.6,-1.27,-830.4,-1.57,-462.8,0,51.2,412.5,-6551.3,-15071.2,5786.2
SENSEX,d_pcr_oi_15<-0.10,EXIT_LEG,84,88.1,-17.6,-0.09,-211.2,-0.84,-287.9,1,58.3,420.5,-3367.0,-6537.0,2782.0
BOTH,d_pcr_oi_15<-0.10,EXIT_LEG,168,82.7,-282.6,-1.19,-520.8,-1.77,-375.3,0,54.8,412.5,-5820.0,-15071.2,5786.2
NIFTY,d_pcr_oi_15<-0.10,STOP12,84,77.4,478.3,1.63,195.5,0.63,121.2,1,64.3,1102.5,-4485.0,-6735.0,8613.8
SENSEX,d_pcr_oi_15<-0.10,STOP12,84,88.1,-46.8,-0.34,-240.4,-1.78,-171.3,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,d_pcr_oi_15<-0.10,STOP12,168,82.7,215.8,1.32,-22.5,-0.13,-25.1,1,61.9,572.0,-3697.5,-6735.0,8613.8
NIFTY,d_pcr_oi_15<-0.10,STOP13,84,77.4,652.3,2.12,369.5,1.64,263.2,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,d_pcr_oi_15<-0.10,STOP13,84,88.1,-35.3,-0.21,-229.0,-1.95,-213.2,0,61.9,424.5,-2629.5,-3783.5,4036.0
BOTH,d_pcr_oi_15<-0.10,STOP13,168,82.7,308.5,1.75,70.2,0.54,25.0,1,63.7,597.0,-3678.7,-7050.0,9228.8
NIFTY,doi_net_15>0.10,EXIT_ALL,84,88.1,112.2,0.91,-170.7,-0.41,-129.8,0,48.8,-11.2,-1728.8,-3262.5,3408.8
SENSEX,doi_net_15>0.10,EXIT_ALL,84,86.9,-39.3,-0.68,-233.0,-1.36,-203.9,0,45.2,-10.5,-1101.5,-2384.0,1185.0
BOTH,doi_net_15>0.10,EXIT_ALL,168,87.5,36.4,0.54,-201.8,-0.9,-166.9,0,47.0,-11.2,-1300.0,-3262.5,3408.8
NIFTY,doi_net_15>0.10,EXIT_LEG,84,88.1,-120.4,-0.28,-403.3,-0.71,-580.0,1,56.0,742.5,-7443.8,-15206.2,7391.2
SENSEX,doi_net_15>0.10,EXIT_LEG,84,86.9,-51.3,-0.28,-245.0,-1.05,-337.6,1,56.0,285.0,-3214.5,-5653.5,2839.0
BOTH,doi_net_15>0.10,EXIT_LEG,168,87.5,-85.8,-0.37,-324.1,-1.06,-458.8,1,56.0,517.0,-5550.0,-15206.2,7391.2
NIFTY,doi_net_15>0.10,STOP12,84,88.1,542.1,1.69,259.2,0.93,92.7,1,65.5,1173.8,-4695.0,-6735.0,9228.8
SENSEX,doi_net_15>0.10,STOP12,84,86.9,-46.9,-0.34,-240.6,-1.72,-178.4,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,doi_net_15>0.10,STOP12,168,87.5,247.6,1.41,9.3,0.06,-42.9,1,62.5,588.8,-4020.0,-6735.0,9228.8
NIFTY,doi_net_15>0.10,STOP13,84,88.1,660.8,2.16,378.0,1.68,274.8,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,doi_net_15>0.10,STOP13,84,86.9,-103.1,-0.65,-296.8,-2.15,-201.6,0,60.7,404.0,-2623.5,-3783.5,3628.5
BOTH,doi_net_15>0.10,STOP13,168,87.5,278.9,1.6,40.6,0.3,36.6,1,63.1,592.5,-3536.2,-7050.0,9228.8
NIFTY,doi_net_15<-0.10,EXIT_ALL,84,82.1,10.8,0.07,-272.1,-0.66,-133.0,0,52.4,30.0,-3022.5,-3978.7,2786.2
SENSEX,doi_net_15<-0.10,EXIT_ALL,84,91.7,-63.3,-1.09,-257.0,-1.49,-202.6,0,47.6,-5.0,-982.5,-2277.5,1084.0
BOTH,doi_net_15<-0.10,EXIT_ALL,168,86.9,-26.3,-0.31,-264.5,-1.19,-167.8,0,50.0,11.5,-2073.8,-3978.7,2786.2
NIFTY,doi_net_15<-0.10,EXIT_LEG,84,82.1,-523.5,-1.11,-806.4,-1.48,-611.6,0,54.8,472.5,-9843.8,-16327.5,5932.5
SENSEX,doi_net_15<-0.10,EXIT_LEG,84,91.7,-16.6,-0.08,-210.3,-0.85,-296.2,1,57.1,420.5,-4452.5,-6528.5,2782.0
BOTH,doi_net_15<-0.10,EXIT_LEG,168,86.9,-270.1,-1.05,-508.3,-1.7,-453.9,0,56.0,424.5,-6078.7,-16327.5,5932.5
NIFTY,doi_net_15<-0.10,STOP12,84,82.1,452.2,1.52,169.4,0.55,64.7,1,64.3,1102.5,-4485.0,-6735.0,8613.8
SENSEX,doi_net_15<-0.10,STOP12,84,91.7,-43.4,-0.32,-237.1,-1.76,-209.9,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,doi_net_15<-0.10,STOP12,168,86.9,204.4,1.24,-33.9,-0.2,-72.6,1,61.9,572.0,-3978.7,-6735.0,8613.8
NIFTY,doi_net_15<-0.10,STOP13,84,82.1,652.3,2.12,369.5,1.64,270.6,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,doi_net_15<-0.10,STOP13,84,91.7,-33.4,-0.2,-227.1,-1.94,-239.3,1,61.9,424.5,-2629.5,-3783.5,4036.0
BOTH,doi_net_15<-0.10,STOP13,168,86.9,309.4,1.76,71.2,0.55,15.6,1,63.7,597.0,-3678.7,-7050.0,9228.8
NIFTY,doi_atm_15<-0.02,EXIT_ALL,84,96.4,-135.6,-0.95,-418.4,-1.06,-173.5,0,52.4,187.5,-1976.2,-5152.5,2640.0
SENSEX,doi_atm_15<-0.02,EXIT_ALL,84,96.4,-112.8,-1.87,-306.5,-1.68,-220.3,0,47.6,-25.5,-1278.0,-2252.0,834.5
BOTH,doi_atm_15<-0.02,EXIT_ALL,168,96.4,-124.2,-1.61,-362.4,-1.68,-196.9,0,50.0,1.5,-1770.0,-5152.5,2640.0
NIFTY,doi_atm_15<-0.02,EXIT_LEG,84,96.4,-783.9,-1.67,-1066.7,-1.92,-558.6,0,46.4,-210.0,-10436.3,-16740.0,6896.2
SENSEX,doi_atm_15<-0.02,EXIT_LEG,84,96.4,-397.3,-1.97,-591.0,-2.3,-322.1,0,46.4,-110.5,-4196.5,-6359.5,2449.0
BOTH,doi_atm_15<-0.02,EXIT_LEG,168,96.4,-590.6,-2.32,-828.9,-2.71,-440.4,0,46.4,-160.0,-6930.0,-16740.0,6896.2
NIFTY,doi_atm_15<-0.02,STOP12,84,96.4,345.2,1.09,62.4,0.21,121.3,0,64.3,1102.5,-5152.5,-6735.0,8613.8
SENSEX,doi_atm_15<-0.02,STOP12,84,96.4,-49.6,-0.36,-243.3,-1.73,-183.5,0,59.5,360.5,-2252.0,-3393.5,2627.5
BOTH,doi_atm_15<-0.02,STOP12,168,96.4,147.8,0.86,-90.5,-0.55,-31.1,0,61.9,572.0,-4368.7,-6735.0,8613.8
