signal,outcome,horizon,is_placebo,ic_raw,t_raw,stable_raw,ic_partial,t_partial,stable_partial,ic_shuffled,t_shuffled,abs_partial,pct_raw_surviving,alive,n_raw,ic_raw_NIFTY,ic_raw_SENSEX,ic_partial_NIFTY,ic_partial_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_shuffled
doi_ce_30,fret,60,0,0.094,3.76,0,-0.0825,-3.74,1,-0.0081,-0.28,0.0825,87.8,1,162,0.1107,0.0774,-0.0873,-0.0777,-0.0165,0.0002,162,156,0
doi_net_15,fret,60,0,-0.0906,-4.81,0,0.0817,3.89,1,0.0399,1.83,0.0817,90.2,1,162,-0.0924,-0.0888,0.0768,0.0867,0.0448,0.0349,162,156,0
atm_iv,fabs,15,0,0.003,0.2,0,-0.0801,-6.22,0,0.0485,2.76,0.0801,2670.0,0,128,-0.0011,0.0072,-0.0874,-0.0728,0.0416,0.0559,128,92,0
pcr_vol_all,fret,5,0,0.1295,12.69,1,0.0792,7.36,1,-0.0118,-1.32,0.0792,61.2,1,162,0.1367,0.1223,0.0739,0.0845,-0.0098,-0.0137,162,156,0
doi_ce_15,fret,15,0,0.0638,3.96,1,-0.0776,-5.02,0,0.038,2.54,0.0776,121.6,0,162,0.0585,0.069,-0.0972,-0.0581,0.0382,0.0378,162,156,0
doi_ce_5,fret,60,0,0.0763,3.97,0,-0.0774,-4.89,1,0.0237,1.17,0.0774,101.4,1,162,0.0878,0.0647,-0.0758,-0.0789,0.0247,0.0227,162,156,0
doi_ce_5,fret,15,0,0.0425,2.97,0,-0.0771,-6.19,0,0.0264,1.95,0.0771,181.4,0,162,0.0342,0.0507,-0.0949,-0.0594,0.0305,0.0224,162,156,0
mp_dev,fret,30,0,0.1938,10.5,0,-0.0763,-4.29,0,-0.0126,-0.68,0.0763,39.4,0,162,0.17,0.2177,-0.0781,-0.0746,-0.008,-0.0172,162,156,0
doi_pe_30,fret,15,0,-0.0187,-1.17,0,0.0743,4.33,0,0.0299,1.71,0.0743,397.3,0,162,-0.0186,-0.0189,0.0794,0.0693,0.0283,0.0314,162,156,0
pcr_oi_all,fret,30,0,-0.3188,-22.12,1,-0.0711,-3.85,0,0.0363,1.62,0.0711,22.3,0,162,-0.3301,-0.3076,-0.0878,-0.0544,0.0424,0.0302,162,156,0
d_atm_iv_15,fdprem,60,0,-0.0798,-4.65,0,-0.0699,-3.66,0,0.0076,0.38,0.0699,87.6,0,128,-0.0713,-0.0882,-0.065,-0.0749,0.0016,0.0142,128,92,0
dist_wall_pe,fret,60,0,0.2344,7.81,1,-0.0682,-3.73,0,-0.0391,-1.43,0.0682,29.1,0,162,0.2086,0.2602,-0.0881,-0.0484,-0.0759,-0.0023,162,156,0
d_prem_15,fdprem,60,0,-0.1321,-8.52,0,-0.067,-3.57,0,0.0011,0.07,0.067,50.7,0,162,-0.136,-0.1282,-0.0562,-0.0779,-0.0023,0.0045,162,156,0
d_atm_iv_15,fdprem,30,0,-0.0665,-4.35,1,-0.0667,-3.78,0,0.02,1.06,0.0667,100.3,0,128,-0.059,-0.0741,-0.064,-0.0694,0.0205,0.0194,128,92,0
doi_pe_5,fret,15,0,0.0119,0.97,0,0.0664,6.41,1,0.0175,1.39,0.0664,558.0,1,162,0.0209,0.0029,0.0738,0.059,0.0183,0.0168,162,156,0
mp_dev,fret,15,0,0.1535,9.88,0,-0.0649,-4.56,0,0.0049,0.34,0.0649,42.3,0,162,0.1385,0.1686,-0.061,-0.0687,0.0159,-0.0062,162,156,0
skew,fret,60,0,-0.1131,-4.14,0,-0.0645,-2.69,0,0.0113,0.33,0.0645,57.0,0,128,-0.1193,-0.1068,-0.069,-0.06,0.0481,-0.0288,128,92,0
pcr_oi_all,fret,60,0,-0.4076,-21.04,1,-0.0637,-3.28,1,0.0351,1.1,0.0637,15.6,0,162,-0.409,-0.4063,-0.0795,-0.0478,0.0486,0.0217,162,156,0
doi_ce_15,fdprem,60,0,-0.038,-1.8,0,-0.0603,-2.91,0,-0.0548,-2.33,0.0603,158.7,0,162,-0.0271,-0.049,-0.0582,-0.0625,-0.0552,-0.0545,162,156,0
pcr_oi_atm5,fret,30,0,-0.1332,-7.89,0,-0.0597,-3.64,0,0.0441,2.2,0.0597,44.8,0,162,-0.1728,-0.0936,-0.0578,-0.0617,0.0447,0.0434,162,156,0
pcr_vol_atm5,fret,60,0,0.3757,17.23,1,0.0593,3.06,0,-0.0418,-1.56,0.0593,15.8,0,162,0.365,0.3863,0.0683,0.0502,-0.0341,-0.0496,162,156,1
dist_wall_pe,fret,30,0,0.1855,7.96,1,-0.0592,-4.33,1,-0.0174,-0.87,0.0592,31.9,1,162,0.1767,0.1944,-0.0668,-0.0516,-0.0481,0.0134,162,156,0
doi_pe_15,fdprem,60,0,-0.0314,-1.44,0,-0.059,-2.87,0,-0.0244,-1.11,0.059,187.9,0,162,-0.0396,-0.0233,-0.055,-0.063,-0.0254,-0.0235,162,156,0
skew,fdprem,60,0,0.0386,1.47,0,0.0585,2.45,0,0.081,2.38,0.0585,151.6,0,128,0.0076,0.0696,0.0535,0.0635,0.0841,0.0775,128,92,0
doi_wing_15,fdprem,60,0,-0.0558,-2.81,0,-0.0576,-3.88,0,-0.0315,-1.68,0.0576,103.2,0,162,-0.0414,-0.0703,-0.0451,-0.07,-0.0395,-0.0235,162,156,0
pcr_oi_atm5,fret,60,0,-0.1774,-7.79,0,-0.0574,-2.96,0,0.0509,1.88,0.0574,32.4,0,162,-0.2144,-0.1403,-0.0515,-0.0634,0.0573,0.0445,162,156,0
doi_ce_5,fret,5,0,0.0142,1.56,0,-0.0571,-6.11,0,0.0082,0.87,0.0571,402.1,0,162,0.0125,0.0159,-0.0643,-0.0499,0.0139,0.0025,162,156,0
doi_ce_5,fdprem,60,0,-0.0514,-2.99,0,-0.0562,-3.44,0,-0.0493,-2.59,0.0562,109.3,0,162,-0.0391,-0.0637,-0.0545,-0.058,-0.056,-0.0425,162,156,0
pcr_oi_atm10,fret,60,0,-0.2469,-11.6,1,-0.0557,-2.86,0,0.0392,1.32,0.0557,22.6,0,162,-0.2708,-0.223,-0.0685,-0.0429,0.0377,0.0408,162,156,0
skew,fdprem,30,0,0.0263,1.38,0,0.0555,2.85,0,0.0576,2.14,0.0555,211.0,0,128,0.0164,0.0361,0.0633,0.0477,0.0743,0.0394,128,92,0
doi_pe_5,fdprem,60,0,-0.0364,-1.94,0,-0.0554,-3.37,0,-0.0309,-1.76,0.0554,152.2,0,162,-0.0383,-0.0345,-0.0466,-0.0642,-0.0283,-0.0336,162,156,0
mp_drift_15,fret,60,0,-0.0359,-2.35,0,0.0553,3.57,1,0.0316,1.79,0.0553,154.0,0,160,-0.0295,-0.0421,0.0704,0.0406,0.0179,0.0446,160,152,0
doi_atm_15,fdprem,60,0,-0.0266,-1.49,0,-0.0553,-3.52,1,-0.0282,-1.84,0.0553,207.9,0,162,-0.0396,-0.0136,-0.0659,-0.0446,-0.0474,-0.0089,162,156,0
doi_pe_15,fdprem,30,0,-0.0363,-1.92,0,-0.0552,-3.11,0,-0.0024,-0.13,0.0552,152.1,0,162,-0.0312,-0.0414,-0.0484,-0.062,0.0028,-0.0076,162,156,0
doi_ce_30,fret,5,0,0.0347,3.5,0,-0.055,-5.02,0,0.0093,0.93,0.055,158.5,0,162,0.0353,0.0341,-0.0629,-0.0471,0.0073,0.0114,162,156,0
d_prem_15,fdprem,30,0,-0.1118,-7.85,1,-0.0549,-3.13,0,0.0021,0.15,0.0549,49.1,0,162,-0.1125,-0.1111,-0.0465,-0.0633,-0.0033,0.0074,162,156,0
doi_pe_15,fret,5,0,0.0048,0.5,0,0.0548,5.98,1,0.0193,1.98,0.0548,1141.7,1,162,0.011,-0.0014,0.0622,0.0475,0.0211,0.0175,162,156,0
doi_pe_30,fret,30,0,-0.048,-2.3,0,0.0546,2.34,0,0.039,1.73,0.0546,113.8,0,162,-0.0569,-0.0391,0.0508,0.0583,0.0426,0.0355,162,156,0
doi_pe_5,fdprem,30,0,-0.0414,-2.64,0,-0.0545,-4.13,0,-0.0156,-1.04,0.0545,131.6,0,162,-0.0408,-0.042,-0.051,-0.058,-0.0085,-0.0228,162,156,0
pcr_vol_all,fdprem,15,0,0.0241,1.33,0,0.054,3.25,0,-0.0061,-0.39,0.054,224.1,0,162,0.0224,0.0258,0.049,0.059,-0.0174,0.0051,162,156,0
d_pcr_oi_all_15,fret,5,0,-0.0308,-3.2,0,0.0538,5.67,0,-0.0018,-0.18,0.0538,174.7,0,162,-0.0224,-0.0391,0.0635,0.0441,-0.0036,-0.0,162,156,0
doi_net_15,fret,5,0,-0.0301,-3.12,0,0.0534,5.6,0,-0.0007,-0.07,0.0534,177.4,0,162,-0.0216,-0.0385,0.0627,0.044,-0.0032,0.0018,162,156,0
d_atm_iv_15,fret,60,0,0.006,0.33,0,-0.0528,-2.96,0,-0.0101,-0.46,0.0528,880.0,0,128,-0.0154,0.0274,-0.0584,-0.0473,-0.0089,-0.0115,128,92,0
doi_pe_30,fret,5,0,-0.0128,-1.33,0,0.0522,5.27,1,0.0206,1.93,0.0522,407.8,1,162,-0.0086,-0.017,0.0599,0.0444,0.0221,0.019,162,156,0
doi_atm_15,fdprem,30,0,-0.0276,-1.8,0,-0.0522,-3.92,0,-0.0189,-1.29,0.0522,189.1,0,162,-0.0281,-0.027,-0.0508,-0.0536,-0.0239,-0.0139,162,156,0
doi_pe_15,fret,60,0,-0.052,-2.31,0,0.0493,2.13,0,0.0469,2.03,0.0493,94.8,0,162,-0.0542,-0.0498,0.0509,0.0478,0.0582,0.0355,162,156,0
pcr_oi_atm10,fret,30,0,-0.1814,-11.42,1,-0.0476,-2.78,0,0.0356,1.66,0.0476,26.2,0,162,-0.2097,-0.153,-0.0594,-0.0358,0.032,0.0393,162,156,0
pcr_vol_all,fdprem,30,0,0.0261,1.06,0,0.0476,2.35,0,-0.0027,-0.12,0.0476,182.4,0,162,0.0289,0.0232,0.0495,0.0458,-0.0189,0.0135,162,156,0
d_atm_iv_15,fret,30,0,0.0058,0.33,0,-0.0472,-2.82,0,0.0028,0.15,0.0472,813.8,0,128,-0.02,0.0316,-0.0504,-0.044,-0.0077,0.0143,128,92,0
mp_drift_30,fret,60,0,-0.0607,-3.18,0,0.0465,2.25,0,0.059,2.61,0.0465,76.6,0,160,-0.055,-0.0663,0.055,0.0382,0.0436,0.0737,160,152,0
doi_ce_15,fret,5,0,0.0432,4.32,1,-0.0464,-4.5,0,0.0233,2.37,0.0464,107.4,0,162,0.0393,0.0472,-0.0591,-0.0338,0.0254,0.0213,162,156,0
d_atm_iv_15,fdprem,5,0,-0.0483,-5.28,1,-0.0459,-4.48,0,0.0137,1.2,0.0459,95.0,0,128,-0.0436,-0.053,-0.0423,-0.0494,0.0212,0.0054,128,92,0
mp_drift_30,fdprem,60,0,0.0336,1.75,0,0.0448,2.13,0,-0.0045,-0.19,0.0448,133.3,0,160,0.0385,0.0288,0.0438,0.0457,0.015,-0.0231,160,152,0
doi_pe_30,fdprem,60,0,-0.0022,-0.09,0,-0.0447,-1.93,0,-0.0112,-0.43,0.0447,2031.8,0,162,-0.0147,0.0102,-0.0532,-0.0362,-0.0136,-0.0087,162,156,0
doi_pe_5,fret,60,0,-0.0301,-1.56,0,0.0445,2.47,0,0.0402,2.08,0.0445,147.8,0,162,-0.0292,-0.031,0.0413,0.0477,0.0475,0.0329,162,156,0
d_atm_iv_15,fdprem,15,0,-0.0465,-3.76,1,-0.0443,-3.11,0,0.0246,1.48,0.0443,95.3,0,128,-0.0421,-0.051,-0.0415,-0.0471,0.0414,0.0064,128,92,0
pcr_oi_all,fret,15,0,-0.2441,-22.16,1,-0.0441,-3.12,0,0.0201,1.24,0.0441,18.1,0,162,-0.2506,-0.2376,-0.0553,-0.0329,0.0205,0.0198,162,156,0
mp_drift_30,fret,15,0,-0.034,-2.32,0,0.0414,2.62,0,0.0265,1.61,0.0414,121.8,0,160,-0.0337,-0.0343,0.05,0.0329,0.0272,0.0259,160,152,0
skew,fdprem,15,0,0.0157,1.09,0,0.0414,2.76,0,0.0247,1.26,0.0414,263.7,0,128,0.0139,0.0176,0.0586,0.0242,0.0374,0.0107,128,92,0
dist_wall_ce,fret,15,0,0.1894,11.31,1,-0.0409,-3.04,1,0.0172,1.17,0.0409,21.6,0,162,0.1875,0.1913,-0.0627,-0.0192,-0.0025,0.037,162,156,0
mp_drift_15,fret,30,0,-0.0327,-2.14,0,0.0403,2.64,0,0.0245,1.53,0.0403,123.2,0,160,-0.0326,-0.0328,0.0512,0.0296,0.0305,0.0187,160,152,0
mp_drift_30,fret,30,0,-0.0477,-2.51,0,0.0398,1.99,0,0.0383,1.89,0.0398,83.4,0,160,-0.0527,-0.0429,0.0417,0.0379,0.0136,0.0618,160,152,0
doi_pe_30,fdprem,30,0,-0.0016,-0.08,0,-0.0396,-1.92,0,0.0126,0.61,0.0396,2475.0,0,162,0.0091,-0.0123,-0.0345,-0.0448,0.015,0.0102,162,156,0
d_prem_15,fdprem,5,0,-0.0679,-7.55,1,-0.0393,-3.99,1,-0.0021,-0.26,0.0393,57.9,0,162,-0.0677,-0.0682,-0.0353,-0.0432,0.001,-0.0052,162,156,0
d_prem_15,fdprem,15,0,-0.0825,-5.98,1,-0.0391,-2.54,0,0.0046,0.4,0.0391,47.4,0,162,-0.0857,-0.0792,-0.0334,-0.0449,0.0128,-0.0036,162,156,0
doi_ce_30,fdprem,60,0,-0.0138,-0.57,0,-0.0388,-1.68,0,-0.0268,-0.97,0.0388,281.2,0,162,-0.0111,-0.0164,-0.0367,-0.0408,-0.0218,-0.0319,162,156,0
mp_dev,fret,60,0,0.2557,10.79,0,-0.0385,-1.74,0,-0.0183,-0.77,0.0385,15.1,0,162,0.2338,0.2775,-0.0421,-0.035,0.0014,-0.038,162,156,0
mp_drift_15,fret,15,0,-0.0215,-1.75,0,0.0379,3.2,0,0.0014,0.1,0.0379,176.3,0,160,-0.0221,-0.0209,0.0451,0.0309,0.0174,-0.0137,160,152,0
pcr_vol_atm5,fret,15,0,0.2391,16.02,1,0.0372,2.34,0,-0.0027,-0.17,0.0372,15.6,0,162,0.2335,0.2448,0.0588,0.0156,0.0028,-0.0082,162,156,0
wall_squeeze,fdprem,30,0,0.0161,0.68,0,-0.0372,-1.87,0,-0.0232,-1.06,0.0372,231.1,0,156,0.0183,0.0138,-0.0483,-0.0259,-0.0147,-0.0323,156,145,0
doi_pe_30,fret,60,0,-0.0836,-3.46,0,0.0365,1.36,0,0.0648,2.45,0.0365,43.7,0,162,-0.095,-0.0721,0.0385,0.0346,0.0693,0.0604,162,156,0
placebo_noise,fabs,30,1,0.0109,0.63,0,-0.0361,-2.28,0,0.0309,1.66,0.0361,331.2,0,162,0.01,0.0119,-0.0387,-0.0335,0.0322,0.0295,162,162,0
d_atm_iv_15,fret,15,0,0.0051,0.36,0,-0.0356,-2.56,0,0.0201,1.09,0.0356,698.0,0,128,-0.0206,0.0308,-0.0443,-0.0269,0.0193,0.021,128,92,0
dist_wall_ce,fret,30,0,0.2451,11.66,1,-0.0356,-2.01,0,0.0079,0.4,0.0356,14.5,0,162,0.2486,0.2416,-0.0542,-0.0169,-0.0258,0.0416,162,156,0
pcr_oi_all,fabs,30,0,-0.0691,-3.39,0,-0.0348,-2.41,0,-0.0015,-0.08,0.0348,50.4,0,162,-0.0555,-0.0826,-0.0169,-0.0528,0.0042,-0.0072,162,156,0
d_pcr_oi_all_15,fdprem,30,0,-0.0224,-1.23,0,-0.0345,-1.87,0,0.0193,1.06,0.0345,154.0,0,162,-0.0231,-0.0217,-0.0331,-0.0358,0.024,0.0146,162,156,0
mp_drift_30,fdprem,30,0,0.0293,1.61,0,0.0339,1.69,0,0.028,1.47,0.0339,115.7,0,160,0.045,0.014,0.0334,0.0344,0.0179,0.0377,160,152,0
pcr_oi_atm5,fret,15,0,-0.0892,-7.1,0,-0.0333,-2.74,0,0.048,3.42,0.0333,37.3,0,162,-0.1145,-0.064,-0.0272,-0.0394,0.0468,0.0492,162,156,0
mp_dev,fret,5,0,0.1107,11.59,0,-0.0332,-3.5,0,0.0034,0.38,0.0332,30.0,0,162,0.1079,0.1136,-0.0164,-0.05,0.0095,-0.0027,162,156,0
skew,fabs,60,0,0.0387,1.72,0,0.0323,1.82,0,0.0391,1.58,0.0323,83.5,0,128,0.0291,0.0482,0.0425,0.0221,0.0551,0.0217,128,92,0
pcr_vol_all,fabs,30,0,0.0284,1.56,0,0.032,2.26,0,-0.0145,-0.74,0.032,112.7,0,162,0.0351,0.0217,0.0395,0.0245,-0.0042,-0.0248,162,156,0
atm_iv,fret,30,0,0.1577,6.43,1,0.0311,1.6,0,0.0893,2.94,0.0311,19.7,0,128,0.1785,0.1369,0.0114,0.0508,0.0844,0.0946,128,92,0
d_pcr_oi_atm5_15,fret,15,0,0.0306,2.92,0,0.0307,2.87,0,0.0245,2.05,0.0307,100.3,0,162,0.0256,0.0357,0.0427,0.0188,0.0235,0.0256,162,156,0
pcr_oi_atm10,fabs,30,0,-0.038,-2.16,0,-0.0303,-2.21,0,0.0064,0.36,0.0303,79.7,0,162,-0.0278,-0.0481,-0.023,-0.0376,-0.009,0.0218,162,156,0
wall_squeeze,fdprem,15,0,0.0069,0.39,0,-0.0302,-2.05,0,-0.0072,-0.47,0.0302,437.7,0,156,0.0092,0.0045,-0.0347,-0.0257,-0.0098,-0.0045,156,145,0
pcr_vol_atm5,fabs,60,0,0.0805,3.11,0,0.0301,1.55,0,-0.0203,-0.91,0.0301,37.4,0,162,0.0796,0.0813,0.0202,0.04,-0.0219,-0.0187,162,156,0
skew,fdprem,5,0,0.017,1.8,0,0.0296,3.02,0,0.0093,0.8,0.0296,174.1,0,128,0.014,0.02,0.0388,0.0203,0.0202,-0.0026,128,92,0
doi_net_15,fdprem,30,0,-0.0159,-0.88,0,-0.0289,-1.56,0,0.021,1.14,0.0289,181.8,0,162,-0.0159,-0.0159,-0.027,-0.0308,0.0262,0.0158,162,156,0
doi_pe_5,fret,5,0,-0.0081,-0.84,0,0.0288,3.21,0,0.0009,0.11,0.0288,355.6,0,162,0.0003,-0.0164,0.0367,0.021,0.005,-0.0031,162,156,0
mp_drift_30,fabs,60,0,0.0016,0.08,0,0.0285,1.56,0,0.0113,0.56,0.0285,1781.2,0,160,0.0134,-0.01,0.036,0.0212,0.0406,-0.0166,160,152,0
dist_wall_ce,fdprem,30,0,0.0271,1.14,0,-0.0284,-1.55,0,-0.012,-0.58,0.0284,104.8,0,162,0.029,0.0252,-0.0477,-0.0092,-0.0209,-0.003,162,156,0
wall_squeeze,fdprem,60,0,0.0314,1.05,0,-0.0284,-1.19,0,-0.0212,-0.73,0.0284,90.4,0,156,0.0216,0.0414,-0.0376,-0.0189,-0.0108,-0.0324,156,145,0
mp_drift_30,fret,5,0,-0.0272,-3.0,0,0.0281,3.14,0,0.014,1.36,0.0281,103.3,0,160,-0.0214,-0.0329,0.0382,0.0183,0.017,0.0112,160,152,0
doi_wing_15,fdprem,30,0,-0.0372,-2.22,0,-0.0281,-2.06,0,-0.0198,-1.23,0.0281,75.5,0,162,-0.0172,-0.0572,-0.0117,-0.0445,-0.0268,-0.0129,162,156,0
skew,fabs,30,0,0.0023,0.13,0,0.0277,1.92,1,0.0422,2.07,0.0277,1204.3,0,128,-0.0158,0.0205,0.02,0.0353,0.0588,0.0242,128,92,0
pcr_vol_atm5,fret,30,0,0.2936,16.1,1,0.0266,1.5,0,-0.0262,-1.23,0.0266,9.1,0,162,0.2831,0.3041,0.0387,0.0145,-0.0205,-0.0318,162,156,0
pcr_vol_all,fdprem,5,0,0.0135,1.25,0,0.0265,2.43,0,-0.0044,-0.5,0.0265,196.3,0,162,0.0114,0.0156,0.0226,0.0304,-0.0126,0.0038,162,156,0
pcr_vol_all,fabs,60,0,0.0557,2.27,0,0.0263,1.42,0,-0.0063,-0.25,0.0263,47.2,0,162,0.0576,0.0537,0.0372,0.0154,0.0037,-0.0163,162,156,0
pcr_oi_atm5,fabs,30,0,-0.0197,-1.2,0,-0.0261,-1.92,0,0.003,0.2,0.0261,132.5,0,162,-0.0179,-0.0216,-0.0217,-0.0304,-0.0067,0.0128,162,156,0
atm_iv,fret,60,0,0.1657,4.81,0,0.026,1.01,0,0.0976,2.47,0.026,15.7,0,128,0.1976,0.1337,0.0219,0.0301,0.1072,0.0872,128,92,0
dist_wall_ce,fdprem,60,0,0.0306,1.07,0,-0.0257,-1.17,0,-0.0048,-0.17,0.0257,84.0,0,162,0.0276,0.0336,-0.0244,-0.027,-0.0149,0.0053,162,156,0
mp_drift_30,fdprem,15,0,0.0214,1.52,0,0.0256,1.62,0,0.0143,0.97,0.0256,119.6,0,160,0.0389,0.0044,0.0281,0.0232,0.0041,0.0239,160,152,0
doi_atm_15,fabs,30,0,-0.0081,-0.64,0,-0.0251,-2.05,0,0.0001,0.01,0.0251,309.9,0,162,-0.0212,0.0051,-0.0361,-0.0141,-0.0007,0.0009,162,156,0
mp_drift_15,fret,5,0,-0.0166,-1.88,0,0.0246,2.81,0,-0.01,-1.11,0.0246,148.2,0,160,-0.0089,-0.0241,0.037,0.0125,0.001,-0.0205,160,152,0
doi_pe_30,fabs,60,0,-0.0344,-1.69,0,0.0245,1.22,0,-0.0193,-0.95,0.0245,71.2,0,162,-0.0363,-0.0324,0.0217,0.0274,-0.0329,-0.0057,162,156,0
dist_wall_pe,fret,15,0,0.1621,9.59,1,-0.0244,-2.07,0,0.002,0.13,0.0244,15.1,0,162,0.1559,0.1682,-0.0344,-0.0144,-0.0194,0.0235,162,156,0
wall_squeeze,fdprem,5,0,0.0014,0.14,0,-0.0242,-2.78,0,0.004,0.43,0.0242,1728.6,0,156,0.0037,-0.001,-0.023,-0.0254,0.0029,0.0051,156,145,0
pcr_vol_atm5,fdprem,30,0,0.051,2.23,0,0.0241,1.45,0,0.0028,0.13,0.0241,47.3,0,162,0.0596,0.0424,0.0463,0.0019,0.0022,0.0033,162,156,0
doi_pe_15,fdprem,15,0,-0.0215,-1.52,0,-0.0238,-1.8,0,0.0009,0.06,0.0238,110.7,0,162,-0.0255,-0.0175,-0.0294,-0.0182,0.0024,-0.0006,162,156,0
pcr_oi_all,fabs,15,0,-0.0605,-3.78,0,-0.0233,-1.93,0,0.0068,0.46,0.0233,38.5,0,162,-0.0491,-0.072,-0.0068,-0.0397,0.0032,0.0105,162,156,0
