total_trades,wins,losses,win_rate,avg_win_pct,avg_loss_pct,total_return_pct,max_drawdown_pct,calmar_ratio,profit_factor,avg_hold_days,sharpe_ratio,symbols_traded,trades_per_year,name
23536,15645,7891,66.47,2.58,-4.02,8615.78,91.0,0.27,1.27,3.7,0.71,468,68.3,MR_RSI2_lt5_SMA200_H25
23536,15645,7891,66.47,2.58,-4.02,8615.78,91.0,0.27,1.27,3.7,0.71,468,68.3,MR_RSI2_lt5_SMA200_H30
15688,10552,5136,67.26,2.62,-3.99,7157.62,81.27,0.39,1.35,3.6,0.9,466,69.4,MR_RSI2_lt5_wMACD
21923,14568,7355,66.45,2.59,-4.04,8007.28,85.78,0.29,1.27,3.7,0.71,460,68.9,MR_RSI2_lt5_wST
21660,14439,7221,66.66,2.61,-4.04,8463.66,90.73,0.3,1.29,3.6,0.76,468,69.1,MR_RSI2_lt5_wADX
20445,13577,6868,66.41,2.57,-3.98,7555.89,86.86,0.29,1.28,3.7,0.72,468,68.5,MR_RSI2_lt5_wRSI
14603,6531,8072,44.72,10.42,-5.0,27675.52,83.57,0.33,1.69,17.3,0.69,468,14.5,HY_RSI2_entry_EMA_exit
5290,2888,2402,54.59,8.31,-6.0,9566.25,82.44,0.33,1.66,16.8,0.68,462,15.0,HY_BB_entry_ST_exit
3721,1784,1937,47.94,7.59,-5.11,3644.74,97.2,0.19,1.37,13.2,0.48,461,19.0,HY_WR2_entry_MACD_exit
990,568,422,57.37,8.32,-7.11,1724.92,72.61,0.43,1.57,14.1,0.81,333,17.9,HY_KC_entry_RSI_exit
7160,4698,2462,65.61,2.82,-4.11,3153.14,81.52,0.35,1.31,3.9,0.79,465,65.3,EO_RSI_WR_Stoch_triple
813,558,255,68.63,5.02,-7.51,887.84,77.49,0.33,1.46,10.9,0.73,309,23.1,EO_RSI_BB_MFI_triple
10208,6886,3322,67.46,2.73,-4.24,4702.17,81.52,0.39,1.33,3.7,0.85,466,68.2,EO_RSI_CCI_WR_quad
590,378,212,64.07,3.46,-4.84,281.63,63.12,0.46,1.27,4.1,0.67,289,61.3,EO_all_oversold
