detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct
darvas,59.2,1,1,1.0,1,1.0,1.9,6.5,0.68,98.0,15.7,-15.7,3.5,STOP,5,ADANIENT,2022-01-11,2.48,15.0,3.1
darvas,63.8,1,1,1.0,1,1.0,1.0,9.7,0.74,99.3,8.3,-8.3,0.6,STOP,1,ADANIENT,2022-12-20,1.91,7.2,1.7
darvas,62.2,1,1,1.0,1,,5.8,15.9,0.75,61.6,5.7,-5.7,0.7,STOP,1,ADANIENT,2025-06-10,1.87,4.8,1.1
flat,54.8,1,1,,1,,5.5,9.1,0.94,92.6,19.3,65.9,114.5,OPEN,79,ADANIENT,2003-09-01,2.07,11.6,11.1
flat,41.9,0,0,0.0,0,,-3.1,-1.1,1.03,8.4,13.2,-13.2,4.7,STOP,1,ADANIENT,2005-08-31,2.53,9.8,5.0
flat,55.3,1,0,0.0,0,,5.2,-14.3,1.55,19.4,11.1,144.3,224.7,OPEN,59,ADANIENT,2009-03-31,3.62,11.0,1.3
flat,57.6,1,1,1.0,1,1.0,2.8,3.9,0.98,74.2,13.4,34.8,36.3,OPEN,123,ADANIENT,2010-04-20,2.87,11.6,3.5
flat,74.0,1,1,1.0,1,1.0,6.1,1.1,1.24,85.5,10.0,8.4,33.9,OPEN,71,ADANIENT,2010-07-27,1.6,7.9,3.0
flat,55.5,1,1,1.0,1,1.0,0.8,8.1,0.54,23.3,12.1,-12.1,2.2,STOP,1,ADANIENT,2017-07-12,1.78,11.9,1.7
flat,63.5,1,1,1.0,1,1.0,4.5,24.7,0.96,38.4,13.3,-13.3,14.3,STOP,25,ADANIENT,2020-01-17,3.04,11.8,3.1
flat,51.9,1,1,1.0,1,1.0,0.5,11.4,0.33,83.4,13.3,12.7,24.2,OPEN,112,ADANIENT,2021-08-06,1.53,9.3,5.5
flat,63.8,1,1,1.0,1,1.0,1.0,9.7,0.74,99.3,8.5,-8.5,0.6,STOP,1,ADANIENT,2022-12-20,1.91,7.5,1.7
flat,52.0,1,1,1.0,1,,2.5,0.2,1.36,59.2,9.2,-9.2,5.6,STOP,3,ADANIENT,2023-08-18,2.95,9.8,0.3
flat,45.8,0,0,0.0,0,,-3.2,-11.4,0.83,53.1,11.6,31.8,42.7,OPEN,121,ADANIENT,2023-11-28,7.71,9.6,3.2
flat,57.6,1,1,1.0,0,1.0,-0.7,11.8,0.45,75.6,10.3,-10.3,0.8,STOP,5,ADANIENT,2024-08-01,2.07,11.3,0.2
flat,41.8,0,0,0.0,0,,-2.2,-24.4,0.38,57.5,10.0,-10.0,2.0,STOP,2,ADANIENT,2024-12-30,2.38,9.7,1.3
flat,62.2,1,1,1.0,1,,5.8,15.9,0.75,61.6,11.4,-11.4,2.6,STOP,13,ADANIENT,2025-06-10,1.87,11.6,1.1
flat,58.3,1,1,0.0,0,,1.0,-5.0,0.93,57.3,14.2,-6.1,6.8,OPEN,2,ADANIENT,2025-09-19,9.14,11.1,4.9
darvas,62.3,1,1,1.0,1,1.0,2.3,83.4,0.73,78.8,16.3,-16.3,16.5,STOP,78,ADANIGREEN,2024-02-07,2.69,12.8,5.9
darvas,61.3,1,1,1.0,1,1.0,3.3,10.6,1.04,89.8,11.2,-11.2,4.3,STOP,4,ADANIGREEN,2024-09-20,2.69,11.9,0.6
darvas,62.2,1,1,0.0,1,,8.0,25.2,0.63,47.3,8.0,-8.0,0.9,STOP,1,ADANIGREEN,2025-06-10,1.52,6.4,2.1
darvas,70.0,1,1,0.0,0,,7.7,3.9,1.55,47.2,21.2,-11.9,2.2,OPEN,1,ADANIGREEN,2025-09-22,13.87,18.6,7.0
