detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct,stoch_k,stoch_d,macd_hist,macd_positive,macd_bullish,adx,plus_di,minus_di,adx_bullish,atr_pct,bb_pct_b,bb_width,bb_squeeze,supertrend_bull,mfi,cci,williams_r,obv_bullish,psar_bullish,above_ema9,above_ema21,above_ema100,ema9_gt_21,ema20_rising,mom_10d,rsi7,w_above_ema20,w_above_ema50,w_ema20_gt_50,w_rsi,w_macd_positive,w_macd_bullish
flat,57.9,1,1,1.0,0,1.0,6.7,0.4,0.88,85.1,11.7,-6.3,6.8,OPEN,13,AAVAS,2024-09-05,2.63,11.0,2.0,96.33,79.0,13.95,1.0,1.0,40.34,32.44,4.34,1.0,2.44,1.27,8.8,0.0,1.0,85.53,243.74,-3.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.18,87.64,1.0,1.0,1.0,57.22,1.0,0.0
flat,76.3,1,1,1.0,1,1.0,6.8,8.0,2.69,88.8,12.7,-12.7,19.3,STOP,23,AAVAS,2025-03-13,1.93,11.7,2.6,96.31,78.82,17.67,1.0,1.0,37.73,44.12,7.41,1.0,2.55,1.27,12.09,0.0,1.0,84.34,292.0,-3.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.77,96.74,1.0,1.0,1.0,53.76,1.0,1.0
flat,47.1,0,0,1.0,0,1.0,5.5,6.2,0.41,81.1,11.3,-11.3,12.0,STOP,16,AAVAS,2025-06-06,1.53,11.4,1.2,92.99,61.48,15.85,0.0,1.0,27.23,36.92,9.15,1.0,2.36,1.28,8.04,0.0,1.0,61.5,292.54,-7.01,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.76,78.84,1.0,1.0,1.0,58.16,1.0,0.0
flat,61.5,1,1,1.0,0,1.0,5.4,-6.8,0.68,87.0,11.6,-11.6,8.4,STOP,1,AAVAS,2025-06-27,1.7,11.1,1.9,90.41,74.67,15.32,1.0,1.0,31.33,24.62,13.99,1.0,3.35,1.08,11.7,0.0,1.0,64.84,195.01,-9.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.33,89.78,0.0,1.0,1.0,46.98,1.0,0.0
darvas,59.3,1,1,,1,,4.5,4.3,1.06,97.5,11.2,-1.5,6.6,OPEN,30,ABBOTINDIA,2023-06-28,1.52,12.3,0.3,85.56,76.25,65.12,1.0,1.0,28.69,37.46,7.11,1.0,1.81,0.92,9.24,0.0,1.0,60.42,120.62,-14.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.28,53.74,1.0,1.0,0.0,62.77,1.0,1.0
darvas,70.4,1,1,1.0,1,1.0,8.0,9.5,1.61,99.5,12.8,12.9,17.0,OPEN,25,ABBOTINDIA,2024-01-11,2.52,12.0,2.4,98.45,97.86,262.71,1.0,1.0,38.58,44.09,2.45,1.0,1.87,1.15,14.36,0.0,1.0,77.68,207.55,-1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,89.63,1.0,1.0,1.0,56.35,1.0,0.0
darvas,64.0,1,1,1.0,1,1.0,9.8,8.8,0.96,98.1,11.5,-0.9,5.6,OPEN,10,ABBOTINDIA,2024-02-02,4.95,6.2,6.4,93.74,79.02,112.14,1.0,1.0,46.57,29.37,14.97,1.0,2.77,1.2,14.63,0.0,1.0,66.68,237.67,-6.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.04,83.83,1.0,1.0,1.0,67.14,1.0,1.0
darvas,61.1,1,1,1.0,1,1.0,3.3,11.6,1.23,96.9,15.3,-2.7,3.1,OPEN,91,ABBOTINDIA,2024-08-27,1.62,17.6,0.3,93.4,78.75,202.23,1.0,1.0,48.3,37.56,3.23,1.0,2.83,1.04,10.65,0.0,1.0,48.89,179.38,-6.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.22,84.04,1.0,1.0,1.0,63.71,1.0,1.0
darvas,60.2,1,1,1.0,1,1.0,16.9,4.8,1.06,97.2,8.8,-8.8,5.6,STOP,5,ABBOTINDIA,2025-02-25,2.69,8.4,1.1,87.57,87.59,201.89,1.0,1.0,35.02,29.04,15.29,1.0,3.38,0.81,20.99,0.0,1.0,78.65,100.38,-12.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.66,80.09,1.0,1.0,1.0,55.9,1.0,0.0
darvas,56.4,1,1,1.0,1,1.0,4.4,3.6,0.88,98.4,16.8,-16.8,11.9,STOP,1,ABBOTINDIA,2025-06-26,3.39,16.0,3.6,92.44,72.64,60.52,1.0,1.0,19.98,23.86,14.67,1.0,2.11,1.24,6.69,1.0,1.0,72.22,242.43,-7.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.69,65.95,1.0,1.0,1.0,60.87,1.0,1.0
flat,59.3,1,1,,1,,4.5,4.3,1.06,97.5,10.7,-1.5,6.6,OPEN,30,ABBOTINDIA,2023-06-28,1.52,11.7,0.3,85.56,76.25,65.12,1.0,1.0,28.69,37.46,7.11,1.0,1.81,0.92,9.24,0.0,1.0,60.42,120.62,-14.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.28,53.74,1.0,1.0,0.0,62.77,1.0,1.0
flat,60.2,1,1,,1,,1.2,5.0,1.1,99.3,8.9,6.0,9.6,OPEN,115,ABBOTINDIA,2023-07-28,1.58,8.9,0.8,93.48,62.16,-10.01,1.0,0.0,30.3,28.59,18.74,1.0,1.73,1.07,4.85,1.0,1.0,53.32,195.61,-6.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.29,64.56,1.0,1.0,1.0,56.17,1.0,1.0
flat,61.5,1,1,1.0,0,1.0,1.5,-1.8,0.9,94.2,7.5,-7.5,2.8,STOP,2,ABBOTINDIA,2023-11-07,1.96,7.5,0.6,96.47,92.74,136.43,1.0,1.0,17.96,31.21,10.03,1.0,1.96,1.3,6.56,0.0,1.0,62.68,349.19,-3.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.71,78.07,0.0,1.0,1.0,36.39,1.0,0.0
flat,66.8,1,1,1.0,1,1.0,6.2,8.2,1.51,97.9,10.4,11.6,20.4,OPEN,26,ABBOTINDIA,2024-01-10,2.09,10.9,0.6,97.65,91.54,208.19,1.0,1.0,37.57,35.92,3.32,1.0,1.78,1.09,11.5,0.0,1.0,71.29,188.04,-2.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.03,88.91,1.0,1.0,1.0,56.35,1.0,0.0
flat,57.9,1,1,1.0,1,1.0,3.0,8.7,1.46,96.2,7.9,-7.9,5.2,STOP,94,ABBOTINDIA,2024-08-22,3.59,7.7,0.8,75.12,59.26,113.94,1.0,1.0,34.47,30.43,7.8,1.0,2.97,1.03,8.05,0.0,1.0,45.89,208.33,-24.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.62,83.5,1.0,1.0,1.0,59.83,1.0,0.0
flat,56.4,1,1,1.0,1,1.0,4.4,3.6,0.88,98.4,13.7,-13.7,11.9,STOP,1,ABBOTINDIA,2025-06-26,3.39,11.8,3.6,92.44,72.64,60.52,1.0,1.0,19.98,23.86,14.67,1.0,2.11,1.24,6.69,1.0,1.0,72.22,242.43,-7.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.69,65.95,1.0,1.0,1.0,60.87,1.0,1.0
darvas,60.5,1,1,1.0,1,1.0,2.9,2.9,1.32,90.4,14.4,12.9,31.6,OPEN,90,ABCAPITAL,2024-02-07,1.97,13.3,3.1,95.91,81.87,1.43,1.0,1.0,26.22,33.66,25.91,1.0,3.34,1.02,14.65,0.0,1.0,63.49,153.71,-4.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.74,80.06,1.0,1.0,1.0,55.45,0.0,1.0
darvas,55.1,1,1,1.0,0,1.0,-2.8,4.5,0.51,91.2,16.7,16.5,22.8,OPEN,53,ABCAPITAL,2024-04-02,7.37,16.1,3.4,91.06,65.12,1.86,1.0,1.0,34.4,41.41,21.54,1.0,3.5,1.15,18.55,0.0,1.0,81.03,184.71,-8.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.68,95.2,0.0,1.0,1.0,60.65,1.0,0.0
darvas,60.0,1,1,1.0,1,,10.6,22.5,0.84,83.0,13.7,51.0,58.2,OPEN,122,ABCAPITAL,2025-05-14,4.62,10.8,4.6,94.74,84.91,0.54,1.0,1.0,15.4,27.69,20.93,1.0,3.79,1.22,12.72,0.0,1.0,75.34,234.19,-5.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.32,68.92,1.0,1.0,0.0,59.48,0.0,1.0
flat,62.0,1,1,,1,,5.9,23.5,1.12,98.7,14.6,-14.6,3.6,STOP,3,ABCAPITAL,2023-06-27,6.78,11.8,4.7,96.05,75.29,0.82,1.0,1.0,28.88,42.74,21.03,1.0,2.97,1.28,12.03,0.0,1.0,76.48,246.25,-3.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.25,72.92,1.0,1.0,1.0,67.29,1.0,1.0
flat,57.8,1,1,1.0,1,1.0,1.7,-4.4,0.86,92.0,10.7,-10.7,6.3,STOP,9,ABCAPITAL,2024-09-19,3.93,11.9,0.0,61.54,67.79,0.98,1.0,1.0,18.1,35.31,18.71,1.0,2.94,0.95,7.42,1.0,1.0,80.38,184.89,-38.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.63,77.85,1.0,1.0,1.0,46.18,1.0,0.0
flat,62.7,1,1,1.0,1,1.0,6.3,23.6,0.74,97.6,12.3,9.5,12.9,OPEN,28,ABCAPITAL,2025-10-30,5.63,11.1,2.7,94.86,82.79,1.53,1.0,1.0,17.56,35.28,8.09,1.0,2.39,1.26,9.78,0.0,1.0,80.86,239.1,-5.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.68,86.05,1.0,1.0,1.0,65.95,1.0,1.0
darvas,54.9,1,1,,1,,10.1,10.2,0.55,75.7,16.5,-0.8,15.2,OPEN,106,ABFRL,2023-09-05,3.08,17.0,2.3,96.34,81.01,0.81,1.0,1.0,25.92,36.7,9.74,1.0,2.24,1.16,10.3,0.0,1.0,83.26,199.33,-3.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.33,81.24,1.0,0.0,0.0,65.05,0.0,1.0
darvas,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.5,-11.5,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.6,1.3,95.72,89.58,1.53,1.0,1.0,41.04,40.02,7.35,1.0,2.38,1.15,12.55,0.0,1.0,78.5,196.94,-4.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.56,94.75,1.0,0.0,0.0,56.25,0.0,1.0
darvas,67.2,1,1,1.0,1,,6.9,0.9,1.31,80.2,11.7,-11.7,10.6,STOP,45,ABFRL,2023-12-05,1.68,13.0,0.2,94.84,84.88,1.69,1.0,1.0,25.19,31.41,5.38,1.0,2.56,1.08,14.4,0.0,1.0,83.79,152.56,-5.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.14,86.64,1.0,1.0,0.0,60.96,1.0,1.0
darvas,64.7,1,1,1.0,1,,1.3,12.0,1.68,83.0,12.7,-12.7,7.8,STOP,24,ABFRL,2024-01-04,2.22,13.7,0.7,93.87,87.34,1.5,1.0,1.0,28.67,38.19,15.42,1.0,2.96,1.0,15.0,0.0,1.0,80.75,154.03,-6.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.53,91.3,1.0,0.0,0.0,56.43,1.0,1.0
darvas,62.2,1,1,1.0,1,1.0,9.7,12.3,0.56,91.1,13.3,2.8,29.5,OPEN,90,ABFRL,2024-05-21,2.62,13.5,1.6,87.08,75.53,0.65,1.0,1.0,27.13,25.51,16.45,1.0,3.54,1.16,11.97,1.0,1.0,59.22,174.95,-12.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.32,88.25,1.0,1.0,1.0,53.57,1.0,1.0
darvas,60.7,1,1,1.0,1,1.0,9.7,4.5,1.3,96.6,12.2,-12.2,1.7,STOP,3,ABFRL,2024-09-27,3.91,12.9,0.9,76.33,77.39,1.99,1.0,1.0,33.54,35.89,4.08,1.0,3.32,0.95,16.1,0.0,1.0,76.56,155.71,-23.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.16,68.49,1.0,1.0,1.0,49.61,1.0,0.0
darvas,59.5,1,1,0.0,0,,9.6,-3.8,0.78,72.5,9.1,-9.1,11.1,STOP,20,ABFRL,2025-04-17,2.04,9.7,0.2,82.68,90.33,1.07,1.0,1.0,33.05,31.05,20.91,1.0,3.36,0.91,10.29,1.0,1.0,59.67,151.86,-17.32,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.1,60.0,0.0,0.0,0.0,35.73,0.0,0.0
darvas,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,10.6,-10.6,16.9,STOP,20,ABFRL,2025-08-22,9.71,10.2,1.4,92.05,68.48,0.91,0.0,1.0,21.87,35.18,8.0,1.0,2.91,1.32,9.59,0.0,1.0,79.79,262.14,-7.95,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.74,85.13,0.0,0.0,0.0,14.62,0.0,0.0
flat,59.2,1,1,,0,,7.4,-5.2,0.7,74.2,11.2,-11.2,3.6,STOP,14,ABFRL,2023-07-11,2.45,11.5,1.0,83.64,84.37,0.42,1.0,1.0,15.04,20.45,21.68,0.0,2.48,1.04,5.43,1.0,1.0,68.13,212.0,-16.36,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.6,75.17,0.0,0.0,0.0,49.58,0.0,1.0
flat,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.7,-11.7,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.8,1.3,95.72,89.58,1.53,1.0,1.0,41.04,40.02,7.35,1.0,2.38,1.15,12.55,0.0,1.0,78.5,196.94,-4.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.56,94.75,1.0,0.0,0.0,56.25,0.0,1.0
flat,46.0,0,0,0.0,0,,0.6,-1.1,0.77,74.1,9.0,-9.0,17.5,STOP,52,ABFRL,2023-11-23,3.8,8.3,1.4,91.92,57.48,0.5,0.0,1.0,24.97,22.25,20.27,1.0,2.43,1.4,5.12,1.0,1.0,53.56,288.55,-8.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.26,84.03,0.0,0.0,0.0,53.09,0.0,1.0
flat,55.7,1,0,0.0,0,,1.1,-8.8,0.94,70.1,10.2,-10.2,14.8,STOP,33,ABFRL,2025-03-26,1.52,11.3,0.1,82.31,84.4,2.15,0.0,1.0,41.07,26.44,11.51,1.0,2.58,0.99,10.06,1.0,1.0,70.9,163.04,-17.69,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.38,96.98,0.0,0.0,0.0,27.05,0.0,0.0
flat,60.3,1,1,1.0,1,,4.5,7.4,1.11,76.3,12.9,-12.9,1.5,STOP,1,ABFRL,2025-05-19,4.56,11.7,2.7,78.4,83.5,1.44,1.0,1.0,15.07,30.52,12.06,1.0,3.68,1.03,12.49,0.0,1.0,72.95,193.14,-21.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.82,86.06,1.0,1.0,0.0,51.11,0.0,1.0
flat,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,11.6,-5.5,16.9,OPEN,20,ABFRL,2025-08-22,9.71,11.5,1.4,92.05,68.48,0.91,0.0,1.0,21.87,35.18,8.0,1.0,2.91,1.32,9.59,0.0,1.0,79.79,262.14,-7.95,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.74,85.13,0.0,0.0,0.0,14.62,0.0,0.0
darvas,55.2,1,1,,0,,-0.9,0.4,0.81,63.1,6.7,-6.7,3.3,STOP,3,ABREL,2018-08-29,2.5,7.1,0.0,81.32,72.25,3.76,1.0,1.0,16.65,26.41,9.69,1.0,2.3,1.24,6.26,1.0,1.0,73.13,218.42,-18.68,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.08,79.05,0.0,0.0,0.0,34.0,0.0,1.0
darvas,50.4,0,1,0.0,1,,-1.9,27.8,0.87,62.0,11.6,-11.6,7.7,STOP,11,ABREL,2019-05-20,1.67,8.3,4.5,93.38,59.02,1.91,1.0,1.0,22.17,26.23,14.39,1.0,3.21,1.31,8.81,0.0,1.0,72.14,281.89,-6.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.91,69.31,1.0,0.0,0.0,72.06,1.0,1.0
