date,baseline,rsi50,vwap,volspike,htf,confluence
2025-01-22,-865.40,-865.40,-865.40,-2223.34,-488.88,-1131.72
2025-01-23,-4238.46,-4238.46,-4238.46,-2093.91,-1014.43,-1014.43
2025-01-24,-280.21,-280.21,-280.21,-228.35,-228.35,-228.35
2025-01-27,2584.93,2584.93,2584.93,0.00,1274.73,0.00
2025-01-28,3815.22,3815.22,3815.22,2181.16,0.00,0.00
2025-01-30,-140.76,-140.76,-140.76,-140.76,682.69,682.69
2025-01-31,-2871.00,-2871.00,-2871.00,0.00,-2871.00,0.00
2025-02-01,1672.57,1672.57,1672.57,562.05,-209.57,-1320.09
2025-02-03,1673.88,1673.88,1673.88,0.00,-1224.60,0.00
2025-02-04,-143.13,-143.13,-143.13,-1049.83,-143.13,-1049.83
2025-02-05,-487.09,-487.09,-1012.74,-209.12,-775.94,-1016.78
2025-02-07,-3732.47,-3732.47,-3732.47,0.00,-2879.62,0.00
2025-02-10,-4174.71,-4174.71,-4174.71,-2046.83,-4174.71,-2046.83
2025-02-11,-2411.70,-2411.70,-2411.70,-2515.99,-830.96,-1173.57
2025-02-12,-1126.95,-1126.95,-1126.95,342.64,342.64,342.64
2025-02-13,-4025.01,-4025.01,-2836.12,-2580.28,800.91,-111.35
2025-02-17,-241.60,-241.60,-241.60,-2419.04,2242.45,0.00
2025-02-18,849.88,849.88,1678.69,17.47,1817.58,1120.96
2025-02-19,-4280.54,-4280.54,-3017.53,-1835.17,0.00,0.00
2025-02-20,-1411.32,-1411.32,-491.92,0.00,587.83,0.00
2025-02-21,1191.19,1191.19,1191.19,760.12,0.00,0.00
2025-02-24,-232.34,-232.34,-232.34,-1739.90,0.00,0.00
2025-02-25,-399.99,-399.99,-399.99,0.00,0.00,0.00
2025-02-27,-421.55,-421.55,-421.55,0.00,-421.55,0.00
2025-02-28,2129.32,2129.32,2129.32,0.00,2129.32,0.00
2025-03-03,-4351.35,-4351.35,-4351.35,0.00,-2943.50,0.00
2025-03-04,-936.42,-936.42,-936.42,-936.42,-936.42,-936.42
2025-03-06,-310.88,-310.88,-310.88,-310.88,-310.88,-310.88
2025-03-07,-2384.73,-2384.73,-2384.73,0.00,-2384.73,0.00
2025-03-11,-1958.19,-1958.19,-1958.19,-989.55,-1958.19,-989.55
2025-03-12,-1370.91,-1370.91,-1370.91,-1370.91,-1370.91,-1370.91
2025-03-13,-6212.06,-6212.06,-6212.06,-2241.40,-7205.39,-2241.40
2025-03-17,-1591.95,-1591.95,-1591.95,-955.32,-1591.95,-955.32
2025-03-19,-1526.16,-1526.16,-1526.16,-1526.16,0.00,0.00
2025-03-20,949.32,949.32,949.32,949.32,949.32,949.32
2025-03-21,-1153.36,-1153.36,-1430.77,-1430.77,-2838.55,-2838.55
2025-03-24,359.36,359.36,359.36,359.36,359.36,359.36
2025-03-25,-3430.55,-3430.55,-2510.97,-1084.41,-919.57,0.00
2025-03-27,-4398.64,-4398.64,-4398.64,-3620.75,-2052.19,-1274.30
2025-03-28,-910.82,-910.82,-910.82,0.00,-1405.27,0.00
2025-04-01,-861.11,-861.11,-861.11,-861.11,0.00,0.00
2025-04-02,2807.82,2807.82,2807.82,0.00,1782.64,0.00
2025-04-04,-2122.84,-2122.84,-2122.84,-885.82,-885.82,-885.82
2025-04-07,2938.40,2938.40,2938.40,0.00,1506.45,0.00
2025-04-09,-3881.54,-3881.54,-3881.54,-1224.10,-1224.10,-1224.10
2025-04-15,-961.46,-961.46,-961.46,-961.46,0.00,0.00
2025-04-16,-286.50,-286.50,-286.50,1058.50,-1345.00,0.00
2025-04-17,-1887.09,-1887.09,-1887.09,-1887.09,-1887.09,-1887.09
2025-04-21,635.43,635.43,635.43,635.43,0.00,0.00
2025-04-22,-1554.27,-1554.27,-1554.27,-932.29,412.20,13.09
2025-04-23,-417.42,-417.42,-417.42,-1031.55,-417.42,-1031.55
2025-04-24,-1611.08,-1611.08,-1611.08,-294.80,-1611.08,649.65
2025-04-25,811.65,811.65,0.00,0.00,0.00,0.00
