date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2024-09-18,-173.41,-610.08,0.00,0.00,-3023.32,-2136.77,-3023.32,0.00
2024-09-19,843.53,0.00,919.36,0.00,-1843.35,0.00,-710.87,0.00
2024-09-20,2016.68,1940.62,76.06,0.00,-5416.18,-2968.55,-2968.55,-1016.93
2024-09-24,-2614.52,-799.55,-850.81,0.00,-1267.26,283.04,-681.89,0.00
2024-09-25,2409.26,0.00,155.40,0.00,-2532.41,0.00,-1797.69,0.00
2024-09-26,-2321.52,-1236.95,0.00,0.00,1048.97,225.94,1048.97,0.00
2024-09-27,355.30,1385.84,0.00,0.00,-3065.35,-2035.69,-3065.35,0.00
2024-09-30,-1133.83,-1590.25,-193.90,-1006.19,-2562.52,-160.09,-2150.19,0.00
2024-10-03,-2857.33,0.00,-1568.06,0.00,505.88,0.00,-1288.01,0.00
2024-10-04,554.72,-1255.25,1809.97,0.00,-2833.12,-1256.46,-1256.46,0.00
2024-10-07,1843.86,1870.26,1843.86,1870.26,-4062.92,-1607.08,1355.13,0.00
2024-10-08,641.19,-1117.71,-1040.01,0.00,-4236.10,-1118.74,-3195.21,0.00
2024-10-10,-1679.98,-974.15,-985.93,0.00,-1332.61,-973.37,-1960.16,0.00
2024-10-11,509.80,0.00,0.00,0.00,-3226.51,0.00,-3226.51,0.00
2024-10-14,231.99,-872.38,-500.83,0.00,-2072.54,399.96,-1076.10,0.00
2024-10-15,965.93,-1531.79,331.71,-1018.51,-4085.48,-1337.80,-1147.85,-318.43
2024-10-16,-1036.26,314.05,-1350.31,0.00,-2173.30,-824.33,-824.33,0.00
2024-10-18,-1645.46,0.00,-1088.08,0.00,-613.27,0.00,-984.35,0.00
2024-10-21,-1216.49,0.00,1445.83,0.00,-3368.74,0.00,-1972.29,0.00
2024-10-22,-612.71,0.00,1569.21,0.00,225.03,0.00,1680.76,0.00
2024-10-23,1223.46,925.66,478.81,925.66,-2839.49,-1136.74,-2117.70,0.00
2024-10-24,1945.71,-1616.38,552.31,-837.09,-3916.56,-1616.47,-538.97,0.00
2024-10-28,4432.38,-587.66,2087.17,-1601.60,-6624.66,-2761.64,-2499.35,0.00
