symbol,date,ratio,tv20_cr
ONELIFECAP-BE,2019-02-21,0.5905,0.01
ORIENTPPR,2018-01-11,0.5007,6.52
ORTINGLOBE,2021-03-30,65.0,0.0
PANACHE-BE,2019-07-18,0.4976,0.03
PANSARI,2016-10-18,2.381,
PANSARI,2017-03-27,0.4707,0.03
PANSARI,2017-03-28,2.0725,0.02
PANSARI,2017-04-27,0.4813,0.01
PANSARI,2017-05-02,2.2798,0.01
PANSARI,2017-06-27,0.4298,0.01
PANSARI,2017-07-05,2.2798,0.01
PANSARI,2017-07-27,0.4386,0.01
PANSARI,2017-08-01,2.0984,0.01
PANSARI,2017-09-27,0.4437,0.01
PANSARI,2017-10-17,2.0984,0.01
PANSARI,2017-10-27,0.4765,0.01
PANSARI,2017-11-09,1.8964,0.01
PANSARI,2017-11-27,0.5273,0.01
PANSARI,2017-11-28,1.9171,0.01
PANSARI,2017-12-27,0.5216,0.01
PARASPETRO,2017-01-31,0.5,0.0
PARASPETRO,2017-02-01,2.0,0.0
PARASPETRO,2022-12-23,15.0,0.0
PGIL,2026-09-07,0.4954,14.64
POCL,2023-03-06,5.5406,0.0
POCL,2026-05-18,0.3981,29.96
PRAKASHSTL,2018-06-18,0.5,0.0
PRAKASHSTL,2018-06-25,2.0,0.0
PTL,2015-01-01,2.5449,0.0
PTL,2017-03-27,0.3716,1.25
PUNJABCHEM,2007-11-06,11.493,0.0
PURVA,2008-10-24,0.5451,0.18
PVP,2021-07-22,3.3824,0.0
RAYMOND,2025-05-14,0.5784,53.64
RMDRIP,2026-02-18,0.5893,56.38
ROSSELLIND,2024-09-20,0.2748,2.76
SAGCEM,2007-01-29,15.55,0.0
SEJALLTD,2021-12-13,0.0135,0.02
SHANKARA,2025-09-24,0.2446,8.11
SHEKHAWATI,2014-02-03,0.5974,0.01
SHEKHAWATI,2024-09-10,9.6033,0.02
SHREYANIND,2006-06-23,3.3722,0.0
SHYAMTEL,2006-11-06,2.2767,0.0
SICAGEN,2026-04-20,2.2402,0.07
SIGIND,2015-03-13,10.9768,0.0
SILINV,2006-06-12,0.3943,0.09
SIYSIL,2007-01-29,8.0222,0.0
SOUTHWEST,2019-04-04,0.5367,0.11
SPCENET,2017-01-10,0.3704,0.0
SPCENET,2019-02-21,3.0,0.0
SPLPETRO,2022-06-07,0.509,
STAR,2024-12-06,0.5144,55.12
SUBROS,2005-07-13,10.7853,0.0
SUDARSCHEM,2006-05-16,4.5347,0.0
SUMMITSEC,2006-02-07,0.1653,3.45
SUMMITSEC,2011-01-28,11.5813,0.0
SUNFLAG,2005-09-29,8.2632,0.0
SURANAT&P,2010-08-17,0.4354,0.48
SURYALAXMI,2005-06-15,1.8225,
SUVEN,2020-01-21,0.0529,6.33
TATACHEM,2020-03-04,0.4376,73.68
TATAMOTORS,2025-10-14,0.5985,909.73
TCI,2015-01-01,1.8699,1.42
TCI,2016-08-26,0.5303,5.12
TEMBO,2026-05-18,0.0976,5.43
THOMASCOOK,2019-12-05,0.5694,4.16
TIMKEN,2007-02-06,5.9714,0.0
TNTELE,2019-02-21,0.54,0.0
TRIVENI,2005-12-13,45.5614,0.0
TRIVENI,2026-07-22,0.5843,20.43
TVSHLTD,2008-06-20,0.4282,0.0
TVSSRICHAK,2007-02-13,2.698,0.0
UNITECH,2008-10-24,0.5032,93.34
UNITECH,2019-02-21,0.5952,0.84
UNITEDPOLY,2019-02-22,0.471,0.01
VCL-BE,2022-05-19,1.9007,5.41
VCL-BE,2022-06-21,0.4727,0.28
WEIZMANIND,2020-03-16,0.5996,0.01
WENDT,2006-08-07,7.2593,0.0
WSI,2007-08-01,6.485,0.0
YESBANK,2020-03-06,0.4389,502.32
ZFCVINDIA,2026-05-18,0.1649,18.38
