symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_2.0,7,5.9357,16.1443,2.6,0.007478,0.016734,71.43,1.3281,-0.7028,1.89,1.6171,1.4233,0.4625,0.31922,0.7478
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_ATR_SL_0.5,6,1.1019,6.8601,1.225,0.003851,0.008133,66.67,0.8603,-0.5655,1.522,1.1238,0.792,0.3427,0.31565,0.3851
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_NO,6,1.1,6.8624,1.225,0.003849,0.008136,66.67,0.8603,-0.5661,1.52,1.1238,0.792,0.3425,0.31535,0.3849
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_ATR_SL_1.0,6,1.1,6.8624,1.225,0.003849,0.008136,66.67,0.8603,-0.5661,1.52,1.1238,0.792,0.3425,0.31535,0.3849
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_1.0,6,1.1,6.8624,1.225,0.003849,0.008136,66.67,0.8603,-0.5661,1.52,1.1238,0.792,0.3425,0.31535,0.3849
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_1.5,6,1.1,6.8624,1.225,0.003849,0.008136,66.67,0.8603,-0.5661,1.52,1.1238,0.792,0.3425,0.31535,0.3849
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_2.0,6,1.1,6.8624,1.225,0.003849,0.008136,66.67,0.8603,-0.5661,1.52,1.1238,0.792,0.3425,0.31535,0.3849
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_HARD_SL,9,4.8333,12.1847,7.9,0.008058,0.017456,66.67,1.8069,-1.1964,1.51,2.3316,1.2328,0.3456,0.30775,0.8058
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_3.0R,9,4.8333,12.1847,7.9,0.008058,0.017456,66.67,1.8069,-1.1964,1.51,2.3316,1.2328,0.3456,0.30775,0.8058
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.0,9,4.1484,14.9913,7.9,0.008292,0.020123,66.67,2.0364,-1.5852,1.285,2.4562,1.3421,0.3376,0.27471,0.8292
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_NO,12,1.85,4.4395,2.675,0.004376,0.015538,83.33,1.0199,-2.4744,0.412,1.529,1.8139,0.2862,0.23468,0.4376
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,12,1.85,4.4395,2.675,0.004376,0.015538,83.33,1.0199,-2.4744,0.412,1.529,1.8139,0.2862,0.23468,0.4376
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_ATR_SL_1.0,7,3.7638,18.5074,2.6,0.005618,0.018681,71.43,1.3281,-1.3538,0.981,1.4752,1.4233,0.3809,0.21482,0.5618
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_CHANDELIER_1.0,7,3.7638,18.5074,2.6,0.005618,0.018681,71.43,1.3281,-1.3538,0.981,1.4752,1.4233,0.3809,0.21482,0.5618
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_STEP_TRAIL,7,6.65,15.3484,0.0,0.007737,0.016186,42.86,1.9879,-0.137,14.508,1.6171,1.3412,0.4784,0.20485,0.7737
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_1.0,9,3.2519,14.2853,7.9,0.005785,0.020602,66.67,1.8069,-1.8783,0.962,2.4562,1.5206,0.2355,0.18721,0.5785
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,9,3.2654,14.4869,7.9,0.005825,0.020971,66.67,1.8394,-1.9313,0.952,2.4562,1.5698,0.2371,0.18517,0.5825
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_NO,9,2.7889,14.9083,7.9,0.005006,0.021825,66.67,1.8069,-2.1119,0.856,2.4562,1.7591,0.2038,0.15292,0.5006
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_STEP_TRAIL,9,3.3889,12.2464,0.0,0.005751,0.017553,44.44,2.1912,-0.7178,3.053,1.8592,1.2328,0.3093,0.14561,0.5751
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_1.5R,6,0.9583,7.5394,-0.075,0.002623,0.009743,50.0,1.1445,-0.6198,1.846,1.0826,0.7405,0.2423,0.13462,0.2623
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,12,1.2202,5.9715,2.675,0.00281,0.018419,83.33,1.0199,-3.4134,0.299,1.529,1.7828,0.1838,0.12715,0.281
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_HARD_SL,6,0.6667,6.9617,-0.075,0.002273,0.009158,50.0,1.0744,-0.6198,1.733,1.1056,0.7405,0.2056,0.12409,0.2273
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_2.0R,6,0.6667,6.9617,-0.075,0.002273,0.009158,50.0,1.0744,-0.6198,1.733,1.1056,0.7405,0.2056,0.12409,0.2273
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_3.0R,6,0.6667,6.9617,-0.075,0.002273,0.009158,50.0,1.0744,-0.6198,1.733,1.1056,0.7405,0.2056,0.12409,0.2273
