Combined Pair-Trading Portfolio (Walk-Forward TEST window)
============================================================
Test window      : 2024-01-01 to 2025-11-30
Survivor pairs   : 6
Max concurrent   : 5
Per pair-trade   : Rs.6,000
Capital base     : Rs.1,000,000
Cost (default)   : 0.12% per pair-trade

Total trades     : 108
Win rate         : 78.70%
Profit factor    : 3.57
Total P&L        : Rs.7,144
Total return     : 0.71%
Max drawdown     : Rs.620 (0.06%)

Trade tape (accepted only):
                pair entry_date  exit_date  days_held   ret_pct exit_reason  accepted   net_ret   rupee_pnl
  APOLLOHOSP-COFORGE 2024-11-13 2024-11-29         10 -4.128946        TIME      True -4.248946 -254.936735
     COFORGE-HCLTECH 2024-11-28 2024-12-19         15 -3.223793        TIME      True -3.343793 -200.627595
           DABUR-TCS 2024-12-09 2024-12-23         10  3.561510          MR      True  3.441510  206.490572
     COFORGE-HCLTECH 2024-12-23 2025-01-09         12  1.499886          MR      True  1.379886   82.793184
    DABUR-HINDUNILVR 2024-12-23 2025-01-06          9  1.253713          MR      True  1.133713   68.022787
           DABUR-TCS 2025-01-03 2025-01-13          6  3.679640          MR      True  3.559640  213.578399
      HAVELLS-MARICO 2025-01-09 2025-02-03         18  0.435018          MR      True  0.315018   18.901092
     COFORGE-HCLTECH 2025-01-10 2025-01-14          2  0.230386          MR      True  0.110386    6.623181
    DABUR-HINDUNILVR 2025-01-13 2025-01-14          1  1.865523          MR      True  1.745523  104.731388
    DABUR-HINDUNILVR 2025-01-16 2025-01-29          9  1.242052          MR      True  1.122052   67.323146
BAJFINANCE-KOTAKBANK 2025-01-20 2025-02-03         11  7.556880          MR      True  7.436880  446.212775
  APOLLOHOSP-COFORGE 2025-01-21 2025-01-23          2  5.662655          MR      True  5.542655  332.559283
  APOLLOHOSP-COFORGE 2025-01-24 2025-01-28          2  3.711822          MR      True  3.591822  215.509347
     COFORGE-HCLTECH 2025-01-27 2025-02-10         11  2.840701          MR      True  2.720701  163.242043
  APOLLOHOSP-COFORGE 2025-02-01 2025-02-11          7  3.951767          MR      True  3.831767  229.906017
           DABUR-TCS 2025-02-01 2025-02-11          7  0.639393          MR      True  0.519393   31.163604
      HAVELLS-MARICO 2025-02-07 2025-02-27         13  3.046147          MR      True  2.926147  175.568828
     COFORGE-HCLTECH 2025-02-18 2025-02-24          4  1.937696          MR      True  1.817696  109.061761
           DABUR-TCS 2025-02-25 2025-03-04          4  1.323460          MR      True  1.203460   72.207583
    DABUR-HINDUNILVR 2025-03-04 2025-03-12          6  0.855833          MR      True  0.735833   44.149961
     COFORGE-HCLTECH 2025-03-05 2025-03-26         14  0.561984          MR      True  0.441984   26.519025
BAJFINANCE-KOTAKBANK 2025-03-24 2025-04-07          9  0.317344          MR      True  0.197344   11.840651
     COFORGE-HCLTECH 2025-04-01 2025-04-11          7  4.831518          MR      True  4.711518  282.691061
  APOLLOHOSP-COFORGE 2025-04-02 2025-04-21         10 -8.361699        TIME      True -8.481699 -508.901924
           DABUR-TCS 2025-04-03 2025-04-15          6  3.173645          MR      True  3.053645  183.218705
    DABUR-HINDUNILVR 2025-04-03 2025-04-24         12  1.026725          MR      True  0.906725   54.403493
     COFORGE-HCLTECH 2025-04-23 2025-05-07          9  2.366436          MR      True  2.246436  134.786138
      HAVELLS-MARICO 2025-05-07 2025-05-20          9  1.582143          MR      True  1.462143   87.728574
           DABUR-TCS 2025-05-09 2025-05-19          6  1.095740          MR      True  0.975740   58.544398
     COFORGE-HCLTECH 2025-06-02 2025-06-11          7 -0.127039          MR      True -0.247039  -14.822340
           DABUR-TCS 2025-06-04 2025-06-12          6  2.709569          MR      True  2.589569  155.374147
    DABUR-HINDUNILVR 2025-06-13 2025-06-23          6  1.053710          MR      True  0.933710   56.022589
BAJFINANCE-KOTAKBANK 2025-06-19 2025-07-03         10  0.997051          MR      True  0.877051   52.623051
    DABUR-HINDUNILVR 2025-06-25 2025-07-21         18  0.514606          MR      True  0.394606   23.676368
           DABUR-TCS 2025-07-07 2025-07-21         10 -3.890681        TIME      True -4.010681 -240.640848
      HAVELLS-MARICO 2025-07-07 2025-07-21         10  0.603547          MR      True  0.483547   29.012825
     COFORGE-HCLTECH 2025-07-09 2025-07-30         15 -1.192370        TIME      True -1.312370  -78.742197
  APOLLOHOSP-COFORGE 2025-07-24 2025-08-07         10  2.152219        TIME      True  2.032219  121.933123
BAJFINANCE-KOTAKBANK 2025-07-28 2025-08-19         15  0.371444          MR      True  0.251444   15.086616
           DABUR-TCS 2025-08-01 2025-08-08          5  3.091902          MR      True  2.971902  178.314102
    DABUR-HINDUNILVR 2025-08-06 2025-09-02         17  0.188359          MR      True  0.068359    4.101541
     COFORGE-HCLTECH 2025-08-08 2025-08-21          8  3.174591          MR      True  3.054591  183.275471
  APOLLOHOSP-COFORGE 2025-08-11 2025-08-26         10  0.203362        TIME      True  0.083362    5.001749
           DABUR-TCS 2025-09-02 2025-09-16         10  1.366688          MR      True  1.246688   74.801258
BAJFINANCE-KOTAKBANK 2025-09-02 2025-09-17         11 -3.819990          MR      True -3.939990 -236.399392
    DABUR-HINDUNILVR 2025-09-04 2025-09-22         12  1.002708          MR      True  0.882708   52.962462
      HAVELLS-MARICO 2025-09-16 2025-10-01         11  2.482973          MR      True  2.362973  141.778404
     COFORGE-HCLTECH 2025-09-24 2025-09-30          4  0.991076          MR      True  0.871076   52.264560
    DABUR-HINDUNILVR 2025-09-26 2025-10-21         16 -0.925160          MR      True -1.045160  -62.709612
  APOLLOHOSP-COFORGE 2025-09-26 2025-10-08          7  4.681874          MR      True  4.561874  273.712418
BAJFINANCE-KOTAKBANK 2025-10-01 2025-10-27         16  2.828134          MR      True  2.708134  162.488045
           DABUR-TCS 2025-10-08 2025-10-16          6  3.078369          MR      True  2.958369  177.502114
    DABUR-HINDUNILVR 2025-10-24 2025-10-31          5  1.071171          MR      True  0.951171   57.070235
BAJFINANCE-KOTAKBANK 2025-10-31 2025-11-18         11  1.183637          MR      True  1.063637   63.818208
