date,type,ref
2018-09-28,EXIT_PERSTOCK_SMA,EXIDEIND
2018-09-28,EXIT_PERSTOCK_SMA,BRITANNIA
2018-09-28,EXIT_PERSTOCK_SMA,NESTLEIND
2018-09-28,EXIT_PERSTOCK_SMA,GODREJCP
2018-09-28,EXIT_TRAIL12,DABUR
2018-09-28,EXIT_PERSTOCK_SMA,RADICO
2018-09-28,EXIT_PERSTOCK_SMA,BERGEPAINT
2018-09-28,EXIT_PERSTOCK_SMA,PIDILITIND
2018-09-28,EXIT_PERSTOCK_SMA,FSL
2018-09-28,EXIT_RS_ROTATION,BATAINDIA
2018-09-28,ENTRY,LTTS
2018-09-28,ENTRY,TORNTPHARM
2018-10-05,EXIT_REGIME_CHUNK,to_50%
2018-10-12,EXIT_REGIME_CHUNK,to_25%
2018-10-19,EXIT_REGIME_CHUNK,to_0%
2019-01-31,ENTRY,PVRINOX
2019-01-31,ENTRY,NAUKRI
2019-01-31,ENTRY,MUTHOOTFIN
2019-01-31,ENTRY,LALPATHLAB
2019-01-31,ENTRY,COLPAL
2019-01-31,ENTRY,CUB
2019-01-31,ENTRY,TORNTPHARM
2019-01-31,ENTRY,LTIM
2019-01-31,ENTRY,MARICO
2019-01-31,ENTRY,BERGEPAINT
2019-01-31,ENTRY,PIDILITIND
2019-01-31,ENTRY,BRITANNIA
2019-02-28,EXIT_PERSTOCK_SMA,MARICO
2019-02-28,EXIT_PERSTOCK_SMA,BERGEPAINT
2019-02-28,EXIT_RS_ROTATION,LALPATHLAB
2019-02-28,EXIT_RS_ROTATION,COLPAL
2019-02-28,EXIT_RS_ROTATION,LTIM
2019-02-28,EXIT_RS_ROTATION,BRITANNIA
2019-02-28,ENTRY,PRAJIND
2019-02-28,ENTRY,ICICIGI
2019-02-28,ENTRY,ABFRL
2019-02-28,ENTRY,BAJAJHLDNG
2019-02-28,ENTRY,IPCALAB
2019-03-29,EXIT_RS_ROTATION,ABFRL
2019-03-29,ENTRY,MANAPPURAM
2019-03-29,ENTRY,PIIND
2019-03-29,ENTRY,GODREJPROP
2019-03-29,ENTRY,DCBBANK
2019-03-29,ENTRY,OBEROIRLTY
2019-04-30,EXIT_PERSTOCK_SMA,TORNTPHARM
2019-04-30,EXIT_TRAIL12,PRAJIND
2019-04-30,EXIT_PERSTOCK_SMA,BAJAJHLDNG
2019-04-30,EXIT_TRAIL12,GODREJPROP
2019-04-30,EXIT_TRAIL12,OBEROIRLTY
2019-04-30,EXIT_RS_ROTATION,PIDILITIND
2019-04-30,EXIT_RS_ROTATION,DCBBANK
2019-04-30,ENTRY,SHREECEM
2019-04-30,ENTRY,LALPATHLAB
2019-04-30,ENTRY,INDHOTEL
2019-04-30,ENTRY,IGL
2019-04-30,ENTRY,BERGEPAINT
2019-04-30,ENTRY,LTTS
2019-05-31,EXIT_RS_ROTATION,IPCALAB
2019-05-31,EXIT_RS_ROTATION,LALPATHLAB
2019-05-31,EXIT_RS_ROTATION,INDHOTEL
2019-05-31,EXIT_RS_ROTATION,BERGEPAINT
2019-05-31,EXIT_RS_ROTATION,LTTS
2019-05-31,ENTRY,ATGL
