,close
2024-09-09,26011.25
2024-09-10,26115.2
2024-09-11,25987.8
2024-09-12,26461.1
2024-09-13,26419.9
2024-09-16,26453.4
2024-09-17,26471.3
2024-09-18,26420.15
2024-09-19,26425.25
2024-09-20,26821.0
2024-09-23,27024.1
2024-09-24,27027.5
2024-09-25,27051.65
2024-09-26,27256.25
2024-09-27,27253.85
2024-09-30,26890.15
2024-10-01,26885.25
2024-10-03,26305.25
2024-10-04,26056.0
2024-10-07,25749.65
2024-10-08,26057.35
2024-10-09,26076.6
2024-10-10,26079.45
2024-10-11,26054.1
2024-10-14,26197.9
2024-10-15,26149.1
2024-10-16,26058.1
2024-10-17,25765.35
2024-10-18,25853.8
2024-10-21,25739.5
2024-10-22,25348.05
2024-10-23,25320.65
2024-10-24,25275.5
2024-10-25,25022.2
2024-10-28,25175.2
2024-10-29,25321.3
2024-10-30,25195.05
2024-10-31,25059.5
2024-11-01,25184.6
2024-11-04,24857.75
2024-11-05,25060.8
2024-11-06,25403.15
2024-11-07,25110.7
2024-11-08,25002.95
2024-11-11,25013.3
2024-11-12,24715.55
2024-11-13,24347.0
2024-11-14,24366.05
2024-11-18,24301.0
2024-11-19,24374.7
2024-11-21,24135.1
2024-11-22,24655.35
2024-11-25,24993.65
2024-11-26,24983.1
2024-11-27,25115.15
2024-11-28,24836.25
2024-11-29,25053.95
2024-12-02,25198.15
2024-12-03,25393.25
2024-12-04,25428.4
2024-12-05,25657.85
2024-12-06,25663.9
2024-12-09,25594.2
2024-12-10,25600.2
2024-12-11,25635.05
2024-12-12,25546.4
2024-12-13,25724.6
2024-12-16,25652.85
2024-12-17,25321.65
2024-12-18,25137.6
2024-12-19,24884.95
2024-12-20,24448.85
2024-12-23,24599.75
2024-12-24,24572.5
2024-12-26,24611.35
2024-12-27,24632.0
2024-12-30,24500.75
2024-12-31,24495.55
2025-01-01,24595.7
2025-01-02,25028.8
2025-01-03,24879.85
2025-01-06,24404.6
2025-01-07,24478.1
2025-01-08,24426.0
2025-01-09,24232.3
2025-01-10,24064.75
