variant,symbol,date,direction,or_high,or_low,entry_time,entry,stop,target,qty,rsi_at_entry,vwap_at_entry,gap_pct,exit_time,exit_price,exit_reason,trailed,gross_pnl,cost,net_pnl
target_2.0R,ASIANPAINT,2024-07-10,LONG,2914.90,2900.00,2024-07-10T11:05:00,2917.85,2900.00,2953.55,17,68.8,2908.78,-0.0017,2024-07-10T13:45:00,2953.55,TARGET,0,606.90,249.53,357.37
target_2.0R,BAJAJFINSV,2024-07-11,LONG,1589.05,1576.00,2024-07-11T10:05:00,1589.80,1576.00,1617.40,31,56.63,1583.68,0.0009,2024-07-11T15:20:00,1589.95,EOD,0,4.65,246.43,-241.78
target_2.0R,ADANIPORTS,2024-07-11,SHORT,1498.50,1487.00,2024-07-11T10:10:00,1483.85,1498.50,1454.55,33,30.9,1490.95,0.0048,2024-07-11T15:20:00,1487.20,EOD,0,-110.55,245.11,-355.66
target_2.0R,AMBUJACEM,2024-07-12,SHORT,682.45,676.00,2024-07-12T10:30:00,675.35,682.45,661.15,74,66.08,679.0,0.002,2024-07-12T15:20:00,676.20,EOD,0,-62.90,250.04,-312.94
target_2.0R,ADANIPORTS,2024-07-12,LONG,1492.95,1484.35,2024-07-12T11:00:00,1494.00,1484.35,1513.30,33,71.99,1489.16,0.0041,2024-07-12T12:30:00,1484.35,STOP,0,-318.45,245.71,-564.16
target_2.0R,ASIANPAINT,2024-07-12,SHORT,3029.70,3000.00,2024-07-12T11:05:00,2992.90,3029.70,2919.30,16,38.72,2999.36,0.001,2024-07-12T13:30:00,3029.70,STOP,0,-588.80,240.90,-829.70
target_2.0R,BAJAJ-AUTO,2024-07-12,SHORT,9299.50,9202.50,2024-07-12T12:30:00,9202.00,9299.50,9007.00,5,31.01,9265.58,0.0035,2024-07-12T15:20:00,9185.50,EOD,0,82.50,229.84,-147.34
target_2.0R,BAJAJ-AUTO,2024-07-15,LONG,9343.00,9171.50,2024-07-15T11:25:00,9353.00,9443.75,9716.00,5,73.75,9316.23,0.0,2024-07-15T14:00:00,9443.75,TRAIL,1,453.75,234.96,218.79
target_2.0R,ADANIPORTS,2024-07-15,LONG,1496.50,1485.30,2024-07-15T11:50:00,1496.90,1485.30,1520.10,33,72.77,1492.89,0.0049,2024-07-15T15:20:00,1495.25,EOD,0,-54.45,246.85,-301.30
target_2.0R,AMBUJACEM,2024-07-15,LONG,688.15,681.50,2024-07-15T12:25:00,688.40,681.50,702.20,72,67.77,684.97,0.0149,2024-07-15T15:20:00,684.00,EOD,0,-316.80,247.03,-563.83
target_2.0R,BAJAJFINSV,2024-07-18,LONG,1613.60,1593.05,2024-07-18T09:50:00,1614.30,1624.92,1656.80,30,39.57,1606.18,-0.0022,2024-07-18T15:20:00,1652.35,EOD,1,1141.50,245.00,896.50
target_2.0R,ADANIPORTS,2024-07-18,SHORT,1499.05,1474.00,2024-07-18T11:15:00,1473.75,1499.05,1423.15,33,41.54,1484.07,-0.006,2024-07-18T14:00:00,1499.05,STOP,0,-834.90,245.26,-1080.16
target_2.0R,AMBUJACEM,2024-07-19,SHORT,692.45,683.30,2024-07-19T10:00:00,681.45,692.45,659.45,73,72.07,686.0,0.0012,2024-07-19T15:20:00,677.95,EOD,0,255.50,248.09,7.41
target_2.0R,BAJAJ-AUTO,2024-07-19,SHORT,9436.00,9354.50,2024-07-19T10:00:00,9333.50,9282.25,9128.50,5,54.98,9395.75,0.0009,2024-07-19T15:20:00,9128.50,TARGET,1,1025.00,230.78,794.23
target_2.0R,BAJAJFINSV,2024-07-19,SHORT,1654.95,1639.00,2024-07-19T10:10:00,1638.05,1654.95,1604.25,30,65.85,1644.18,0.0005,2024-07-19T13:30:00,1654.95,STOP,0,-507.00,246.97,-753.98
target_2.0R,ADANIPORTS,2024-07-19,SHORT,1502.20,1483.15,2024-07-19T10:35:00,1481.60,1471.30,1440.40,33,61.02,1491.29,-0.0009,2024-07-19T14:50:00,1471.30,TRAIL,1,339.90,243.61,96.29
target_2.0R,ADANIPORTS,2024-07-23,LONG,1477.00,1467.00,2024-07-23T10:35:00,1482.50,1467.00,1513.50,33,44.59,1474.02,0.0004,2024-07-23T12:20:00,1467.00,STOP,0,-511.50,243.33,-754.83
target_2.0R,BAJAJ-AUTO,2024-07-23,LONG,9221.00,9119.00,2024-07-23T11:05:00,9226.00,9119.00,9440.00,5,54.53,9175.91,0.0027,2024-07-23T12:15:00,9119.00,STOP,0,-535.00,229.31,-764.31
target_2.0R,BAJAJFINSV,2024-07-23,SHORT,1647.95,1617.65,2024-07-23T11:50:00,1617.30,1647.95,1556.00,30,27.81,1624.69,0.0024,2024-07-23T15:20:00,1614.95,EOD,0,70.50,242.42,-171.92
target_2.0R,AMBUJACEM,2024-07-23,SHORT,695.00,683.85,2024-07-23T12:15:00,681.20,695.00,653.60,73,27.92,687.46,0.0013,2024-07-23T15:20:00,690.40,EOD,0,-671.60,250.32,-921.92
target_2.0R,ASIANPAINT,2024-07-23,SHORT,2947.30,2920.00,2024-07-23T12:15:00,2919.65,2905.82,2864.35,17,33.91,2926.02,0.0,2024-07-23T14:10:00,2905.82,TRAIL,1,235.03,247.58,-12.56
target_2.0R,BAJAJFINSV,2024-07-24,SHORT,1611.90,1600.05,2024-07-24T10:00:00,1594.05,1585.12,1558.35,31,29.17,1605.69,-0.0113,2024-07-24T15:20:00,1582.10,EOD,1,370.45,246.15,124.30
target_2.0R,ADANIPORTS,2024-07-24,SHORT,1513.55,1496.00,2024-07-24T10:05:00,1494.40,1484.83,1456.10,33,31.71,1502.59,0.0004,2024-07-24T14:00:00,1484.83,TRAIL,1,315.97,245.79,70.19
