date,daily_pnl,equity
2024-09-19,-1551.77,207089.52
2024-09-20,-1046.00,206043.52
2024-09-24,-1454.88,204588.65
2024-09-25,-2565.73,202022.92
2024-09-26,-633.15,201389.77
2024-09-27,-319.39,201070.38
2024-09-30,-1052.20,200018.18
2024-10-03,754.51,200772.69
2024-10-04,-5110.73,195661.96
2024-10-07,-465.69,195196.27
2024-10-08,500.78,195697.05
2024-10-10,-294.32,195402.73
2024-10-11,-940.47,194462.26
2024-10-14,-1169.38,193292.88
2024-10-15,-1712.76,191580.12
2024-10-16,-2479.23,189100.89
2024-10-18,-463.08,188637.80
2024-10-21,-930.24,187707.57
2024-10-22,-862.93,186844.64
2024-10-23,-2069.38,184775.26
2024-10-24,-867.17,183908.09
2024-10-28,70.38,183978.47
2024-10-29,-2306.19,181672.28
2024-10-31,335.64,182007.92
2024-11-04,-941.49,181066.43
2024-11-05,-389.63,180676.79
2024-11-06,-652.04,180024.75
2024-11-07,-842.25,179182.51
2024-11-08,-791.81,178390.70
2024-11-11,-2001.34,176389.36
2024-11-12,-213.82,176175.54
2024-11-13,-225.12,175950.42
2024-11-14,-31.22,175919.20
2024-11-19,18.70,175937.90
2024-11-21,-57.81,175880.09
2024-11-22,-413.89,175466.19
2024-11-25,-213.42,175252.77
2024-11-27,-711.84,174540.93
2024-11-28,-2273.19,172267.74
2024-11-29,-1985.80,170281.94
2024-12-02,-1975.75,168306.19
2024-12-03,436.85,168743.04
2024-12-05,-1816.39,166926.65
2024-12-06,-262.72,166663.93
2024-12-09,-1418.92,165245.01
2024-12-10,-768.44,164476.57
2024-12-11,21.19,164497.76
2024-12-13,-1638.79,162858.97
2024-12-16,-526.25,162332.72
2024-12-17,-1466.94,160865.78
2024-12-18,-83.74,160782.04
2024-12-19,-720.56,160061.48
2024-12-23,-739.36,159322.12
2024-12-24,-1765.37,157556.76
2024-12-26,29.83,157586.59
2024-12-27,-1608.46,155978.12
2024-12-30,-808.15,155169.97
2024-12-31,-1691.05,153478.92
2025-01-01,-729.28,152749.64
2025-01-02,-1219.68,151529.96
2025-01-03,-51.09,151478.87
2025-01-06,901.78,152380.65
2025-01-08,771.59,153152.24
2025-01-09,-420.71,152731.53
2025-01-10,-494.18,152237.35
2025-01-14,-33.21,152204.14
2025-01-15,-1057.31,151146.83
2025-01-16,-998.57,150148.26
2025-01-17,-1619.16,148529.09
2025-01-20,176.44,148705.54
2025-01-22,-832.84,147872.70
2025-01-23,-424.16,147448.54
2025-01-24,-1604.50,145844.04
2025-01-27,-4255.87,141588.17
2025-01-28,-499.33,141088.84
2025-01-30,216.22,141305.06
2025-01-31,-216.60,141088.47
2025-02-01,798.93,141887.39
2025-02-03,-939.97,140947.43
2025-02-04,1591.45,142538.88
2025-02-05,-1040.91,141497.97
2025-02-07,-2156.76,139341.20
2025-02-10,-1490.80,137850.40
2025-02-11,221.50,138071.90
2025-02-12,-1293.66,136778.24
2025-02-13,-2102.89,134675.35
2025-02-17,-1059.49,133615.86
2025-02-18,-1926.10,131689.76
2025-02-19,-1156.87,130532.89
2025-02-20,-232.98,130299.92
2025-02-21,-1001.40,129298.52
2025-02-24,-1242.64,128055.88
2025-02-25,-589.47,127466.41
2025-02-27,-495.99,126970.43
2025-02-28,676.71,127647.14
2025-03-04,1283.40,128930.54
2025-03-05,1983.30,130913.84
2025-03-06,563.56,131477.40
2025-03-07,-472.34,131005.06
2025-03-11,-1058.09,129946.97
2025-03-12,-838.03,129108.94
2025-03-13,-848.83,128260.11
2025-03-17,-1669.71,126590.40
2025-03-19,-301.17,126289.23
2025-03-20,-591.81,125697.42
2025-03-21,-310.21,125387.21
2025-03-24,-1071.29,124315.93
2025-03-25,-410.57,123905.35
2025-03-27,912.11,124817.46
2025-03-28,-524.19,124293.27
2025-04-01,-213.70,124079.57
2025-04-02,-2229.97,121849.59
2025-04-04,-525.20,121324.39
2025-04-08,-1191.96,120132.44
2025-04-09,-1833.62,118298.81
2025-04-16,147.35,118446.16
2025-04-17,1111.06,119557.22
2025-04-21,772.21,120329.43
2025-04-22,-897.24,119432.18
2025-04-23,-1603.59,117828.59
2025-04-24,-1137.18,116691.41
2025-04-28,-934.62,115756.79
2025-04-29,-1795.02,113961.77
2025-04-30,-1572.23,112389.54
2025-05-02,-1088.57,111300.97
2025-05-06,-553.53,110747.44
2025-05-07,-2380.57,108366.87
2025-05-08,1227.81,109594.68
2025-05-09,-479.63,109115.05
2025-05-12,428.24,109543.29
2025-05-14,-635.69,108907.60
2025-05-15,-808.40,108099.21
2025-05-16,-570.52,107528.69
2025-05-19,-547.00,106981.69
2025-05-20,1215.40,108197.09
2025-05-22,-89.12,108107.97
2025-05-23,-872.98,107234.99
2025-05-26,-1165.80,106069.18
2025-05-27,-2315.32,103753.87
2025-05-28,-1850.64,101903.23
2025-05-30,-27.44,101875.78
2025-06-02,-418.04,101457.74
2025-06-03,-494.41,100963.33
2025-06-04,593.22,101556.56
2025-06-05,-1337.73,100218.83
2025-06-09,-1694.80,98524.04
2025-06-10,-1264.36,97259.67
2025-06-11,-675.84,96583.83
2025-06-12,-595.17,95988.66
2025-06-13,-302.32,95686.34
2025-06-16,-1724.31,93962.02
2025-06-17,-930.33,93031.69
2025-06-18,39.54,93071.23
2025-06-19,-898.86,92172.37
2025-06-20,-250.42,91921.95
2025-06-23,-1047.07,90874.88
2025-06-24,-319.40,90555.48
2025-06-25,-1382.64,89172.84
2025-06-26,-371.64,88801.20
2025-06-27,-697.75,88103.45
2025-07-01,-1282.19,86821.26
2025-07-02,645.65,87466.91
2025-07-03,-1332.34,86134.57
2025-07-04,-651.37,85483.20
2025-07-07,-951.26,84531.94
2025-07-09,-1873.49,82658.45
2025-07-10,-145.52,82512.93
2025-07-11,602.00,83114.93
2025-07-14,-1521.91,81593.02
2025-07-15,-495.88,81097.14
2025-07-17,-1431.71,79665.43
2025-07-18,-1417.04,78248.39
2025-07-21,120.62,78369.00
2025-07-22,129.97,78498.97
2025-07-23,-1552.20,76946.77
2025-07-25,-566.12,76380.66
2025-07-28,-194.55,76186.10
2025-07-29,-602.30,75583.81
2025-07-30,-185.14,75398.67
2025-07-31,-2267.22,73131.45
2025-08-04,552.31,73683.76
2025-08-05,-1198.41,72485.35
2025-08-06,332.64,72817.99
2025-08-07,-614.49,72203.51
2025-08-08,-111.82,72091.68
2025-08-11,-710.70,71380.98
2025-08-12,-571.06,70809.92
2025-08-13,-346.76,70463.15
2025-08-14,-1077.81,69385.35
2025-08-18,87.37,69472.71
2025-08-19,-1058.39,68414.32
2025-08-20,-1450.29,66964.04
2025-08-21,-152.88,66811.16
2025-08-22,-686.57,66124.59
2025-08-26,-691.08,65433.52
2025-08-28,-2119.85,63313.67
2025-08-29,-1807.60,61506.07
2025-09-01,596.25,62102.32
2025-09-03,-754.97,61347.35
2025-09-04,-358.27,60989.07
2025-09-05,-749.52,60239.55
2025-09-08,-26.72,60212.83
2025-09-09,-1052.48,59160.35
2025-09-11,520.15,59680.50
2025-09-12,-691.67,58988.83
2025-09-15,-277.36,58711.47
2025-09-16,-1416.57,57294.90
2025-09-17,-928.69,56366.21
2025-09-19,-268.79,56097.42
2025-09-22,-453.28,55644.15
2025-09-23,-60.13,55584.01
2025-09-24,-2235.61,53348.40
2025-09-25,-22.51,53325.89
2025-09-29,-1892.62,51433.27
2025-09-30,-131.11,51302.17
2025-10-01,-990.76,50311.41
2025-10-03,-61.64,50249.77
2025-10-06,-934.95,49314.82
2025-10-07,-990.13,48324.69
2025-10-08,-944.48,47380.21
2025-10-09,-1432.63,45947.58
2025-10-10,-982.92,44964.66
2025-10-13,751.69,45716.36
2025-10-14,-302.47,45413.89
2025-10-15,569.59,45983.48
2025-10-16,-1680.00,44303.48
2025-10-17,-918.11,43385.37
2025-10-23,-473.55,42911.82
2025-10-24,-962.53,41949.29
2025-10-27,-1871.89,40077.39
2025-10-29,858.49,40935.88
2025-10-30,-540.11,40395.78
2025-10-31,-1563.79,38831.99
2025-11-03,-1155.83,37676.16
2025-11-04,-1463.26,36212.91
2025-11-06,-1566.19,34646.72
2025-11-07,631.03,35277.75
2025-11-10,-677.82,34599.93
2025-11-11,49.71,34649.64
2025-11-12,-432.57,34217.07
2025-11-14,-890.21,33326.86
2025-11-17,-1426.87,31899.99
2025-11-18,-40.08,31859.91
2025-11-19,-162.70,31697.21
2025-11-20,522.98,32220.19
2025-11-24,-284.42,31935.77
2025-11-27,-424.85,31510.92
2025-11-28,-611.57,30899.35
2025-12-01,-100.96,30798.40
2025-12-02,-314.09,30484.31
2025-12-05,-266.86,30217.44
2025-12-08,238.80,30456.24
2025-12-09,140.38,30596.62
2025-12-10,-54.09,30542.54
2025-12-11,-547.34,29995.19
2025-12-12,-513.18,29482.01
2025-12-16,239.68,29721.69
2025-12-17,316.82,30038.51
2025-12-18,-1244.70,28793.81
2025-12-19,-575.53,28218.28
2025-12-22,-207.06,28011.22
2025-12-24,-729.12,27282.10
2025-12-29,-275.24,27006.86
2025-12-30,-659.12,26347.73
2026-01-01,-637.90,25709.84
2026-01-02,-610.44,25099.40
2026-01-07,-82.92,25016.48
2026-01-09,-123.58,24892.90
2026-01-13,53.17,24946.06
2026-01-14,-369.16,24576.90
2026-01-19,-367.62,24209.28
2026-01-20,607.72,24817.00
2026-01-23,949.67,25766.67
2026-02-03,59.61,25826.28
2026-02-10,-291.94,25534.34
2026-02-19,-25.81,25508.53
2026-02-26,-587.39,24921.14
2026-03-04,-479.12,24442.02
2026-03-10,97.02,24539.04
