book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
CSL30F_NIFTY,NIFTY,2026-08-24,1,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24335.75,24297.35,125.85,163.05,SL_DWELL,11:37:00,-4996,124.85,164.05,SL,13:06,-5096,-6850,118.5,156.8,SL,11:06,-4979,-6731,119,TOUCH
CSL_TIMEB2_NIFTY,NIFTY,2026-08-24,1,10:00->12:00 SL25,10:00,12:00,25,130,2,PAPER,,24250,24300,1,1,24308.6,24268.2,130.5,134.3,TIME_EXIT,12:00:04,-654,130.4,134.45,TIME,12:00,-526,-624,116.9,149.25,SL,11:31,-4205,-5957,-5334,TOUCH
CSL_TIMEB_NIFTY_MON,NIFTY,2026-08-24,1,13:00->14:00 SL20,13:00,14:00,20,520,8,PAPER,,24200,24200,0,0,24200.55,24181.85,123.35,119.65,TIME_EXIT,14:00:02,1764,123.75,119.65,TIME,14:00,2132,1752,123.75,119.65,TIME,14:00,2132,1752,0,TOUCH
NAS_C20_TRAIL,NIFTY,2026-08-24,1,09:16->15:20 SL20+trail,09:16,15:20,20,130,2,PAPER,trail,24300,24350,1,1,24335.75,24297.35,126.0,26,TRAIL_EXIT,14:31:11,-3442,124.85,156.05,SL,11:32,-4056,-5810,118.5,147.6,SL,11:04,-3783,-5535,275,TOUCH
CSL30F_SENSEX,SENSEX,2026-08-24,3,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77700,77900,1,2,77868.3,77742.17,663.3,688.6,TIME_EXIT,15:20:00,-1678,664.8,683.4,TIME,15:20,-1116,-1241,642.65,784.05,SL,11:32,-8484,-9374,-8133,TOUCH
NAS_C20_SHIFT,NIFTY,2026-08-24,1,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24200,24350,1,3,24335.75,24297.35,132.5,119.8,TIME_EXIT,15:20:00,-2348,173.8,118.7,TIME,15:20,7163,7059,118.5,147.6,SL,11:04,-3783,-5535,-12594,TOUCH
NAS_C20_TRAIL,NIFTY,2026-08-25,0,09:16->15:20 SL20+trail,09:16,15:20,20,130,2,PAPER,trail,24150,24150,0,0,24145.5,24147.45,81.75,22.3,TRAIL_EXIT,09:39:02,-2246,83.4,108.1,SL,14:52,-3211,-4954,83.4,108.1,SL,14:52,-3211,-4954,0,TOUCH
CSL_TIMEB_NIFTY,NIFTY,2026-08-25,0,09:30->11:00 SL25,09:30,11:00,25,520,8,REAL,,24200,24200,0,0,24199.1,24181.5,82.7,75.85,TIME_EXIT,11:00:06,3402,82.2,75.8,TIME,11:00,3328,2989,82.2,75.8,TIME,11:00,3328,2989,0,TOUCH
CSL_TIMEB2_NIFTY,NIFTY,2026-08-25,0,13:00->14:00 SL25,13:00,14:00,25,130,2,PAPER,,24150,24150,0,0,24169.0,24157.05,53.7,45.8,TIME_EXIT,14:00:01,867,54.4,45.4,TIME,14:00,1170,1092,54.4,45.4,TIME,14:00,1170,1092,0,TOUCH
CSL30F_NIFTY,NIFTY,2026-08-25,0,09:16->15:20 SL25,09:16,15:20,25,130,2,PAPER,,24150,24150,0,0,24145.5,24147.45,81.75,104.25,SL_DWELL,14:51:58,-3085,83.4,108.1,SL,14:52,-3211,-4954,83.4,108.1,SL,14:52,-3211,-4954,0,TOUCH
