book,venue,day,dte,misstrike,steps_off,net_delta,qty,spot_entry,spot_exit,move,rs_per_100pt,delta_pnl,booked_pnl,reason
CSL30F_NIFTY,NIFTY,2026-08-24,1,1,1,-0.1865,130,24297.3,24176.7,-120.6,-2424,2925,-4996,SL_DWELL
CSL_TIMEB2_NIFTY,NIFTY,2026-08-24,1,1,1,-0.3017,130,24268.2,24181.1,-87.1,-3922,3416,-654,TIME_EXIT
CSL_TIMEB_NIFTY_MON,NIFTY,2026-08-24,1,0,0,-0.0054,520,24181.8,24158.5,-23.3,-281,66,1764,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-24,1,1,1,-0.188,130,24297.3,24170.4,-126.9,-2444,3103,-3442,TRAIL_EXIT
CSL30F_SENSEX,SENSEX,2026-08-24,3,1,2,-0.1679,60,77742.2,77328.1,-414.1,-1007,4171,-1678,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-25,0,0,0,0.0326,130,24147.5,24174.8,27.4,424,116,-2246,TRAIL_EXIT
CSL_TIMEB_NIFTY,NIFTY,2026-08-25,0,0,0,0.0052,520,24181.5,24142.7,-38.8,270,-105,3402,TIME_EXIT
CSL_TIMEB2_NIFTY,NIFTY,2026-08-25,0,0,0,-0.2326,130,24157.0,24156.6,-0.5,-3024,14,867,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-25,0,0,0,0.0334,130,24147.5,24219.5,72.0,434,313,-3085,SL_DWELL
NAS_COMB20,NIFTY,2026-08-25,0,0,0,0.0327,130,24147.5,24230.6,83.1,425,353,-3725,SL_DWELL
CSL30F_SENSEX,SENSEX,2026-08-25,2,0,0,-0.056,60,77172.5,77474.2,301.6,-336,-1014,-8335,SL_DWELL
NAS_C20_SHIFT,NIFTY,2026-08-25,0,1,-1,0.4303,130,24147.5,24260.0,112.6,5594,6299,-1535,TIME_EXIT
CSL_TIMEB_SENSEX,SENSEX,2026-08-26,1,1,2,-0.268,160,77737.3,77692.9,-44.4,-4288,1905,2282,TIME_EXIT
CSL30F_SENSEX_WED,SENSEX,2026-08-26,1,1,1,-0.171,60,77903.0,77614.3,-288.7,-1026,2962,2115,TIME_EXIT
CSL30F_NIFTY,NIFTY,2026-08-26,4,1,2,-0.2267,130,24337.3,24276.9,-60.4,-2947,1780,1498,TIME_EXIT
CSL30F_SENSEX,SENSEX,2026-08-26,1,1,1,-0.1692,60,77903.0,77614.3,-288.7,-1015,2931,2345,TIME_EXIT
NAS_C20_TRAIL,NIFTY,2026-08-26,4,1,2,-0.2266,130,24337.3,24276.9,-60.4,-2946,1779,1510,TIME_EXIT
NAS_C20_SHIFT,NIFTY,2026-08-26,4,1,2,-0.2266,130,24337.3,24276.9,-60.4,-2946,1779,1510,TIME_EXIT
