symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CAPLIPOINT,vwap_v,short,442,239,0.3138,0.8541,-0.3897,1.002,10.47,0.015,0.14
CARBORUNIV,vwap_v,long,442,255,0.2824,0.9024,-0.394,0.901,15.503,-0.739,-7.12
CARBORUNIV,vwap_v,short,442,260,0.3423,0.8915,-0.3845,1.207,5.2,1.326,13.59
CARERATING,vwap_v,long,442,272,0.2757,0.8656,-0.3966,0.831,20.4,-1.315,-13.22
CARERATING,vwap_v,short,442,279,0.3047,0.8755,-0.3919,0.979,6.57,-0.153,-1.62
CASTROLIND,vwap_v,long,442,234,0.2863,0.6668,-0.3702,0.723,19.501,-2.222,-17.15
CASTROLIND,vwap_v,short,442,244,0.4221,0.654,-0.3631,1.316,5.302,1.85,16.16
CCL,vwap_v,long,442,247,0.2348,0.9181,-0.393,0.717,24.598,-2.378,-21.02
CCL,vwap_v,short,442,239,0.318,0.8032,-0.3922,0.955,8.832,-0.325,-2.89
CDSL,vwap_v,long,442,237,0.2743,0.7643,-0.3903,0.74,24.198,-2.143,-17.45
CDSL,vwap_v,short,442,244,0.373,0.7853,-0.3807,1.227,8.318,1.434,13.21
CEATLTD,vwap_v,long,442,228,0.307,0.8637,-0.3916,0.977,12.463,-0.163,-1.42
CEATLTD,vwap_v,short,442,229,0.345,0.8853,-0.3891,1.198,6.938,1.284,11.58
CENTRALBK,vwap_v,long,442,215,0.307,0.8327,-0.3897,0.947,7.415,-0.387,-3.1
CENTRALBK,vwap_v,short,442,222,0.4189,0.7968,-0.3841,1.496,3.357,2.827,24.56
CENTURYPLY,vwap_v,long,442,263,0.2928,0.8019,-0.3939,0.843,12.722,-1.211,-11.52
CENTURYPLY,vwap_v,short,442,233,0.3391,0.8518,-0.3953,1.105,6.312,0.708,6.41
CERA,vwap_v,long,442,260,0.35,0.6989,-0.3792,0.993,8.276,-0.051,-0.48
CERA,vwap_v,short,442,223,0.3677,0.6583,-0.3814,1.004,9.887,0.026,0.2
CESC,vwap_v,long,442,258,0.3256,0.7875,-0.3915,0.971,11.924,-0.206,-1.98
CESC,vwap_v,short,442,243,0.3374,0.8324,-0.3906,1.085,10.236,0.579,5.37
CGCL,vwap_v,long,442,264,0.2386,0.856,-0.3955,0.678,37.776,-2.776,-25.56
CGCL,vwap_v,short,442,258,0.3295,0.862,-0.3943,1.074,7.325,0.507,5.06
CHALET,vwap_v,long,442,232,0.2845,0.9375,-0.3881,0.961,16.313,-0.285,-2.54
CHALET,vwap_v,short,442,198,0.3535,0.86,-0.3958,1.188,4.615,1.218,9.53
CHAMBLFERT,vwap_v,long,442,277,0.3574,0.7814,-0.3889,1.117,9.028,0.779,8.12
CHAMBLFERT,vwap_v,short,442,245,0.3388,0.8252,-0.3962,1.067,11.155,0.46,4.3
CHENNPETRO,vwap_v,long,442,220,0.3682,0.8685,-0.3906,1.296,5.848,1.824,16.06
CHENNPETRO,vwap_v,short,442,208,0.4038,0.8205,-0.3894,1.427,5.726,2.51,20.63
CHOLAHLDNG,vwap_v,long,442,259,0.332,0.9404,-0.39,1.199,7.391,1.286,13.41
CHOLAHLDNG,vwap_v,short,442,230,0.3565,0.9053,-0.3969,1.264,5.063,1.664,15.49
COCHINSHIP,vwap_v,long,442,229,0.2314,0.8672,-0.3967,0.658,25.042,-2.992,-23.86
COCHINSHIP,vwap_v,short,442,215,0.2884,0.7772,-0.3891,0.81,15.288,-1.482,-11.34
CONCOR,vwap_v,long,442,271,0.2768,0.7994,-0.3817,0.801,22.236,-1.559,-14.86
CONCOR,vwap_v,short,442,258,0.3915,0.6876,-0.3799,1.164,7.058,1.055,9.8
COROMANDEL,vwap_v,long,442,258,0.3605,0.8901,-0.3897,1.287,5.98,1.789,18.48
COROMANDEL,vwap_v,short,442,254,0.3622,0.8697,-0.3918,1.261,6.147,1.634,16.54
CREDITACC,vwap_v,long,442,219,0.2831,0.9223,-0.3911,0.931,8.227,-0.503,-4.23
CREDITACC,vwap_v,short,442,233,0.3991,0.8389,-0.3858,1.445,4.862,2.59,24.01
CRISIL,vwap_v,long,442,249,0.3012,0.827,-0.3863,0.923,12.484,-0.566,-5.19
CRISIL,vwap_v,short,442,235,0.3872,0.8057,-0.3808,1.337,7.144,2.023,18.49
CROMPTON,vwap_v,long,442,276,0.3297,0.736,-0.3866,0.937,11.377,-0.458,-4.54
CROMPTON,vwap_v,short,442,240,0.3375,0.7708,-0.376,1.044,9.524,0.301,2.65
CUB,vwap_v,long,442,249,0.3173,0.8216,-0.3934,0.971,15.13,-0.21,-1.97
CUB,vwap_v,short,442,227,0.3348,0.8668,-0.3922,1.113,9.118,0.755,6.66
CYIENT,vwap_v,long,442,281,0.2633,0.8203,-0.39,0.752,21.769,-2.015,-20.03
CYIENT,vwap_v,short,442,248,0.3306,0.8382,-0.3916,1.057,10.32,0.393,3.73
DALBHARAT,vwap_v,long,442,282,0.3582,0.7643,-0.3832,1.113,7.053,0.744,7.82
DALBHARAT,vwap_v,short,442,265,0.3547,0.7746,-0.3837,1.11,6.327,0.726,7.21
DBL,vwap_v,long,442,245,0.2531,0.8693,-0.3959,0.744,25.356,-2.107,-18.56
DBL,vwap_v,short,442,232,0.3836,0.9039,-0.3977,1.415,3.8,2.476,23.58
DCBBANK,vwap_v,long,442,230,0.3304,0.7664,-0.3902,0.969,11.834,-0.216,-1.84
DCBBANK,vwap_v,short,442,240,0.3167,0.7016,-0.3886,0.837,16.873,-1.251,-10.42
DCMSHRIRAM,vwap_v,long,442,267,0.2772,0.8751,-0.3914,0.857,13.713,-1.087,-10.79
DCMSHRIRAM,vwap_v,short,442,260,0.2769,0.8732,-0.3932,0.851,20.188,-1.148,-11.05
DEEPAKNTR,vwap_v,long,442,244,0.3115,0.7793,-0.3772,0.935,11.734,-0.469,-4.15
DEEPAKNTR,vwap_v,short,442,223,0.4081,0.7016,-0.3716,1.302,6.925,1.811,14.8
DELTACORP,vwap_v,long,442,209,0.2584,0.8484,-0.3764,0.785,17.317,-1.682,-12.53
