symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CARBORUNIV,multi_bar,short,442,80,0.375,0.947,-0.3757,1.512,2.4,2.895,9.62
CARERATING,multi_bar,long,442,254,0.2874,0.9631,-0.3943,0.985,9.39,-0.106,-1.06
CARERATING,multi_bar,short,442,49,0.4286,0.8221,-0.3907,1.578,2.163,3.169,6.32
CASTROLIND,multi_bar,long,442,266,0.2556,0.7044,-0.3769,0.642,26.325,-3.077,-26.72
CASTROLIND,multi_bar,short,442,100,0.42,0.7986,-0.387,1.494,4.867,2.797,11.09
CCL,multi_bar,long,442,259,0.2124,0.8911,-0.3957,0.607,34.311,-3.591,-31.71
CCL,multi_bar,short,442,72,0.2917,0.8875,-0.3888,0.94,5.312,-0.433,-1.19
CDSL,multi_bar,long,442,281,0.2954,0.8525,-0.393,0.909,11.564,-0.675,-7.06
CDSL,multi_bar,short,442,101,0.3564,0.842,-0.384,1.215,4.898,1.373,5.36
CEATLTD,multi_bar,long,442,273,0.315,0.9208,-0.3972,1.066,22.121,0.456,4.92
CEATLTD,multi_bar,short,442,85,0.3412,0.8917,-0.4,1.154,3.915,1.021,3.46
CENTRALBK,multi_bar,long,442,240,0.2625,0.7828,-0.3924,0.71,20.673,-2.435,-20.14
CENTRALBK,multi_bar,short,442,82,0.4024,0.6923,-0.4,1.166,4.465,1.075,3.24
CENTURYPLY,multi_bar,long,442,255,0.2627,0.8913,-0.3889,0.817,17.529,-1.431,-13.4
CENTURYPLY,multi_bar,short,442,60,0.2833,0.9305,-0.3904,0.942,5.168,-0.42,-0.97
CERA,multi_bar,long,442,248,0.3105,0.8113,-0.3878,0.942,9.187,-0.416,-3.83
CERA,multi_bar,short,442,55,0.3636,0.7463,-0.3946,1.081,3.264,0.548,1.11
CESC,multi_bar,long,442,287,0.3031,0.7937,-0.3873,0.892,20.484,-0.803,-8.4
CESC,multi_bar,short,442,87,0.4713,0.8674,-0.4,1.933,2.0,4.713,17.16
CGCL,multi_bar,long,442,233,0.2189,0.9457,-0.3952,0.671,25.237,-2.86,-23.69
CGCL,multi_bar,short,442,79,0.4051,0.9024,-0.3881,1.583,2.8,3.268,10.64
CHALET,multi_bar,long,442,266,0.3045,0.931,-0.3944,1.034,14.892,0.235,2.45
CHALET,multi_bar,short,442,69,0.3768,0.9111,-0.4,1.377,2.8,2.281,6.49
CHAMBLFERT,multi_bar,long,442,273,0.3553,0.8194,-0.3843,1.175,7.222,1.13,11.85
CHAMBLFERT,multi_bar,short,442,80,0.35,0.8423,-0.3985,1.138,5.34,0.916,2.86
CHENNPETRO,multi_bar,long,442,241,0.3402,0.9238,-0.3987,1.195,10.348,1.269,12.36
CHENNPETRO,multi_bar,short,442,99,0.3131,0.8806,-0.3939,1.019,4.6,0.135,0.51
CHOLAHLDNG,multi_bar,long,442,258,0.3372,0.9535,-0.3968,1.223,8.057,1.433,15.1
CHOLAHLDNG,multi_bar,short,442,65,0.4,0.9907,-0.4,1.651,2.8,3.61,10.16
COCHINSHIP,multi_bar,long,442,237,0.2574,0.9412,-0.3941,0.828,14.895,-1.347,-11.95
COCHINSHIP,multi_bar,short,442,101,0.3465,0.9004,-0.4,1.194,4.396,1.255,5.11
CONCOR,multi_bar,long,442,302,0.3411,0.7581,-0.3925,1.0,9.452,-0.003,-0.03
CONCOR,multi_bar,short,442,58,0.3276,0.6057,-0.3908,0.755,4.762,-1.98,-3.73
COROMANDEL,multi_bar,long,442,323,0.3529,0.903,-0.3926,1.255,7.187,1.611,20.89
COROMANDEL,multi_bar,short,442,57,0.3158,0.9247,-0.3931,1.086,4.695,0.579,1.31
CREDITACC,multi_bar,long,442,263,0.3042,0.9209,-0.3962,1.016,11.311,0.113,1.16
CREDITACC,multi_bar,short,442,73,0.3425,0.8771,-0.3706,1.233,3.348,1.452,4.14
