symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CANBK,failed_breakout,short,442,238,0.3445,0.8166,-0.3891,1.103,7.69,0.693,6.26
CANBK,failed_breakout,long,442,222,0.3198,0.8153,-0.3947,0.971,9.997,-0.206,-1.71
CANFINHOME,failed_breakout,short,442,201,0.3532,0.8554,-0.3933,1.188,9.258,1.211,9.61
CANFINHOME,failed_breakout,long,442,210,0.3333,0.9161,-0.387,1.184,5.491,1.189,9.95
CAPLIPOINT,failed_breakout,short,442,181,0.3315,0.8962,-0.3986,1.115,5.222,0.772,5.54
CAPLIPOINT,failed_breakout,long,442,195,0.2974,0.8822,-0.3974,0.94,11.8,-0.441,-3.28
CARBORUNIV,failed_breakout,short,442,202,0.3366,0.8763,-0.3978,1.118,9.614,0.79,6.29
CARBORUNIV,failed_breakout,long,442,192,0.2656,0.9674,-0.4,0.875,20.861,-0.958,-7.06
CARERATING,failed_breakout,short,442,200,0.36,0.9279,-0.3943,1.324,6.246,1.992,16.34
CARERATING,failed_breakout,long,442,206,0.3058,0.9638,-0.4,1.062,11.819,0.427,3.52
CASTROLIND,failed_breakout,short,442,199,0.402,0.7393,-0.3898,1.275,2.978,1.698,12.76
CASTROLIND,failed_breakout,long,442,181,0.2652,0.8241,-0.3823,0.778,13.48,-1.753,-11.29
CCL,failed_breakout,short,442,202,0.3069,0.9065,-0.3986,1.007,7.608,0.05,0.39
CCL,failed_breakout,long,442,194,0.2784,0.9897,-0.3959,0.964,7.334,-0.26,-1.99
CDSL,failed_breakout,short,442,207,0.3768,0.8584,-0.3964,1.309,7.355,1.913,15.83
CDSL,failed_breakout,long,442,200,0.265,0.8888,-0.394,0.813,13.52,-1.467,-10.81
CEATLTD,failed_breakout,short,442,192,0.2917,0.8501,-0.398,0.88,12.271,-0.914,-6.52
CEATLTD,failed_breakout,long,442,199,0.3266,0.9756,-0.3982,1.188,6.6,1.234,10.05
CENTRALBK,failed_breakout,short,442,205,0.3512,0.8144,-0.3898,1.131,8.571,0.872,6.8
CENTRALBK,failed_breakout,long,442,199,0.2915,0.9243,-0.3925,0.969,14.717,-0.226,-1.73
CENTURYPLY,failed_breakout,short,442,168,0.2381,0.8849,-0.3969,0.697,22.195,-2.581,-15.4
CENTURYPLY,failed_breakout,long,442,179,0.2961,0.9744,-0.3954,1.037,9.872,0.256,1.82
CERA,failed_breakout,short,442,155,0.3419,0.7902,-0.3816,1.076,5.947,0.513,2.95
CERA,failed_breakout,long,442,162,0.321,0.8967,-0.3918,1.082,6.549,0.555,3.53
CESC,failed_breakout,short,442,213,0.3709,0.8647,-0.382,1.334,5.989,2.027,17.12
CESC,failed_breakout,long,442,208,0.2788,0.9097,-0.3914,0.899,11.48,-0.755,-5.95
CGCL,failed_breakout,short,442,202,0.3465,0.9234,-0.3885,1.261,8.21,1.643,13.36
CGCL,failed_breakout,long,442,178,0.236,0.948,-0.3965,0.738,22.674,-2.165,-14.11
CHALET,failed_breakout,short,442,173,0.289,0.918,-0.3979,0.938,5.409,-0.457,-3.05
CHALET,failed_breakout,long,442,185,0.3676,0.9544,-0.3947,1.405,3.8,2.434,18.71
CHAMBLFERT,failed_breakout,short,442,202,0.3317,0.8889,-0.3906,1.129,9.652,0.858,6.82
CHAMBLFERT,failed_breakout,long,442,201,0.2935,0.923,-0.3917,0.979,7.8,-0.151,-1.17
CHENNPETRO,failed_breakout,short,442,195,0.3487,0.8866,-0.3956,1.2,7.139,1.298,10.05
CHENNPETRO,failed_breakout,long,442,186,0.2581,0.9879,-0.4,0.859,16.4,-1.088,-7.78
CHOLAHLDNG,failed_breakout,short,442,173,0.289,0.9422,-0.4,0.958,7.091,-0.31,-2.09
CHOLAHLDNG,failed_breakout,long,442,185,0.3838,0.9724,-0.4,1.514,3.231,2.982,23.44
COCHINSHIP,failed_breakout,short,442,169,0.3136,0.8642,-0.3991,0.989,5.989,-0.077,-0.5
COCHINSHIP,failed_breakout,long,442,166,0.2952,0.9822,-0.3951,1.041,5.8,0.287,1.91
CONCOR,failed_breakout,short,442,220,0.3455,0.7349,-0.3902,0.994,5.271,-0.043,-0.34
CONCOR,failed_breakout,long,442,229,0.2969,0.7785,-0.3832,0.858,11.198,-1.07,-8.76
COROMANDEL,failed_breakout,short,442,226,0.3186,0.8566,-0.3907,1.025,9.045,0.174,1.51
COROMANDEL,failed_breakout,long,442,231,0.329,0.8802,-0.3944,1.094,7.233,0.637,5.76
CREDITACC,failed_breakout,short,442,185,0.4,0.9077,-0.3931,1.539,4.927,3.054,23.54
CREDITACC,failed_breakout,long,442,172,0.2674,0.8686,-0.3969,0.799,14.361,-1.587,-10.05
CRISIL,failed_breakout,short,442,180,0.3444,0.8303,-0.396,1.102,7.307,0.681,4.75
CRISIL,failed_breakout,long,442,184,0.3152,0.8721,-0.4,1.004,7.896,0.025,0.18
CROMPTON,failed_breakout,short,442,183,0.4153,0.8091,-0.3882,1.48,4.2,2.76,19.95
CROMPTON,failed_breakout,long,442,188,0.2713,0.896,-0.3984,0.837,12.679,-1.269,-8.89
CUB,failed_breakout,short,442,203,0.3103,0.8948,-0.3898,1.033,8.581,0.229,1.8
CUB,failed_breakout,long,442,204,0.402,0.9191,-0.3952,1.563,4.951,3.195,27.15
CYIENT,failed_breakout,short,442,186,0.328,0.8871,-0.3862,1.121,5.6,0.807,5.84
CYIENT,failed_breakout,long,442,172,0.2849,0.8556,-0.4,0.852,14.873,-1.133,-7.27
DALBHARAT,failed_breakout,short,442,221,0.3303,0.7957,-0.3897,1.007,14.684,0.049,0.41
DALBHARAT,failed_breakout,long,442,221,0.2896,0.8948,-0.3839,0.95,13.891,-0.36,-3.0
DBL,failed_breakout,short,442,210,0.3667,0.9063,-0.397,1.322,4.8,1.992,16.98
DBL,failed_breakout,long,442,204,0.2353,0.9667,-0.3954,0.752,21.79,-2.031,-15.28
DCBBANK,failed_breakout,short,442,198,0.3434,0.8634,-0.3865,1.168,5.84,1.093,8.47
DCBBANK,failed_breakout,long,442,200,0.28,0.8409,-0.3914,0.836,11.366,-1.268,-9.27
DCMSHRIRAM,failed_breakout,short,442,226,0.3053,0.8579,-0.3926,0.96,10.612,-0.286,-2.45
DCMSHRIRAM,failed_breakout,long,442,226,0.2257,0.9092,-0.4,0.662,30.157,-2.964,-23.63
DEEPAKNTR,failed_breakout,short,442,206,0.3544,0.7675,-0.3801,1.108,12.184,0.713,5.48
DEEPAKNTR,failed_breakout,long,442,201,0.3035,0.9029,-0.3864,1.018,13.006,0.126,0.98
DELTACORP,failed_breakout,short,442,184,0.3913,0.8083,-0.3869,1.343,5.116,2.072,14.86
DELTACORP,failed_breakout,long,442,177,0.2655,0.9916,-0.4,0.896,14.595,-0.784,-5.39
DIXON,failed_breakout,short,442,207,0.3865,0.857,-0.3865,1.397,3.923,2.361,19.47
DIXON,failed_breakout,long,442,209,0.311,0.8627,-0.3925,0.992,15.588,-0.056,-0.44
DMART,failed_breakout,short,442,204,0.3529,0.7896,-0.3807,1.131,9.01,0.862,6.6
DMART,failed_breakout,long,442,188,0.3404,0.8053,-0.3973,1.046,8.161,0.318,2.27
ECLERX,failed_breakout,short,442,204,0.3284,0.9329,-0.395,1.155,4.0,1.027,8.39
ECLERX,failed_breakout,long,442,219,0.3562,0.9537,-0.397,1.329,4.392,2.034,18.41
EDELWEISS,failed_breakout,short,442,223,0.3094,1.0,-0.4,1.12,6.4,0.812,7.4
EDELWEISS,failed_breakout,long,442,205,0.2098,0.9744,-0.398,0.65,28.588,-3.104,-22.57
EIDPARRY,failed_breakout,short,442,193,0.399,0.893,-0.3932,1.508,6.844,2.921,23.15
EIDPARRY,failed_breakout,long,442,212,0.2925,0.9363,-0.395,0.98,12.786,-0.145,-1.2
EIHOTEL,failed_breakout,short,442,204,0.3824,0.8762,-0.3841,1.412,5.095,2.432,19.95
EIHOTEL,failed_breakout,long,442,198,0.2626,0.946,-0.3987,0.845,15.117,-1.206,-9.02
ELGIEQUIP,failed_breakout,short,442,177,0.3333,0.8992,-0.3951,1.138,6.219,0.919,6.43
ELGIEQUIP,failed_breakout,long,442,158,0.2532,0.9203,-0.4,0.78,10.772,-1.778,-10.39
EMAMILTD,failed_breakout,short,442,185,0.3622,0.8869,-0.3934,1.28,6.0,1.743,13.0
EMAMILTD,failed_breakout,long,442,187,0.3102,0.9171,-0.3888,1.061,8.511,0.414,3.04
ENDURANCE,failed_breakout,short,442,204,0.3529,0.9046,-0.3983,1.239,6.894,1.526,12.55
ENDURANCE,failed_breakout,long,442,190,0.3053,0.9373,-0.3945,1.044,8.782,0.306,2.29
ENGINERSIN,failed_breakout,short,442,215,0.3442,0.9519,-0.3974,1.257,5.074,1.632,14.4
ENGINERSIN,failed_breakout,long,442,209,0.3014,0.9506,-0.3924,1.045,7.529,0.315,2.6
ERIS,failed_breakout,short,442,198,0.3131,0.9035,-0.4,1.03,8.131,0.209,1.61
ERIS,failed_breakout,long,442,192,0.2917,0.9465,-0.3914,0.996,10.784,-0.03,-0.22
ESCORTS,failed_breakout,short,442,200,0.34,0.8699,-0.3931,1.14,9.128,0.929,7.27
ESCORTS,failed_breakout,long,442,209,0.2632,0.8656,-0.3943,0.784,24.618,-1.74,-13.12
EXIDEIND,failed_breakout,short,442,214,0.4065,0.8439,-0.3845,1.504,5.197,2.883,24.59
EXIDEIND,failed_breakout,long,442,208,0.3077,0.8491,-0.3933,0.96,7.757,-0.292,-2.29
FDC,failed_breakout,short,442,220,0.3182,0.8692,-0.3948,1.027,7.77,0.192,1.62
FDC,failed_breakout,long,442,217,0.2488,0.9424,-0.3975,0.785,15.912,-1.729,-13.91
FINCABLES,failed_breakout,short,442,201,0.3234,0.9055,-0.3871,1.118,8.094,0.786,6.21
FINCABLES,failed_breakout,long,442,182,0.2747,0.9826,-0.3951,0.942,16.0,-0.426,-3.02
FINPIPE,failed_breakout,short,442,198,0.3586,0.8785,-0.3906,1.257,4.86,1.613,12.76
FINPIPE,failed_breakout,long,442,190,0.3211,0.901,-0.3957,1.077,13.684,0.524,3.92
FORTIS,failed_breakout,short,442,234,0.2949,0.8516,-0.3931,0.906,11.429,-0.7,-6.1
FORTIS,failed_breakout,long,442,226,0.2566,0.8944,-0.3987,0.775,25.264,-1.827,-15.1
FSL,failed_breakout,short,442,199,0.2965,0.9341,-0.396,0.994,13.67,-0.042,-0.33
FSL,failed_breakout,long,442,199,0.3417,0.9454,-0.3963,1.238,5.845,1.518,12.37
GARFIBRES,failed_breakout,short,442,209,0.2967,0.9268,-0.3902,1.002,6.285,0.013,0.1
GARFIBRES,failed_breakout,long,442,206,0.267,1.0,-0.4,0.911,9.0,-0.67,-5.4
GESHIP,failed_breakout,short,442,190,0.3684,0.8496,-0.3877,1.278,5.003,1.72,12.95
GESHIP,failed_breakout,long,442,191,0.2775,0.9303,-0.3939,0.907,13.171,-0.694,-5.06
GHCL,failed_breakout,short,442,186,0.2634,0.8642,-0.3986,0.775,13.93,-1.823,-12.27
GHCL,failed_breakout,long,442,185,0.3243,0.93,-0.3933,1.135,5.765,0.898,6.64
GICRE,failed_breakout,short,442,204,0.3039,0.8766,-0.3968,0.964,10.223,-0.257,-2.0
GICRE,failed_breakout,long,442,186,0.2419,0.8948,-0.4,0.714,20.123,-2.418,-16.14
GILLETTE,failed_breakout,short,442,179,0.3799,0.8432,-0.3956,1.306,5.563,1.886,13.43
GILLETTE,failed_breakout,long,442,182,0.3242,0.9805,-0.395,1.191,7.931,1.247,9.27
GLENMARK,failed_breakout,short,442,216,0.338,0.8732,-0.398,1.12,7.4,0.804,6.83
GLENMARK,failed_breakout,long,442,227,0.326,0.9036,-0.3879,1.127,8.402,0.843,7.52
