symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
BIOCON,compression,short,442,134,0.3731,0.7607,-0.3802,1.191,5.364,1.223,6.1
BIRLACORPN,compression,long,442,286,0.3007,0.8434,-0.393,0.923,13.519,-0.569,-6.08
BIRLACORPN,compression,short,442,97,0.4124,0.7904,-0.3725,1.489,4.847,2.755,10.38
BLUEDART,compression,long,442,309,0.2848,0.7533,-0.3781,0.793,27.093,-1.61,-17.26
BLUEDART,compression,short,442,123,0.4065,0.7169,-0.3904,1.258,6.518,1.608,7.34
BLUESTARCO,compression,long,442,281,0.3915,0.8077,-0.3929,1.322,3.446,1.964,21.66
BLUESTARCO,compression,short,442,84,0.4048,0.8643,-0.3868,1.519,3.906,2.923,10.05
BOSCHLTD,compression,long,442,327,0.3578,0.7325,-0.3903,1.046,12.548,0.313,3.74
BOSCHLTD,compression,short,442,153,0.366,0.6049,-0.3693,0.946,6.412,-0.387,-1.94
BRIGADE,compression,long,442,253,0.3004,0.8824,-0.3903,0.971,19.598,-0.209,-2.02
BRIGADE,compression,short,442,90,0.4,0.8069,-0.3933,1.368,4.8,2.201,7.81
BSE,compression,long,442,228,0.3202,0.8684,-0.3895,1.05,10.684,0.346,3.02
BSE,compression,short,442,92,0.4022,0.827,-0.4,1.391,4.162,2.338,8.6
BSOFT,compression,long,442,260,0.3038,0.8334,-0.3856,0.943,7.576,-0.409,-3.95
BSOFT,compression,short,442,103,0.3883,0.7831,-0.3777,1.317,6.977,1.917,7.53
CANBK,compression,long,442,300,0.31,0.7698,-0.3823,0.905,14.531,-0.7,-7.55
CANBK,compression,short,442,143,0.4266,0.6994,-0.3756,1.385,3.892,2.251,11.87
CANFINHOME,compression,long,442,300,0.3067,0.7965,-0.3889,0.906,13.864,-0.694,-7.61
CANFINHOME,compression,short,442,134,0.3657,0.7685,-0.3701,1.197,4.981,1.24,6.2
CAPLIPOINT,compression,long,442,276,0.337,0.8295,-0.392,1.075,9.129,0.512,5.4
CAPLIPOINT,compression,short,442,102,0.3824,0.7587,-0.3729,1.26,3.843,1.605,6.1
CARBORUNIV,compression,long,442,273,0.3004,0.9263,-0.3932,1.011,9.875,0.08,0.85
CARBORUNIV,compression,short,442,105,0.3524,0.8196,-0.3786,1.178,5.871,1.139,4.58
