label,universe,top_n,cash_leg,roc,ma,cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,n_months,start,end,final_mult
ext5_top1_cash_roc6_noma,ext5,1,True,roc6,noma,20.0,14.05,0.739,1.209,-28.68,0.49,20.75,3.53,0.0,131,2015-08-31,2026-06-30,4.2
ext5_top1_cash_roc6_ma10,ext5,1,True,roc6,ma10,20.0,13.9,0.732,1.182,-28.68,0.485,20.77,3.35,0.0,127,2015-12-31,2026-06-30,3.966
ext5_top1_cash_blend_ma6,ext5,1,True,blend,ma6,20.0,11.14,0.616,1.043,-27.61,0.403,20.59,3.89,0.0,125,2016-02-29,2026-06-30,3.005
ext5_top1_cash_blend_noma,ext5,1,True,blend,noma,20.0,10.28,0.56,0.85,-33.96,0.303,21.72,3.7,0.0,125,2016-02-29,2026-06-30,2.77
ext5_top1_cash_blend_ma10,ext5,1,True,blend,ma10,20.0,10.28,0.56,0.85,-33.96,0.303,21.72,3.7,0.0,125,2016-02-29,2026-06-30,2.77
ext5_top2_nocash_roc12_ma6,ext5,2,False,roc12,ma6,20.0,11.67,0.794,1.238,-22.61,0.516,15.45,2.45,0.0,125,2016-02-29,2026-06-30,3.157
ext5_top2_nocash_roc12_noma,ext5,2,False,roc12,noma,20.0,11.67,0.794,1.238,-22.61,0.516,15.45,2.45,0.0,125,2016-02-29,2026-06-30,3.157
ext5_top2_nocash_roc12_ma10,ext5,2,False,roc12,ma10,20.0,11.67,0.794,1.238,-22.61,0.516,15.45,2.45,0.0,125,2016-02-29,2026-06-30,3.157
ext5_top2_nocash_roc6_ma6,ext5,2,False,roc6,ma6,20.0,15.69,0.999,1.715,-21.59,0.727,15.92,2.56,0.0,131,2015-08-31,2026-06-30,4.908
ext5_top2_nocash_roc6_noma,ext5,2,False,roc6,noma,20.0,15.69,0.999,1.715,-21.59,0.727,15.92,2.56,0.0,131,2015-08-31,2026-06-30,4.908
ext5_top2_nocash_roc6_ma10,ext5,2,False,roc6,ma10,20.0,16.1,1.012,1.736,-21.59,0.746,16.1,2.65,0.0,127,2015-12-31,2026-06-30,4.854
