,three_asset,nifty
2012-07-31,3.282050251080787,2.531160115052734
2012-08-31,3.4015271581479234,2.5316395014381605
2012-09-30,3.4507557403797704,2.7459252157238754
2012-10-31,3.3810456178839274,2.7109300095877296
2012-11-30,3.4774638679959495,2.8312559923298197
2012-12-31,3.448228311469306,2.8504314477468853
2013-01-31,3.438643536444751,2.9175455417066165
2013-02-28,3.355602194247681,2.7852348993288603
2013-03-31,3.3990002458230806,2.7267497603068085
2013-04-30,3.377000234624095,2.8264621284755522
2013-05-31,3.4586836221573507,2.8844678811121773
2013-06-30,3.425921140991937,2.826941514860979
2013-07-31,3.5915588152807154,2.786193672099713
2013-08-31,3.851914709486086,2.6404602109300104
2013-09-30,3.7549770091423147,2.7909875359539797
2013-10-31,3.863443858151003,3.048418024928093
2013-11-30,3.8599659416085776,2.9923298178331748
2013-12-31,3.8502349554128075,3.0560882070949194
2014-01-31,3.8507718548786496,2.9587727708533085
2014-02-28,4.020534240215987,3.0412272291466937
2014-03-31,3.925547543950046,3.2118887823585824
2014-04-30,3.9585943193536632,3.225311601150529
2014-05-31,4.010766519888659,3.469798657718122
2014-06-30,4.266655808616309,3.6658676893576234
2014-07-31,4.270377967852624,3.7396931927133283
2014-08-31,4.412019507501813,3.8643336529242585
2014-09-30,4.356241816965777,3.8696069031639517
2014-10-31,4.405759848115098,4.032598274209015
2014-11-30,4.534903329962869,4.167305848513904
2014-12-31,4.54200990512603,4.021093000958775
2015-01-31,4.665407734174289,4.290508149568554
2015-02-28,4.636765188805288,4.261744966442955
2015-03-31,4.593409620361162,4.077181208053693
2015-04-30,4.657814124851973,3.94295302013423
2015-05-31,4.663322820508553,4.058005752636627
2015-06-30,4.580632651285752,4.0436241610738275
2015-07-31,4.539756791283278,4.141898370086293
2015-08-31,4.538325596307442,3.8758389261744988
2015-09-30,4.536516651272032,3.8446788111217667
2015-10-31,4.706694934435226,3.923777564717164
2015-11-30,4.565934991253833,3.851869606903166
2015-12-31,4.571046031377459,3.849472674976033
2016-01-31,4.580059287229744,3.652924256951105
2016-02-29,4.5534545341134685,3.3964525407478443
2016-03-31,4.7104955013842,3.7919463087248344
2016-04-30,4.845031853240346,3.8111217641419004
2016-05-31,4.840466680240808,3.962128475551297
2016-06-30,4.941040896102617,4.041227229146694
2016-07-31,5.055259906673342,4.223394055608822
2016-08-31,5.104303076562542,4.295302013422821
2016-09-30,5.1028401180085075,4.211409395973156
2016-10-31,5.133005235790347,4.225790987535956
2016-11-30,5.247165827676138,4.022051773729628
2016-12-31,5.138006260479826,4.002876318312562
2017-01-31,5.353786314755113,4.180249280920424
2017-02-28,5.714596159115016,4.34563758389262
2017-03-31,5.525017735105462,4.496644295302016
2017-04-30,5.353362722054783,4.554170661553215
2017-05-31,5.745756063903038,4.707574304889744
2017-06-30,5.727264648372424,4.678811121764144
2017-07-31,6.023715489442733,4.956855225311604
2017-08-31,5.76008829202741,4.896931927133273
2017-09-30,5.721660146161908,4.841802492809207
2017-10-31,5.847164366436921,5.105465004793866
2017-11-30,6.065451669702462,5.069511025886867
2017-12-31,6.3712332940431144,5.198945349952064
2018-01-31,6.611976394726043,5.4434324065196575
2018-02-28,6.601117433092582,5.208533077660597
2018-03-31,6.452306178166462,5.028763183125602
2018-04-30,6.61691227528706,5.328379674017261
