variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
target_30pct,PREMEXPLN,2023-07-14,2023-07-20,144.43,187.76,1363,6,TARGET,59057.43,58378.27
target_30pct,POCL,2023-05-31,2023-07-31,199.27,213.77,901,61,MAX_HOLD,13064.50,12506.28
target_30pct,ARMANFIN,2023-06-01,2023-07-31,1924.80,2283.95,92,60,MAX_HOLD,33041.80,32460.99
target_30pct,PARAGMILK,2023-06-27,2023-07-31,136.87,177.93,1302,34,TARGET,53461.42,52846.62
target_30pct,BLISSGVS,2023-07-18,2023-08-02,100.73,93.00,2010,15,INITIAL_STOP,-15527.80,-16111.91
target_30pct,POWERMECH,2023-08-01,2023-08-02,2359.19,2185.59,92,1,INITIAL_STOP,-15971.62,-16598.80
target_30pct,MANINFRA,2023-06-13,2023-08-03,106.18,138.03,1674,51,TARGET,53323.60,52710.37
target_30pct,MAITHANALL,2023-08-01,2023-08-03,1147.72,1074.00,190,2,INITIAL_STOP,-14005.87,-14639.06
target_30pct,STARCEMENT,2023-06-05,2023-08-04,141.80,165.46,1246,60,MAX_HOLD,29480.36,28906.09
target_30pct,POCL,2023-08-07,2023-08-08,253.48,233.20,874,1,INITIAL_STOP,-17723.32,-18361.36
target_30pct,POLYMED,2023-08-08,2023-08-18,1454.00,1337.68,152,10,INITIAL_STOP,-17680.64,-18317.14
target_30pct,MANINFRA,2023-08-04,2023-08-22,144.08,134.16,1517,18,INITIAL_STOP,-15044.19,-15677.33
target_30pct,ORISSAMINE,2023-07-04,2023-08-23,3684.00,4789.20,49,50,TARGET,54154.80,53532.02
target_30pct,VASCONEQ,2023-08-04,2023-08-24,49.17,63.92,4447,20,TARGET,65597.70,64843.32
target_30pct,TDPOWERSYS,2023-06-26,2023-08-25,230.76,259.49,763,60,MAX_HOLD,21920.99,21359.90
target_30pct,ATULAUTO,2023-08-24,2023-08-31,458.85,596.50,483,7,TARGET,66487.36,65722.76
target_30pct,SCHNEIDER,2023-07-06,2023-09-04,278.10,355.25,688,60,MAX_HOLD,53079.20,52425.58
target_30pct,MMTC,2023-09-05,2023-09-07,54.00,70.20,4484,2,TARGET,72640.80,71805.43
target_30pct,PARAGMILK,2023-08-28,2023-09-12,200.39,184.36,1149,15,INITIAL_STOP,-18419.85,-19082.96
target_30pct,IOLCP,2023-09-08,2023-09-12,92.81,85.49,2686,4,INITIAL_STOP,-19667.20,-20385.57
target_30pct,GRAVITA,2023-09-01,2023-09-13,767.05,722.74,308,12,INITIAL_STOP,-13648.05,-14336.33
target_30pct,PDSL,2023-09-14,2023-09-18,469.20,431.66,519,4,INITIAL_STOP,-19481.18,-20182.51
target_30pct,NEWGEN,2023-07-21,2023-09-20,400.94,424.56,519,61,MAX_HOLD,12258.78,11616.13
target_30pct,IOLCP,2023-09-14,2023-09-21,102.10,93.93,2389,7,INITIAL_STOP,-19513.35,-20215.83
target_30pct,ONEPOINT,2023-09-27,2023-09-29,37.80,35.23,6377,2,INITIAL_STOP,-16385.16,-17083.74
target_30pct,BLS,2023-08-01,2023-10-03,239.30,246.49,911,63,MAX_HOLD,6550.09,5886.26
target_30pct,NEULANDLAB,2023-08-04,2023-10-03,3534.00,3740.45,61,60,MAX_HOLD,12593.45,11927.84
target_30pct,TI,2023-08-09,2023-10-09,181.89,206.82,1208,61,MAX_HOLD,30115.44,29411.10
target_30pct,KIOCL,2023-09-20,2023-10-17,315.00,409.50,768,27,TARGET,72576.00,71741.38
target_30pct,CSBBANK,2023-08-21,2023-10-20,318.50,359.35,684,60,MAX_HOLD,27941.40,27245.93
target_30pct,ORISSAMINE,2023-10-04,2023-10-20,5775.00,7507.50,41,16,TARGET,71032.50,70215.63
target_30pct,ABREL,2023-10-11,2023-10-20,1156.90,1064.35,210,9,INITIAL_STOP,-19435.92,-20135.61
target_30pct,VARROC,2023-08-24,2023-10-23,418.24,462.41,530,60,MAX_HOLD,23410.10,22709.98
target_30pct,GLAXO,2023-09-14,2023-10-23,1552.00,1481.72,157,39,INITIAL_STOP,-11033.79,-11748.24
target_30pct,UJJIVANSFB,2023-10-04,2023-10-23,57.05,53.12,4226,19,INITIAL_STOP,-16595.96,-17294.35
target_30pct,VSTTILLERS,2023-08-25,2023-10-25,3302.00,3466.54,69,61,MAX_HOLD,11353.26,10652.72
target_30pct,IMFA,2023-09-26,2023-10-25,397.16,365.39,606,29,INITIAL_STOP,-19254.32,-19947.47
target_30pct,SPAL,2023-10-23,2023-10-25,618.01,568.57,419,2,INITIAL_STOP,-20715.70,-21461.46
target_30pct,ANUP,2023-10-31,2023-11-01,1252.23,1152.05,203,1,INITIAL_STOP,-20336.22,-21068.32
